tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
5434566,32,0,0,0,1,0,1,10,1,passed
5434774,23,0,0,0,1,1,2,2,2,failed
5436304,2,0,2,0,0,2,1,5,1,passed
5803939,1,0,0,0,0,1,1,1,1,passed
6019890,3,0,0,0,0,1,1,2,1,passed
6020119,269,0,42,0,0,3,1,6,1,passed
6021604,20,0,0,0,1,0,1,1,1,passed
6041040,2,0,3,1,0,4,1,29,1,failed
6041413,0,0,4,0,0,1,1,8,1,failed
6041837,4,0,8,0,0,2,2,9,2,passed
6042148,2,0,0,0,0,1,1,1,1,passed
6043222,269,0,42,0,0,3,1,7,1,passed
6436775,46,0,0,0,0,3,5,24,5,passed
7781977,34,0,0,0,0,3,3,25,3,failed
8360618,118,0,4,0,0,13,5,43,5,failed
10054346,24,0,0,1,0,0,1,0,1,passed
12307842,4,0,0,0,0,1,1,24,1,failed
13342428,6,0,7,0,0,3,1,34,1,failed
13343271,2,0,0,0,0,1,1,4,1,passed
13671407,21,0,0,0,0,6,3,42,3,passed
13673979,43,0,0,0,0,3,1,13,1,passed
13674909,75,0,0,0,0,3,1,14,1,passed
13706164,22,2,0,0,0,2,1,15,1,passed
13864517,213,1,0,5,0,4,4,19,4,passed
13900136,154,0,0,4,0,3,1,21,1,passed
13917287,21,0,0,0,0,3,1,22,1,passed
13917295,21,0,0,0,0,3,1,22,1,passed
13921691,55,0,0,0,0,7,1,25,1,passed
13923045,34,0,4,0,0,6,3,29,3,passed
14061168,49,0,0,0,0,4,1,44,1,passed
14062745,18,0,210,0,1,6,1,72,1,passed
14238551,4,0,0,0,0,2,1,24,1,passed
14240862,125,7,0,0,0,4,2,50,2,passed
14356544,0,0,0,0,0,1,1,10,1,failed
14357790,2,0,18,0,0,2,1,22,1,failed
14397897,9,0,0,0,0,1,2,5,2,passed
14410017,4,0,0,0,0,1,1,7,1,passed
15084903,20,0,23,0,1,4,3,8,3,failed
15085545,0,0,2,0,0,1,1,3,1,failed
15088780,0,0,4,0,0,1,1,4,1,passed
15404921,2,0,0,0,0,1,1,9,1,passed
15440152,2,0,0,0,0,1,1,10,1,passed
15630295,0,0,0,0,0,1,1,6,1,passed
15630369,6,0,0,0,0,1,1,16,1,passed
16264645,0,0,0,0,0,1,1,11,1,passed
18436787,89,0,33,15,0,5,1,33,1,passed
28126693,0,0,0,0,0,1,1,12,1,passed
42600770,2,0,0,0,0,1,1,14,1,failed
45786624,3,0,0,0,0,1,1,11,1,failed
55860467,25,0,57,1,0,2,1,31,1,failed
61778131,6,0,7,0,0,4,2,35,2,failed
61778992,2,0,0,0,0,1,1,37,1,failed
63994883,35,0,53,1,0,3,2,39,2,failed
72147922,20,0,0,0,0,3,2,50,2,failed
73846193,2,0,0,0,0,2,1,19,1,passed
73851635,5,0,0,0,0,2,1,14,1,passed
73851714,1,0,0,0,0,1,1,28,1,passed
90476778,2,0,0,0,0,1,1,9,1,passed
90478554,4,0,0,0,0,2,2,22,2,passed
90478937,4,0,0,0,0,1,1,11,1,passed
98573037,4,0,11,0,0,2,1,17,1,passed
99442597,31,0,0,2,0,7,3,25,3,passed
99446695,39,0,49,0,0,3,1,20,1,passed
99447788,5,0,0,0,0,2,1,33,1,passed
100547700,4,0,11,0,0,2,1,18,1,passed
107931261,0,0,0,1,0,0,1,0,1,passed
108987623,0,0,0,1,0,0,1,1,1,passed
116834158,2,0,0,0,0,1,1,41,1,passed
116834608,2,0,0,0,0,1,1,41,1,passed
117442357,2,0,21,0,0,3,1,19,1,passed
117443679,5,0,0,0,0,2,1,34,1,passed
121990648,0,0,0,0,0,1,1,14,1,passed
121993309,10,0,0,0,0,5,1,68,1,passed
121993442,2,0,0,0,0,2,1,36,1,passed
126400688,6,0,11,0,0,2,1,12,1,passed
136946244,13,0,21,0,0,4,1,46,1,passed
136949725,7,0,286,0,0,3,1,52,1,passed
136980427,7,0,11,0,0,3,1,47,1,passed
137043700,17,0,0,0,0,1,2,42,2,passed
137094921,3,0,0,0,0,2,1,43,1,failed
137095630,0,0,2,0,0,1,1,8,1,passed
137096534,2,0,0,0,0,2,1,42,1,passed
140554141,12,0,0,0,0,4,1,55,1,passed
142693669,27,0,32,0,0,4,1,58,1,passed
142701450,2,0,0,0,0,2,1,45,1,passed
