tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2092004,3303,0,3690,79,21,54,82,6,82,passed
2103556,330,0,94,3,1,26,10,43,10,passed
2103647,6,0,5,0,0,5,2,17,2,passed
2104985,236,0,1046,14,3,20,2,39,2,failed
2105253,22,0,2,0,0,8,3,28,3,passed
2105520,7,0,0,0,0,5,1,7,1,passed
2105568,11,0,0,0,0,1,1,6,1,passed
2105605,6,0,0,0,0,3,1,24,1,passed
2105694,4,0,0,0,0,2,2,9,2,passed
2105802,13,0,0,0,0,1,1,22,1,passed
2109473,5,0,0,0,0,2,2,8,2,passed
2110011,2,0,0,0,0,1,1,7,1,passed
2110892,19,0,0,0,0,1,1,6,1,failed
2111016,5,0,0,0,0,1,1,7,1,passed
2111555,41,0,0,0,0,2,2,13,2,passed
2119686,47,0,1,0,1,4,1,27,1,passed
2119700,2,0,0,0,0,1,1,7,1,passed
2132881,122,0,0,1,0,7,3,14,3,passed
2138123,9,0,0,0,0,3,2,12,2,passed
2166426,290,0,63,8,2,18,7,62,7,passed
2172236,171,0,68,0,0,18,2,53,2,passed
2173025,251,0,0,2,1,22,1,13,1,passed
2173124,23,0,13,0,0,7,2,21,2,passed
2173688,202,0,24,9,0,7,2,22,2,passed
2173768,4,0,0,0,0,2,2,20,2,passed
2174474,40,0,0,0,0,5,2,2,2,passed
2174488,2,0,0,0,0,1,1,15,1,passed
2179994,34,0,0,0,0,1,1,3,1,passed
2196400,2,0,0,0,0,1,1,16,1,passed
2263043,72,0,118,1,0,9,3,43,3,failed
2265075,4,0,0,0,0,2,2,19,2,failed
2265952,4,0,0,0,0,2,2,26,2,failed
2274365,3,0,0,0,0,2,2,24,2,passed
2359435,12,0,82,4,0,8,2,28,2,passed
2412006,35,0,0,0,0,7,2,31,2,failed
2424616,40,0,36,2,0,5,2,32,2,passed
2441135,9,0,0,0,0,1,1,6,1,passed
2441147,2,0,0,0,0,1,1,24,1,passed
2441257,4,0,0,0,0,1,1,7,1,passed
2442536,2,0,0,0,0,1,1,25,1,passed
2511461,19,0,0,0,0,3,4,35,4,failed
2652689,39,0,88,4,0,8,4,61,4,failed
2653925,3,0,0,0,0,2,2,30,2,failed
2691180,2,0,0,0,0,1,1,30,1,failed
2703728,139,0,0,0,0,1,2,26,2,failed
2704484,0,0,0,0,0,1,1,4,1,failed
2705409,0,0,0,0,0,1,1,4,1,failed
2735790,314,0,273,6,0,25,8,64,8,passed
2735805,2,0,0,0,0,1,1,31,1,passed
2736715,11,0,4,0,0,3,2,48,2,passed
2917196,29,0,61,4,0,6,2,58,2,passed
2995227,32,0,0,1,0,1,1,6,1,passed
2995270,2,0,0,0,0,1,1,34,1,passed
3039205,17,0,107,0,0,5,1,26,1,passed
3039216,2,0,0,0,0,1,1,35,1,passed
3039226,0,0,0,1,0,0,1,0,1,passed
3090805,0,0,0,0,0,1,1,1,1,passed
3217292,345,0,535,5,0,31,9,94,9,passed
3230385,0,0,0,0,4,2,1,7,1,passed
3406435,67,0,70,2,0,6,2,53,2,passed
3425438,89,0,0,0,0,9,2,64,2,passed
3518911,18,0,32,0,0,5,1,24,1,passed
3522146,16,0,17,0,0,4,1,32,1,passed
3522163,2,0,0,0,0,1,1,41,1,passed
3522341,0,0,0,0,0,1,1,6,1,passed
3633259,10,0,0,0,0,4,2,50,2,passed
3710551,2,0,4,0,0,2,1,2,1,passed
3748871,266,0,3,3,1,7,2,81,2,failed
3763272,14,0,0,0,0,2,2,45,2,failed
3947978,94,0,4,0,0,5,1,26,1,passed
3947996,2,0,0,0,0,1,1,45,1,passed
3957476,17,0,0,0,0,5,2,52,2,failed
3957856,2,0,0,0,0,2,1,32,1,passed
3959637,4,0,0,0,0,2,2,53,2,failed
3982867,352,0,39,3,1,17,7,103,7,passed
3989452,493,0,0,2,1,21,3,91,3,passed
3991351,9,0,0,0,0,2,1,35,1,passed
4011782,12,0,0,0,0,5,2,70,2,passed
4053473,18,0,0,0,0,3,1,13,1,passed
4113146,2,0,0,0,0,1,1,51,1,passed
4526492,66,0,0,0,1,9,4,89,4,passed
4526896,9,0,2,0,0,5,3,75,3,failed
4527382,26,0,0,0,0,5,2,34,2,passed
4528335,4,0,0,0,0,1,2,2,2,passed
4529381,9,0,20,0,0,4,2,19,2,passed
4531346,6,0,0,0,0,1,1,6,1,passed
4532918,25,0,0,0,0,5,2,31,2,passed
4533258,16,0,18,0,0,2,2,8,2,passed
4533265,2,0,0,0,0,1,1,54,1,passed
4534191,5,0,2,0,0,4,2,79,2,passed
4545973,483,0,21,0,0,17,8,124,8,failed
4557537,53,0,40,1,0,13,2,61,2,failed
4557948,28,0,2,0,0,7,2,122,2,failed
4558176,0,0,0,0,0,1,1,7,1,failed
4563461,336,0,113,0,1,25,3,183,3,failed
4563516,0,0,2,0,0,1,1,5,1,passed
4570631,55,0,0,0,0,4,3,78,3,passed
4574831,14,0,0,0,0,2,2,70,2,passed
4577302,11,0,0,0,0,4,3,91,3,passed
4589050,134,0,30,1,0,9,3,55,3,passed
4623440,31,0,7,0,0,5,2,102,2,passed
4648024,71,0,0,0,0,2,1,25,1,passed
4835870,285,0,13,1,0,15,4,125,4,failed
4839445,4,0,0,0,0,1,1,40,1,failed
4839494,2,0,0,0,0,1,1,41,1,failed
4846651,2,0,0,0,0,1,1,42,1,failed
4846899,2,0,0,0,0,1,1,43,1,failed
4847068,4,0,0,0,0,1,1,44,1,failed
4857407,2,0,0,0,0,1,1,45,1,failed
4857430,2,0,0,0,0,1,1,46,1,failed
4857479,2,0,0,0,0,1,1,47,1,failed
4865460,2,0,0,0,0,1,1,48,1,failed
4888874,4,0,0,0,0,2,1,26,1,failed
4974728,1308,0,747,13,0,38,4,154,4,failed
5955748,6074,0,1649,12,5,68,107,302,107,passed
5980613,4,0,18,1,0,4,1,86,1,passed
5993146,2,0,0,0,0,1,1,65,1,passed
5994258,1,0,0,0,0,1,1,51,1,passed
6033423,15,0,0,0,0,3,2,75,2,failed
6058595,0,0,0,2,1,0,1,8,1,passed
6061503,95,0,0,0,0,2,1,47,1,failed
6063721,70,0,0,0,0,4,1,87,1,passed
6072297,193,0,0,0,0,2,1,47,1,failed
6079784,6,0,8,0,0,4,2,62,2,passed
6095475,303,0,43,3,0,12,3,194,3,passed
6100135,123,0,0,0,0,7,1,102,1,passed
6131639,388,0,133,2,1,17,2,202,2,passed
6134597,15,0,0,0,0,4,2,75,2,passed
6135803,83,0,36,0,0,5,1,83,1,passed
6139649,131,0,0,0,0,9,2,134,2,passed
6145605,134,0,2,0,0,9,2,174,2,passed
6164800,18,0,0,0,0,1,2,56,2,passed
6165718,11,0,43,0,0,3,1,111,1,passed
