tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2975967,17,0,0,1,0,2,3,6,3,failed
2976017,17,0,0,1,0,2,3,6,3,failed
2983575,221,0,31,0,0,5,2,5,2,passed
2983586,221,0,31,0,0,5,1,7,1,passed
2983671,12,0,0,0,0,2,1,5,1,passed
2983759,4,0,0,0,0,1,1,3,1,passed
3027334,4,0,0,0,0,1,1,4,1,passed
3027358,4,0,0,0,0,1,1,5,1,passed
3126579,2,0,0,0,0,1,1,6,1,failed
3127218,0,0,1,0,0,1,1,2,1,passed
3128786,4,0,0,0,0,1,1,4,1,passed
3206367,20,0,0,0,0,1,1,4,1,failed
3206394,20,0,0,0,0,1,1,5,1,failed
3410660,49,0,2,0,0,3,2,6,2,passed
3410680,0,0,2,0,0,1,1,3,1,passed
3410954,23,0,0,0,0,3,2,14,2,passed
3749187,16,0,0,0,0,2,1,14,1,passed
3749322,1,0,0,0,0,1,1,6,1,passed
4189526,0,0,16,0,0,1,1,2,1,passed
4189716,0,0,16,0,0,1,1,3,1,passed
4189774,3,0,2,0,0,2,1,3,1,passed
4194827,20,0,25,1,0,3,1,8,1,passed
4195036,20,0,25,1,0,3,1,9,1,passed
4310515,2,0,0,0,0,1,1,1,1,passed
5856337,1,0,0,0,0,1,1,1,1,failed
6106566,9,0,1,1,0,5,3,13,3,passed
6106584,0,0,0,0,0,1,1,2,1,passed
6106693,0,0,0,0,0,1,1,2,1,passed
6110200,4,0,0,0,0,1,1,5,1,passed
6113804,18,0,0,1,0,2,1,8,1,passed
7090981,1,0,0,0,0,1,1,2,1,passed
7313186,0,0,0,0,0,1,1,3,1,passed
7313212,0,0,0,0,0,1,1,4,1,passed
8431385,9,0,0,0,0,2,1,3,1,failed
8431522,9,0,0,0,0,2,1,4,1,failed
8484628,4,0,0,0,0,1,1,1,1,failed
8484993,4,0,0,0,0,1,1,2,1,failed
8485117,8,0,0,0,0,2,1,13,1,failed
8508977,8,0,0,0,0,1,1,7,1,failed
8564608,3,0,2,0,0,2,1,7,1,failed
8564664,7,0,0,0,0,2,2,6,2,failed
