tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
33406879,4,0,63,0,0,7,3,46,3,passed
36214383,6,0,0,0,0,2,2,21,2,passed
36219148,2,0,0,0,0,1,1,10,1,passed
36219266,31,0,0,0,0,1,1,2,1,passed
43063137,23,0,0,2,0,3,2,22,2,passed
43428035,23,0,0,2,0,3,1,24,1,failed
43432714,25,0,0,0,0,2,2,20,2,failed
43436543,25,0,0,0,0,2,1,22,1,failed
43704692,0,1,0,0,0,1,1,4,1,passed
43705082,0,0,0,0,0,1,1,5,1,passed
44598679,0,0,0,0,0,1,1,6,1,passed
44628243,0,0,0,0,0,1,1,7,1,passed
44657364,69,0,0,0,0,1,1,8,1,passed
44707037,69,0,0,0,0,1,1,9,1,passed
44992675,2,0,0,0,0,1,1,11,1,passed
45187812,4,0,0,0,0,1,1,12,1,passed
45892221,0,0,1,3,0,1,1,9,1,passed
49041410,3,0,0,0,0,1,1,12,1,passed
50861258,27,0,0,0,0,2,2,14,2,passed
51528538,3,0,0,0,0,1,1,13,1,passed
52811115,4,0,1,3,0,2,1,25,1,passed
53078017,0,0,0,0,0,1,1,6,1,passed
53081577,4,0,0,0,0,1,1,11,1,passed
54089040,0,0,0,0,0,1,1,3,1,passed
55400004,27,0,0,0,0,2,1,18,1,passed
64149661,46,0,0,0,0,3,1,41,1,passed
64508390,46,0,0,0,0,3,1,42,1,passed
77625822,0,0,63,0,0,6,1,36,1,failed
89927164,4,0,2,0,0,2,2,26,2,passed
93105700,4,0,2,0,0,2,1,28,1,passed
