tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1177897,53,0,250,1,1,4,5,12,5,failed
1177946,9,0,0,1,0,2,1,10,1,failed
1178037,25,0,0,1,0,2,1,5,1,failed
1200748,17,0,113,2,2,5,1,9,1,failed
1200868,0,0,0,0,0,1,1,1,1,passed
1232948,0,0,21,1,0,2,1,7,1,failed
1232972,2,0,0,0,0,1,1,7,1,failed
1233009,2,0,0,0,0,1,1,8,1,failed
1233062,2,0,0,0,0,1,1,9,1,passed
1256041,54,0,11,0,0,4,2,26,2,failed
1256046,2,0,0,0,0,1,1,16,1,failed
1256105,5,0,0,0,0,1,1,17,1,failed
1256121,4,0,0,0,0,1,1,18,1,passed
1256192,31,0,0,0,0,1,1,8,1,passed
1256206,22,0,0,0,0,1,1,9,1,passed
1256223,11,0,0,0,0,1,1,10,1,passed
1357480,2,0,0,0,0,1,1,11,1,passed
1542737,1,0,0,0,0,1,1,14,1,passed
1644021,72,0,132,0,0,3,1,41,1,passed
1647201,29,1,208,1,0,5,1,29,1,passed
1652607,8,0,10,0,0,2,1,25,1,passed
1652719,29,0,0,0,0,1,1,19,1,passed
1665231,56,0,0,0,0,3,1,17,1,passed
1665269,1,0,0,0,0,1,1,20,1,passed
1670726,205,0,0,2,0,2,1,32,1,passed
1773163,0,0,6,0,0,1,1,10,1,failed
1773188,37,0,4,0,0,2,1,16,1,failed
1773226,0,0,4,0,0,1,1,7,1,failed
1773243,3,0,0,0,0,1,1,10,1,failed
1773247,3,0,0,0,0,1,1,11,1,failed
1791983,123,0,105,0,0,5,1,38,1,passed
1792044,43,0,0,0,0,1,1,22,1,passed
1792074,10,0,0,0,0,1,1,23,1,passed
1792119,18,0,0,0,0,2,1,25,1,passed
1805941,68,0,0,0,0,2,1,26,1,passed
1805952,2,0,0,0,0,1,1,26,1,passed
1806022,2,0,0,0,0,1,1,27,1,passed
1851873,7,0,0,0,0,2,1,15,1,failed
1851907,0,0,0,0,0,1,1,4,1,failed
1851937,48,0,0,1,1,0,1,8,1,failed
1861233,2,0,33,0,0,3,1,16,1,failed
1861256,6,0,0,0,0,1,1,13,1,passed
2226930,0,0,0,1,0,0,1,0,1,passed
3489677,165,0,0,0,0,2,2,30,2,passed
3537169,30,0,0,0,0,1,1,6,1,passed
3537198,2,0,0,0,0,1,1,29,1,passed
4252183,21,0,0,1,0,2,1,31,1,passed
6873359,4,0,0,0,0,1,2,31,2,passed
6887602,4,0,0,0,0,1,1,33,1,passed
8363546,2,0,0,0,0,1,1,34,1,passed
9156727,1,0,0,0,0,1,1,14,1,failed
9211330,0,0,0,0,0,1,1,5,1,failed
9211422,0,0,0,0,0,1,1,6,1,failed
9311128,15,0,2,0,0,3,1,22,1,failed
9311399,7,0,0,0,0,1,1,8,1,failed
9311498,14,0,0,0,0,1,1,9,1,failed
9311681,2,0,0,0,0,1,1,10,1,passed
9311817,5,0,0,0,0,4,1,24,1,passed
11059529,11,0,0,0,0,1,1,35,1,passed
11068224,11,0,0,0,0,1,1,36,1,passed
13965311,75,1,55,0,0,4,2,29,2,failed
14072120,75,0,55,0,0,4,1,31,1,failed
14072211,0,0,1,0,0,1,1,10,1,passed
14072364,0,0,6,0,0,1,1,11,1,passed
14072588,41,0,8,0,0,2,1,25,1,passed
14073187,153,0,0,1,0,2,1,40,1,passed
14073416,11,0,0,0,0,1,1,37,1,passed
14073500,2,0,0,0,0,1,1,38,1,passed
14082213,2,0,0,0,0,1,1,4,1,passed
19531242,87,0,0,0,0,3,1,16,1,failed
19544539,87,0,0,0,0,3,1,17,1,failed
19544801,3,0,0,0,0,1,1,17,1,passed
19545272,37,0,0,0,0,1,1,18,1,passed
19947364,8,0,10,0,0,2,1,31,1,passed
21331797,68,0,36,0,0,5,1,76,1,failed
21332082,13,0,0,0,0,1,1,40,1,failed
21332212,0,0,2,0,0,1,1,7,1,failed
21333013,3,0,0,0,0,1,1,21,1,passed
21333560,2,0,0,0,0,1,1,5,1,passed
21396181,5,0,0,0,0,0,1,0,1,passed
71126120,2,0,0,0,0,1,1,22,1,failed
71185380,0,0,10,0,0,1,1,20,1,failed
71186023,0,0,0,0,0,1,1,8,1,failed
71253158,2,0,0,0,0,1,1,22,1,passed
71254651,9,0,34,0,0,6,1,67,1,passed
71411094,9,0,34,0,0,6,1,69,1,passed
