tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4273059,409,0,197,8,3,7,2,35,2,failed
4273122,2,0,0,0,0,1,1,9,1,failed
4273135,0,0,0,0,0,1,1,12,1,failed
4278170,6,0,0,0,0,1,1,6,1,failed
4289144,6,0,0,0,0,1,1,7,1,failed
4289198,0,0,0,0,0,2,2,14,2,failed
4289245,50,0,0,0,0,2,1,10,1,failed
4290381,1,0,0,0,0,1,1,10,1,failed
4290694,1,0,0,0,0,1,1,11,1,passed
4293473,23,0,0,0,0,1,2,10,2,passed
4294219,190,0,237,3,0,7,4,17,4,passed
4294840,190,0,261,4,1,5,1,21,1,passed
4295414,8,0,0,0,0,1,1,12,1,passed
4306222,15,0,0,0,0,1,2,2,2,failed
4306223,15,0,0,0,0,1,2,2,2,passed
4310331,13,0,0,0,0,1,1,4,1,passed
4349551,125,0,82,2,0,1,1,12,1,passed
4365224,286,0,163,9,1,8,6,22,6,passed
4365719,248,0,143,6,0,4,1,28,1,passed
4387200,25,0,9,2,0,2,1,24,1,failed
4387335,25,0,9,2,0,2,1,25,1,failed
4401170,113,0,96,2,0,3,2,27,2,passed
4402820,113,0,96,2,0,3,1,29,1,passed
4402892,46,0,0,0,0,1,1,4,1,passed
4446414,0,0,0,0,0,1,1,14,1,passed
4447972,15,0,0,0,0,1,1,5,1,passed
4448929,10,0,0,0,0,1,1,13,1,passed
4462033,52,0,92,0,0,3,2,22,2,passed
4462845,44,0,60,0,0,3,1,24,1,passed
4467612,146,0,96,4,0,8,10,37,10,passed
4467703,124,0,76,4,0,4,1,47,1,passed
4503765,9,0,0,0,0,1,1,26,1,passed
4527510,9,0,10,0,0,2,1,6,1,passed
4534590,21,0,24,0,0,3,1,28,1,passed
4554188,22,0,0,0,0,1,1,27,1,passed
4566554,28,0,22,0,0,4,1,10,1,passed
4567156,28,0,22,0,0,4,1,11,1,passed
4568057,31,0,0,0,0,1,1,28,1,passed
4587985,116,0,0,0,0,3,3,40,3,passed
4588009,2,0,0,0,0,1,1,30,1,passed
4588223,34,0,0,0,0,1,1,31,1,passed
4588320,2,0,0,0,0,1,1,32,1,passed
4588546,2,0,0,1,0,1,1,33,1,passed
4589088,12,0,0,0,0,1,1,8,1,passed
4604733,5,0,0,0,0,1,1,34,1,passed
4632835,3,0,0,0,0,1,1,35,1,passed
