tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1612746,12,0,17,1,0,2,3,54,3,passed
1612798,2,0,0,0,0,1,1,2,1,passed
1614656,24,0,26,1,0,9,3,294,3,passed
1718176,24,0,34,0,0,3,1,58,1,passed
1718203,1,0,0,0,0,1,1,4,1,passed
2139963,57,0,29,0,0,2,1,13,1,passed
2145671,57,0,29,0,0,2,1,14,1,passed
2145673,2,0,6,0,0,2,1,34,1,passed
2146127,0,0,0,0,0,4,1,241,1,passed
2146133,0,0,0,0,0,4,1,242,1,failed
2146563,0,0,0,0,0,4,1,245,1,passed
2146565,0,0,0,0,0,4,1,246,1,passed
2151104,22,0,53,0,0,4,1,46,1,passed
2840379,22,0,53,0,0,4,1,47,1,passed
2840430,50,0,0,0,0,2,1,14,1,passed
2840434,6,0,27,0,0,4,1,57,1,passed
3550168,101,0,32,3,0,2,1,233,1,passed
3589072,0,0,0,0,0,4,1,250,1,passed
3590765,2,0,0,0,0,1,1,6,1,passed
3775367,96,0,135,2,0,2,2,8,2,passed
3776825,170,0,38,2,0,6,2,249,2,failed
3777132,18,0,10,0,0,4,1,33,1,passed
4073328,7,0,0,0,0,1,1,7,1,passed
4146460,0,0,6,0,0,1,1,5,1,passed
4151755,0,0,1,0,0,2,1,240,1,passed
4151850,7,0,0,0,0,1,1,8,1,passed
4151936,0,0,1,0,0,2,1,241,1,passed
4161725,0,0,0,0,0,4,1,254,1,passed
4162688,246,0,201,2,0,15,1,117,1,passed
4163132,246,0,201,2,0,15,1,118,1,passed
4227863,1,0,0,0,0,1,1,5,1,passed
4230106,536,0,252,5,0,5,2,77,2,passed
4230174,14,0,0,0,0,1,1,46,1,passed
4232910,575,0,245,5,0,5,2,81,2,passed
4277202,2,0,0,0,0,5,2,263,2,passed
4277204,0,0,0,0,0,4,1,256,1,passed
4278723,17,0,0,0,0,2,2,39,2,passed
4278750,0,0,0,0,0,4,1,257,1,passed
4278754,0,0,0,0,0,4,1,258,1,passed
4280670,2,0,0,0,0,1,1,10,1,passed
5206309,60,0,32,0,0,2,1,6,1,passed
6351525,3,0,0,0,0,1,1,8,1,passed
6351607,11,0,81,1,0,1,1,36,1,passed
6472063,3,0,0,0,0,1,1,9,1,passed
6472079,11,0,81,1,0,1,1,37,1,passed
6473649,43,0,2,2,0,10,14,332,14,passed
6591474,185,0,87,0,0,10,3,331,3,passed
6862447,4,0,0,0,0,5,9,314,9,passed
6863692,78,0,38,0,0,2,2,8,2,passed
6864106,0,0,0,0,0,4,1,278,1,passed
6864116,0,0,0,0,0,4,1,279,1,passed
6866558,2,0,0,0,0,1,1,12,1,passed
8148230,21,0,8,0,0,3,2,13,2,passed
8625143,21,0,8,0,0,3,1,15,1,passed
8625207,1,0,0,0,0,1,1,9,1,passed
8648141,0,0,0,0,0,4,1,280,1,passed
8648143,0,0,0,0,0,4,1,281,1,passed
8648553,2,0,0,0,0,1,1,13,1,passed
8657214,6,0,1,0,0,2,1,7,1,passed
9740210,2548,0,2634,37,0,74,2,566,2,passed
10243964,19,0,0,0,0,1,1,52,1,passed
10269751,19,0,0,0,0,1,1,53,1,passed
