tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
384778,60,0,203,0,0,12,10,307,10,failed
384862,8,0,0,1,0,1,3,8,3,passed
409617,2,0,8,0,0,3,1,272,1,passed
440146,9,0,0,0,0,3,1,135,1,passed
465809,9,0,28,0,0,3,1,229,1,passed
510983,0,0,0,0,1,0,1,8,1,passed
522699,5,0,23,1,0,3,1,236,1,passed
522717,20,0,58,0,0,7,1,244,1,passed
522777,1,0,0,0,0,2,1,192,1,passed
522806,38,0,0,0,0,4,1,163,1,passed
522993,117,0,0,0,0,6,1,293,1,passed
556849,3,0,14,0,0,4,1,239,1,passed
585106,41,0,240,0,0,9,3,351,3,passed
587220,0,0,0,0,0,0,1,0,1,passed
598168,201,0,0,0,0,3,2,202,2,passed
603664,0,0,0,0,0,4,1,40,1,passed
608414,3,0,0,0,0,1,1,4,1,passed
608875,36,0,0,0,0,5,1,207,1,passed
609442,24,0,0,0,0,3,1,93,1,passed
609807,2,0,2,0,0,3,1,138,1,passed
616028,2,0,0,0,0,1,1,2,1,passed
625517,2,0,0,0,0,1,1,113,1,passed
629727,1401,0,179,7,1,11,1,189,1,passed
665179,0,0,0,0,0,3,1,1,1,passed
665268,0,0,0,0,0,1,1,37,1,passed
665382,0,0,0,0,0,2,1,229,1,passed
666469,16,0,0,1,0,4,1,103,1,passed
666551,44,0,0,1,0,5,1,173,1,passed
669304,3,0,3,0,0,4,1,199,1,passed
670193,0,0,0,0,0,1,1,54,1,passed
672218,0,0,0,0,0,1,1,16,1,passed
674742,8,0,0,0,0,1,2,109,2,passed
680021,12,0,0,0,0,3,1,56,1,passed
680270,4,0,0,0,0,3,1,57,1,passed
681936,34,0,0,0,0,1,1,4,1,failed
681980,1,0,0,0,0,1,1,5,1,failed
696171,2,0,0,0,0,2,2,60,2,failed
700874,0,0,0,0,0,1,1,41,1,failed
704559,6,0,0,0,0,1,1,11,1,passed
706728,0,0,0,0,0,2,1,71,1,passed
711369,0,0,0,0,0,2,1,72,1,passed
712054,8,0,0,0,0,1,1,111,1,passed
712136,0,0,0,0,0,2,1,58,1,passed
718931,43,0,0,1,0,5,2,115,2,passed
728061,651,0,92,1,1,7,1,190,1,passed
