tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6731717,280,0,26,1,1,4,3,101,3,failed
6731739,281,0,24,1,1,4,3,101,3,failed
6737701,272,0,0,1,1,1,3,28,3,failed
6738361,589,0,229,5,1,24,1,162,1,passed
7419313,7,0,0,0,0,2,2,47,2,passed
7462531,6,0,0,0,0,1,1,92,1,passed
10302576,4,0,0,0,0,2,1,112,1,passed
10303179,19,0,27,0,0,4,1,118,1,passed
10303549,0,0,0,0,0,3,1,21,1,failed
10802690,1,0,0,0,0,1,1,9,1,passed
10802776,2,0,0,0,0,1,1,10,1,passed
11267227,0,0,16,0,0,2,1,18,1,passed
16889229,0,0,16,0,0,3,2,32,2,failed
16905570,2,0,0,0,0,1,1,58,1,failed
17000248,2,0,0,0,0,1,1,113,1,passed
17006201,10,0,0,0,0,1,1,114,1,passed
17008287,19,0,3,0,0,2,1,26,1,passed
17020813,46,0,32,0,0,3,1,128,1,passed
17021130,13,0,0,0,0,2,1,72,1,passed
17022216,33,0,0,0,0,1,1,27,1,passed
17153713,27,0,0,0,0,1,1,116,1,passed
17723127,56,0,0,0,0,1,1,117,1,passed
17739236,15,0,27,0,0,4,1,134,1,passed
17786223,2,0,0,0,0,1,1,118,1,passed
17791198,2,0,0,0,0,1,1,119,1,passed
17858180,15,0,27,0,0,4,1,137,1,passed
18156690,17,0,27,0,0,4,1,138,1,passed
18291615,2,0,0,0,0,1,1,123,1,passed
18292546,0,0,6,0,0,1,1,3,1,passed
25732972,4,0,0,0,0,1,1,14,1,passed
26778055,4,0,0,0,0,1,1,15,1,passed
27162143,2,0,0,0,0,1,1,3,1,passed
27165723,0,0,0,0,0,1,1,5,1,passed
28446705,2,0,0,0,0,1,1,124,1,passed
29443004,8,0,50,0,0,7,2,157,2,passed
29445011,8,0,50,0,0,7,1,159,1,passed
30440380,1,0,0,0,0,1,1,127,1,passed
31365005,8,0,0,0,0,4,1,140,1,failed
31366169,0,0,0,0,0,1,1,16,1,passed
31925874,8,0,0,0,0,1,4,17,4,passed
36395898,7,0,8,0,0,2,1,10,1,passed
36532017,30,0,4,0,0,3,1,143,1,passed
36532358,0,0,1,0,0,1,1,4,1,passed
38779778,8,0,12,0,0,2,1,130,1,passed
41732445,0,0,4,0,0,2,1,21,1,passed
42142752,10,0,0,0,0,1,1,129,1,failed
42426536,0,0,4,0,0,2,1,22,1,passed
42448076,10,0,0,0,0,1,1,130,1,passed
42770115,8,0,12,0,0,2,1,135,1,passed
42772812,85,2,0,0,0,1,1,133,1,passed
42876852,15,0,0,0,0,1,1,5,1,passed
42880432,0,0,12,8,0,2,1,11,1,passed
45380230,87,0,52,1,0,3,3,142,3,passed
45384546,62,0,16,1,0,2,1,150,1,passed
45384870,5,0,0,0,0,1,1,16,1,passed
45388978,5,0,0,0,0,1,1,17,1,passed
45389495,14,0,0,0,0,1,1,18,1,passed
45414047,2,0,0,0,0,1,1,19,1,passed
45745626,2,0,0,0,0,1,1,138,1,passed
45950121,2,0,0,0,0,1,1,21,1,passed
45975131,2,0,7,0,0,2,1,145,1,passed
45977346,4,0,8,0,0,2,1,14,1,passed
45979204,2,0,0,0,0,1,1,22,1,passed
45979599,2,0,0,0,0,1,1,142,1,passed
45980100,0,0,1,0,0,1,1,10,1,passed
45980800,15,0,0,0,0,1,1,143,1,passed
45989869,1,0,0,0,0,1,1,145,1,passed
45996433,12,0,17,0,0,2,1,150,1,failed
46071197,15,2,5,0,0,5,3,178,3,failed
46073658,0,0,4,0,0,1,1,19,1,passed
46073728,212,0,0,1,0,1,1,68,1,passed
46074778,96,0,0,0,0,2,2,70,2,passed
46081674,38,0,6,0,0,4,1,189,1,passed
46721170,4,0,0,0,0,2,1,167,1,passed
46724965,4,0,0,0,0,2,1,168,1,passed
46752719,73,0,21,0,0,5,2,174,2,failed
46758521,13,0,0,0,0,1,2,75,2,passed
46761958,4,0,7,0,0,2,1,38,1,passed
46763429,2,0,0,0,0,1,1,77,1,passed
46764210,2,0,0,0,0,1,1,24,1,failed
46768928,16,0,0,0,0,4,1,202,1,failed
46771610,0,0,0,0,0,1,1,1,1,passed
46777363,2,0,0,0,0,1,1,24,1,passed
46937557,9,0,14,0,0,2,1,7,1,passed
47142318,6,0,0,0,0,2,1,34,1,failed
47143832,0,0,23,0,0,1,1,21,1,passed
47828612,39,0,0,0,0,2,1,158,1,failed
85394830,1,0,0,0,0,1,1,154,1,passed
111828663,0,0,0,0,0,1,1,19,1,failed
111871842,0,0,0,0,0,1,1,20,1,failed
111873346,4,0,0,0,0,4,1,39,1,passed
