tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
26985729,241,0,173,3,0,10,9,193,9,failed
26985889,2,0,0,0,0,1,1,42,1,failed
26986536,0,0,0,0,0,1,1,1,1,failed
26986647,8,0,0,1,0,0,1,0,1,failed
26987633,2,0,0,0,0,3,1,11,1,failed
26987744,0,0,0,0,0,1,1,3,1,passed
27083788,2,0,0,0,0,1,1,43,1,passed
27765159,2,0,0,0,0,1,1,44,1,passed
37057049,9,0,6,0,0,3,1,113,1,passed
37753876,54,0,15,0,0,3,1,97,1,passed
37765683,23,0,9,0,0,2,1,30,1,passed
37769119,5,0,10,0,0,3,1,101,1,passed
37779663,8,0,5,0,0,3,1,63,1,passed
37783899,5,0,2,0,0,2,1,100,1,passed
37843801,4,0,4,0,0,3,1,64,1,passed
38005434,17,0,13,0,0,5,1,114,1,passed
38453973,2,0,0,0,0,1,1,42,1,passed
38596913,21,0,10,0,0,2,1,99,1,passed
39042622,4,0,0,0,0,1,1,20,1,passed
39868471,104,0,50,2,0,4,1,105,1,passed
44474116,1,0,11,0,0,3,1,109,1,failed
44474154,10,0,0,1,0,0,1,0,1,passed
47998936,545,0,168,3,0,2,2,33,2,passed
48053914,12,0,10,0,0,6,2,155,2,passed
48054114,4,0,0,0,0,1,1,1,1,passed
48071193,71,0,4,0,0,2,1,111,1,passed
48158489,8,0,0,0,0,1,1,2,1,passed
48242908,23,0,8,0,0,6,1,106,1,passed
48245349,9,0,2,0,0,2,1,109,1,passed
48245615,2,0,0,0,0,1,1,25,1,passed
48301929,3,0,9,0,0,2,1,3,1,passed
48433628,12,0,0,0,0,2,1,13,1,passed
49096129,54,0,12,0,0,3,1,6,1,passed
49109005,25,0,27,2,0,1,1,48,1,passed
49231902,9,0,0,0,0,1,1,4,1,passed
49232199,4,0,0,0,0,1,1,26,1,passed
49405877,2,0,0,0,0,1,1,4,1,passed
49932440,2,0,0,0,0,1,1,5,1,passed
50132585,10,0,9,0,0,3,1,45,1,passed
50343299,17,0,12,0,0,2,1,7,1,passed
50355625,45,0,0,0,0,2,1,8,1,passed
50387177,2,0,0,0,0,1,1,27,1,passed
50418872,163,0,52,5,0,8,1,127,1,passed
50578085,21,0,23,2,0,1,1,15,1,passed
50689940,33,0,23,3,0,1,1,17,1,passed
50755364,5,0,6,0,0,3,1,69,1,passed
50762156,32,0,48,0,0,3,1,54,1,passed
50773037,13,0,11,0,0,2,1,3,1,passed
50824124,57,0,110,0,0,3,1,56,1,passed
50833641,64,0,98,0,0,3,1,57,1,passed
50839527,57,0,15,0,0,5,1,95,1,passed
50872972,10,0,12,0,0,4,1,74,1,passed
50873763,24,0,0,0,0,1,1,57,1,passed
51075162,8,0,5,0,0,2,1,9,1,passed
51075668,4,0,0,0,0,1,1,29,1,passed
51077642,4,0,4,0,0,3,1,32,1,passed
51088886,2,0,0,0,0,1,1,58,1,passed
51126909,2,0,0,0,0,1,1,59,1,passed
51621292,22,0,0,0,0,1,1,10,1,passed
51688172,45,0,7,0,0,2,1,106,1,passed
51750565,7,0,9,0,0,2,1,12,1,passed
51851473,13,0,17,0,0,2,1,13,1,passed
51993300,2,0,2,0,0,2,1,110,1,passed
52231859,4,0,4,0,0,2,1,14,1,passed
52326966,2,0,10,0,0,2,1,15,1,passed
52491720,11,0,21,0,0,2,1,16,1,passed
52558094,4,0,12,0,0,2,1,17,1,passed
52624756,41,0,30,0,0,3,1,44,1,passed
52631763,10,0,0,0,0,1,1,41,1,passed
52634638,4,0,306,0,0,2,1,60,1,passed
52647150,2,0,0,0,0,1,1,12,1,passed
52777474,30,0,16,0,0,2,1,19,1,passed
52807144,10,0,17,0,0,2,1,20,1,passed
52910581,7,0,7,0,0,2,1,4,1,passed
52952156,9,0,2,0,0,2,1,21,1,passed
53110919,17,0,4,1,0,4,1,115,1,passed
53211080,17,0,0,0,0,2,1,45,1,passed
53220518,28,0,10,0,0,2,1,22,1,passed
53222309,2,0,44,0,0,2,1,50,1,passed
53445787,4,0,0,0,0,1,1,31,1,passed
53527086,15,0,12,0,0,4,1,89,1,passed
53575276,103,0,11,0,0,2,1,24,1,passed
53587140,27,0,27,0,0,2,1,25,1,passed
53631389,2,0,0,0,0,1,1,32,1,passed
54879704,60,0,0,0,0,3,1,84,1,passed
54885793,1,0,0,0,0,1,1,7,1,passed
54963766,65,0,0,0,0,4,1,84,1,passed
55014151,34,0,0,0,0,2,1,32,1,passed
55042803,33,0,0,0,0,3,1,34,1,passed
55046564,11,0,0,0,0,1,1,15,1,failed
55108334,6,0,145,1,0,2,2,35,2,passed
55210197,6,0,0,0,0,2,1,30,1,passed
56284310,4,0,6,0,0,2,1,56,1,passed
56286727,35,0,0,0,0,2,1,71,1,passed
56288326,8,0,0,0,0,1,1,27,1,passed
56301858,169,0,0,0,0,5,2,162,2,passed
56302733,59,0,0,0,0,3,2,51,2,passed
56402209,15,0,0,0,0,3,2,42,2,passed
56432441,97,0,6,0,0,5,1,133,1,passed
56572474,76,0,167,0,0,4,2,55,2,passed
56590220,16,0,5,0,0,2,1,32,1,passed
56599934,4,0,0,0,0,1,1,31,1,passed
56721255,6,0,0,0,0,1,1,33,1,passed
56927187,6,0,0,0,0,3,1,53,1,passed
57476536,2,0,0,0,0,1,1,32,1,passed
57568339,30,0,7,0,0,2,1,35,1,passed
57585248,0,0,0,0,0,1,1,4,1,passed
57994755,5,0,7,0,0,2,1,36,1,passed
58023102,2,0,0,0,0,1,1,35,1,passed
58166663,21,0,7,0,0,2,1,37,1,passed
58481977,19,0,5,0,0,2,1,114,1,passed
58803164,197,0,24,0,0,5,3,183,3,passed
59123854,4,0,0,0,0,1,1,9,1,passed
59278090,41,0,17,0,0,3,1,58,1,passed
59278431,2,0,0,0,0,1,1,37,1,passed
59472091,5,0,4,0,0,3,1,81,1,passed
60374429,8,0,11,0,0,5,2,189,2,passed
60687911,2,0,0,0,0,1,1,38,1,passed
60748296,40,0,8,0,0,3,1,78,1,passed
61872137,28,0,1,0,0,8,1,228,1,passed
62584475,21,0,10,0,0,2,1,42,1,passed
62600410,24,0,6,0,0,2,1,43,1,passed
62691879,40,0,5,0,0,2,1,44,1,passed
62739238,5,0,0,0,0,2,1,81,1,passed
62751965,2,0,0,0,0,1,1,44,1,passed
62869974,2,0,0,0,0,1,1,13,1,passed
68866848,2,0,0,0,0,1,1,41,1,passed
78770300,7,0,5,0,0,4,1,122,1,passed
