tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
41428858,0,0,0,0,0,2,1,74,1,passed
42513153,0,0,0,0,0,1,1,74,1,passed
42589027,0,0,0,0,0,1,1,75,1,passed
42589045,0,0,0,0,0,1,1,76,1,passed
42589402,2,0,0,0,0,1,1,101,1,passed
43446977,0,0,0,0,0,1,1,77,1,passed
43451057,0,0,201,1,0,2,1,22,1,passed
43451267,0,0,14,0,0,1,1,1,1,passed
43654295,0,0,0,0,0,1,1,78,1,passed
43654673,3,0,0,0,0,1,1,102,1,passed
43659800,3,0,0,0,0,1,1,103,1,passed
51206938,34,0,6,0,0,3,1,103,1,passed
51207212,0,0,0,0,0,1,1,80,1,passed
51207502,0,0,0,0,0,1,1,81,1,passed
51207534,0,0,0,0,0,1,1,82,1,passed
51207908,10,0,0,0,0,1,1,104,1,passed
51210543,11,0,0,0,0,1,1,105,1,passed
51210964,2,0,0,0,0,1,1,106,1,passed
52499728,0,0,0,0,0,1,1,83,1,passed
54067770,437,0,3169,0,1,5,1,120,1,passed
54073515,0,0,0,0,0,1,2,85,2,passed
54073638,0,0,0,0,0,1,1,87,1,passed
54073669,0,0,0,0,0,1,1,88,1,passed
54659714,12,0,0,0,0,1,1,107,1,passed
54659833,4,0,0,0,0,1,1,108,1,passed
54667627,1402,0,0,1,0,2,1,148,1,passed
56712506,16,0,44,0,0,5,1,47,1,passed
56712558,0,0,0,0,0,1,1,8,1,passed
56712816,0,0,60,0,0,2,1,23,1,passed
56714278,66,0,0,0,0,1,1,19,1,passed
56714326,1,0,0,0,0,1,1,20,1,passed
56715329,1440,0,0,0,0,2,1,83,1,passed
56716805,97,0,0,0,0,1,1,21,1,passed
56717041,5,0,0,0,0,1,1,22,1,passed
56717251,0,0,0,0,0,1,1,89,1,passed
56717294,0,0,0,0,0,1,1,90,1,passed
56718723,2,0,0,0,0,1,1,109,1,passed
56784280,2,0,0,0,0,1,1,110,1,passed
56810305,20,0,0,0,1,1,1,69,1,passed
56814220,51,0,0,0,0,1,1,7,1,passed
56814332,2,0,0,0,0,1,1,8,1,passed
56844711,152,0,0,0,0,1,1,9,1,passed
56847221,208,0,2,2,1,4,1,54,1,passed
56856070,8,0,31,1,0,2,1,1,1,passed
56874664,15,0,56,0,0,2,1,2,1,passed
56875150,0,0,0,0,0,1,1,91,1,passed
56875164,0,0,0,0,0,1,1,92,1,passed
56876667,2,0,0,0,0,1,1,111,1,passed
56877131,613,0,3487,0,0,25,1,200,1,passed
57230789,10,0,7,0,0,2,1,4,1,passed
57277397,1,0,0,0,0,1,1,5,1,passed
57277811,10,0,0,0,0,1,1,5,1,passed
57278653,0,0,0,0,0,1,1,93,1,passed
57278685,0,0,0,0,0,1,1,94,1,passed
57278947,2,0,0,0,0,1,1,112,1,passed
57290299,16,0,0,0,0,1,1,6,1,passed
57739594,28,0,2,1,0,4,1,49,1,passed
57903232,0,0,0,0,0,1,1,95,1,passed
58028234,197,0,246,0,5,7,1,268,1,passed
58372605,1,0,2,0,0,2,1,82,1,passed
58395407,1,0,0,0,0,1,1,113,1,passed
58395782,2,0,0,0,0,1,1,114,1,passed
58396146,1,0,0,0,0,1,1,115,1,passed
58396167,0,0,0,0,0,1,1,98,1,passed
58550603,41,0,0,0,0,1,1,92,1,passed
58581983,0,0,0,0,0,1,1,99,1,passed
58582034,0,0,0,0,0,1,1,100,1,passed
58583710,2,0,0,0,0,1,1,116,1,passed
59469941,62,0,0,0,0,2,2,33,2,passed
60088349,1,0,0,0,0,1,1,10,1,passed
60758973,0,0,0,0,0,1,1,101,1,passed
60759021,0,0,0,0,0,1,1,102,1,passed
60759922,2,0,0,0,0,1,1,117,1,passed
61261930,2,0,0,0,0,2,1,217,1,passed
64806988,47,0,45,4,0,3,2,196,2,passed
65025911,21,0,73,1,0,4,1,140,1,passed
65195620,0,0,80,1,0,0,1,0,1,failed
65195937,0,0,18,0,0,1,1,1,1,passed
65204078,167,0,51,3,0,3,1,94,1,passed
65205746,155,0,0,1,0,3,1,156,1,passed
65213170,0,0,0,0,0,1,1,106,1,passed
65213195,0,0,0,0,0,1,1,107,1,passed
65219583,33,0,0,0,0,1,1,119,1,passed
65220047,19,0,0,0,0,2,1,184,1,passed
65222233,4,0,0,0,0,1,1,121,1,passed
65226396,10,0,0,0,0,1,1,122,1,passed
65231504,9,0,0,1,0,0,1,0,1,passed
65233882,66,0,22,1,0,4,1,162,1,passed
65237154,0,0,2,0,0,1,1,28,1,passed
