tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1140591,187,0,57,3,0,7,7,95,7,failed
1140625,1,0,0,0,0,1,1,30,1,failed
1140637,8,0,0,0,0,1,1,31,1,failed
1140664,0,0,0,0,0,1,1,1,1,passed
1140681,0,0,0,0,0,1,1,64,1,passed
2201547,2,0,6,0,0,2,1,11,1,passed
2202795,2,0,6,0,0,2,1,12,1,passed
4434426,28,0,2,0,0,7,2,82,2,passed
5929991,31,0,81,0,0,3,2,114,2,failed
5975930,31,0,81,0,0,3,2,114,2,failed
5976236,22,0,10,0,1,3,2,43,2,passed
5976301,0,0,0,0,0,1,1,3,1,passed
6718281,6,0,14,0,0,3,2,118,2,passed
6840239,6,0,14,0,0,3,2,118,2,passed
8014628,4,0,0,0,0,2,1,50,1,passed
8025757,10,0,0,0,0,4,4,99,4,passed
8494879,365,1,31,1,0,7,3,84,3,passed
8948330,549,0,62,1,1,10,7,151,7,passed
11117150,0,0,0,0,0,1,1,74,1,passed
11125292,0,0,0,0,0,1,1,75,1,passed
14379616,2,0,10,0,0,2,1,79,1,passed
16900551,6,0,0,0,0,4,2,31,2,passed
16900992,22,0,0,0,0,1,1,2,1,passed
18017685,67,0,28,0,0,4,1,46,1,passed
20630951,2,0,9,0,0,2,1,24,1,passed
20704450,2,0,9,0,0,2,1,24,1,passed
28132298,80,0,0,0,0,4,3,104,3,passed
28132707,4,0,0,0,0,1,1,41,1,passed
28255179,2,0,0,0,0,1,1,20,1,passed
32570589,43,0,162,0,0,2,2,22,2,passed
34242429,14,0,0,0,0,3,2,100,2,passed
34243094,12,0,0,0,0,3,2,102,2,passed
39409802,3,0,0,0,0,1,1,26,1,passed
39437710,4,0,0,0,0,1,1,45,1,passed
43894811,0,0,0,0,0,1,1,11,1,passed
44893513,11,0,0,0,0,2,1,104,1,passed
44893726,2,0,0,0,0,1,1,51,1,passed
49424465,2,0,4,0,0,2,1,109,1,passed
49488034,13,0,17,0,0,4,2,103,2,passed
51757067,4,0,0,0,0,1,1,55,1,passed
51757688,0,0,0,0,0,1,1,13,1,passed
59285648,4,0,0,0,0,1,1,59,1,passed
95867449,2,0,0,0,0,1,1,69,1,passed
95870046,8,0,0,0,0,1,1,60,1,passed
95871902,6,0,0,0,0,2,1,91,1,passed
145403739,0,0,0,0,0,2,1,21,1,passed
145406120,154,0,67,0,0,5,2,116,2,passed
154323518,18,0,0,0,0,3,1,149,1,passed
154324629,9,0,0,0,0,3,2,115,2,passed
