tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4538996,1630,0,386,12,0,26,70,68,70,failed
4539117,0,0,3,0,0,2,2,3,2,failed
4539143,0,0,0,0,0,1,1,2,1,passed
4539211,5,0,0,0,0,2,1,45,1,passed
4552726,1,0,0,0,0,1,1,41,1,passed
4555490,25,0,0,0,0,1,1,42,1,passed
4555674,25,0,0,0,0,1,1,43,1,passed
4563606,27,0,0,0,0,2,2,53,2,passed
4563692,8,0,0,0,0,1,1,46,1,passed
4676457,20,0,7,0,0,4,1,35,1,passed
4694505,20,0,7,0,0,4,1,36,1,passed
4694553,20,0,7,0,0,4,1,38,1,passed
4697164,777,0,95,3,3,11,9,92,9,passed
4715167,36,0,0,0,0,3,2,34,2,passed
4747211,45,0,25,0,0,8,1,61,1,passed
4784370,61,0,28,0,0,7,4,42,4,passed
4823044,38,0,23,0,0,7,1,64,1,passed
4826255,19,0,24,0,0,7,2,65,2,passed
4826724,29,0,11,0,0,4,1,90,1,passed
4830554,2,0,0,0,0,1,1,10,1,passed
4831035,12,0,0,0,0,3,1,32,1,passed
4831347,2,0,0,0,0,1,1,6,1,passed
4842877,179,0,58,0,0,11,8,105,8,passed
4843029,16,0,0,0,0,3,1,74,1,passed
4843042,2,0,0,0,0,1,1,12,1,passed
4843528,2,0,13,0,0,2,1,14,1,passed
5158895,67,0,81,2,0,4,2,55,2,passed
5180483,0,0,32,0,0,2,1,43,1,passed
5181079,8,0,0,0,0,5,4,42,4,failed
5182210,15,0,0,0,0,1,1,6,1,passed
5186453,3,0,0,0,0,2,2,64,2,passed
5188277,23,0,31,0,0,6,3,85,3,passed
5188619,38,0,11,0,0,7,1,71,1,failed
5188667,2,0,0,0,0,1,1,8,1,passed
6460775,41,0,30,0,0,6,3,108,3,passed
6463288,9,0,43,0,0,4,1,69,1,passed
6463305,9,0,43,0,0,4,1,70,1,passed
6463517,21,0,49,0,0,4,2,71,2,passed
6463702,2,0,12,0,0,3,1,58,1,passed
6463931,2,0,10,0,0,3,1,59,1,passed
6464551,2,0,22,0,0,3,1,60,1,passed
6464556,7,0,0,0,0,1,1,4,1,failed
6464561,7,0,0,0,0,1,1,5,1,failed
6464577,3,0,0,0,0,2,1,57,1,passed
6464580,3,0,0,0,0,2,1,58,1,passed
6471798,4,0,0,0,0,2,1,23,1,passed
6525101,78,0,27,0,0,8,2,144,2,passed
6556104,78,0,27,0,0,8,1,146,1,passed
6558224,344,0,30,3,0,7,3,55,3,passed
6558283,4,0,0,0,0,2,1,24,1,passed
6658891,64,0,28,1,0,9,5,106,5,passed
6658956,2,0,0,0,0,1,1,17,1,passed
6661658,47,0,0,0,0,4,4,64,4,passed
6663392,152,0,4,0,1,7,5,54,5,failed
6664238,41,0,0,0,0,3,2,39,2,passed
6664332,2,0,0,0,0,1,1,19,1,passed
6695556,44,0,58,0,0,8,7,158,7,passed
6696128,14,0,8,0,0,4,2,81,2,passed
6734761,7,0,0,0,0,1,1,65,1,passed
6747069,44,0,0,0,0,5,2,82,2,passed
7082776,58,0,48,0,0,13,4,179,4,passed
7362406,40,0,23,0,0,4,3,96,3,passed
8129147,28,1,181,0,0,4,1,99,1,passed
8324080,95,0,17,0,0,10,1,185,1,passed
8325094,103,0,0,0,1,7,3,137,3,passed
8515273,347,0,29,1,0,13,9,198,9,passed
8519791,22,0,0,0,0,5,3,134,3,passed
8542102,5,0,0,0,0,3,2,40,2,passed
8579332,114,0,33,0,0,9,3,186,3,passed
8579784,2,0,0,0,0,1,1,25,1,passed
9212972,542,0,311,4,0,20,11,225,11,passed
