tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2364052,1574,0,980,6,7,31,11,34,11,failed
2364106,0,0,0,0,0,1,1,1,1,passed
2364153,0,0,0,0,0,1,1,10,1,passed
2429735,181,0,66,0,6,3,4,10,4,passed
2429748,181,0,66,0,6,3,1,14,1,passed
2552005,31,0,44,0,0,4,1,6,1,passed
2634032,45,0,31,1,0,16,3,16,3,failed
2634056,0,0,0,0,0,1,1,11,1,failed
2634067,0,0,0,0,1,0,1,6,1,failed
2643303,15,0,1,0,0,2,1,4,1,passed
2698616,0,0,667,88,9,33,1,29,1,passed
2715891,0,0,667,88,9,33,1,30,1,passed
2715964,0,0,0,0,1,0,1,3,1,passed
2727122,76,0,202,5,0,3,1,46,1,passed
2727736,76,0,202,5,0,3,1,47,1,passed
2820433,4,0,0,0,0,1,1,3,1,passed
2880380,0,0,0,0,0,9,1,38,1,passed
2880415,0,0,0,0,0,9,1,39,1,passed
2920613,6,0,0,0,2,2,2,44,2,passed
2920661,0,0,0,0,2,1,1,43,1,passed
2983476,0,0,0,0,0,9,1,75,1,passed
2983481,0,0,0,0,0,9,1,76,1,passed
2983636,0,0,0,0,0,1,1,12,1,passed
2983648,0,0,0,0,0,1,1,13,1,passed
2983654,0,0,0,0,0,1,1,14,1,passed
3174602,35,0,157,0,0,3,2,6,2,passed
3174635,35,0,155,0,0,3,1,8,1,passed
3174713,0,0,0,0,0,8,1,40,1,passed
3216590,57,0,71,0,3,11,3,96,3,passed
3219569,57,0,71,0,3,11,1,99,1,passed
3222967,14,0,0,0,0,2,1,5,1,passed
3256511,0,0,0,0,0,1,1,17,1,passed
3275800,0,0,0,0,0,2,1,22,1,passed
3579452,56,0,150,3,0,3,1,54,1,passed
3580187,56,0,150,3,0,3,1,55,1,passed
3580240,0,0,0,0,0,1,1,18,1,passed
3588520,0,0,2,0,0,1,1,5,1,passed
3623756,0,0,2,0,0,1,1,6,1,passed
4121716,196,0,53,0,0,6,1,23,1,passed
4126217,196,0,53,0,0,6,1,24,1,passed
4294303,78,0,0,1,0,0,1,0,1,passed
4313075,78,0,0,1,0,0,1,1,1,passed
4589704,208,0,146,3,0,3,1,56,1,passed
4609779,208,0,146,3,0,3,1,57,1,passed
5357674,121,0,37,1,0,2,1,5,1,passed
5357924,121,0,37,1,0,2,1,6,1,passed
5358122,134,0,126,2,0,5,1,60,1,passed
5367392,134,0,126,2,0,5,1,61,1,passed
5727060,202,0,136,3,0,3,1,60,1,passed
6038001,0,0,0,0,0,1,1,19,1,passed
6038004,0,0,0,0,0,1,1,20,1,passed
6038044,0,0,0,0,0,1,1,21,1,passed
6038119,0,0,0,0,0,1,1,22,1,passed
6038183,0,0,0,0,0,1,1,23,1,passed
6038257,0,0,0,0,0,1,1,24,1,passed
6038390,0,0,0,0,0,1,1,25,1,passed
6041131,0,0,0,0,0,1,1,26,1,passed
6108332,0,0,0,0,0,1,1,27,1,passed
6191974,101,0,0,0,0,7,2,84,2,passed
6196813,101,0,0,0,0,7,1,86,1,passed
6279896,0,0,17,0,0,1,1,6,1,passed
6309141,0,0,17,0,0,1,1,7,1,passed
6404142,0,0,0,0,0,8,1,46,1,passed
6502760,0,0,0,0,0,1,1,30,1,passed
9447531,0,0,0,0,0,1,1,2,1,passed
9447824,487,0,407,3,3,3,1,16,1,passed
9448712,487,0,407,3,3,3,1,17,1,passed
9724871,0,0,0,0,0,1,1,14,1,passed
9762979,0,0,0,0,0,1,1,15,1,passed
9793915,0,0,0,0,0,1,1,31,1,passed
9837535,133,0,186,4,0,3,1,63,1,passed
9842873,133,0,186,4,0,3,1,64,1,passed
9843040,0,0,0,0,0,1,1,32,1,passed
9902054,666,0,362,9,2,2,1,66,1,passed
9956944,666,0,362,9,2,2,1,67,1,passed
10178481,0,0,0,0,0,1,1,33,1,passed
10210718,406,0,350,8,0,3,1,68,1,passed
10488554,406,0,835,3,0,3,1,15,1,passed
10505766,406,0,835,3,0,3,1,17,1,passed
10678516,0,0,0,0,0,1,1,25,1,passed
10711860,362,1,321,3,0,5,1,71,1,passed
10734811,0,0,0,0,0,1,1,26,1,passed
10895553,43,0,6,0,0,2,1,1,1,passed
11047676,339,0,327,3,0,5,1,73,1,passed
11096271,82,0,68,0,0,4,1,24,1,passed
11099294,82,0,68,0,0,4,1,25,1,passed
11212842,0,0,0,0,0,1,1,5,1,passed
11212881,0,0,0,0,0,1,1,6,1,passed
