tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
37694856,1,0,0,0,0,2,1,9,1,passed
37718777,17,0,0,0,0,1,1,24,1,passed
37719457,13,0,0,0,0,2,2,28,2,passed
38065734,9,0,0,0,0,3,1,52,1,passed
38218594,49,0,27,0,0,5,3,46,3,passed
38282070,16,0,20,0,0,3,1,19,1,passed
38304100,18,0,18,0,0,3,1,34,1,passed
38307098,0,0,0,0,0,1,2,2,2,passed
38380570,2,0,0,0,0,1,1,28,1,passed
38388498,5,0,0,0,0,1,1,19,1,passed
38388774,41,0,10,1,1,7,1,29,1,passed
38410239,4,0,55,1,0,4,2,30,2,passed
38410509,2,0,0,0,0,1,1,5,1,passed
38410779,4,0,0,0,0,1,1,20,1,passed
38428472,0,0,4,0,0,1,1,1,1,passed
38630383,2,0,0,0,0,1,1,1,1,passed
38663181,15,0,48,0,0,6,1,38,1,passed
38822072,112,0,0,3,3,3,1,31,1,passed
38828379,48,0,0,0,0,5,1,28,1,passed
38829285,13,0,0,0,0,1,1,29,1,passed
38946551,4,0,0,0,0,1,1,24,1,passed
38946772,2,0,0,0,0,1,1,25,1,passed
39031028,143,0,242,0,0,18,2,80,2,passed
39031988,15,0,0,0,0,1,1,27,1,passed
39033424,13,0,46,1,0,2,1,21,1,passed
39040336,44,0,0,0,0,1,1,28,1,passed
39055690,4,0,0,0,0,1,1,29,1,passed
39077396,13,0,94,1,1,4,1,30,1,failed
39080306,0,0,2,0,0,1,1,1,1,passed
39080946,76,0,0,0,0,1,1,30,1,passed
39098447,3,0,29,0,0,3,1,16,1,passed
39102681,4,0,0,0,0,1,1,31,1,passed
39102853,2,0,0,0,0,1,1,2,1,passed
39115478,2,0,0,0,0,1,1,32,1,passed
39256508,5,0,0,0,0,1,1,33,1,passed
39643786,4,0,0,0,0,2,1,29,1,passed
39705161,15,0,12,0,0,9,1,52,1,passed
39952722,42,2,0,0,0,2,3,62,3,passed
40012746,40,0,0,0,0,2,1,65,1,passed
40060234,3,0,31,0,0,5,2,62,2,passed
40171561,20,0,0,1,0,3,1,53,1,passed
40181144,2,0,0,0,0,1,1,11,1,passed
40216581,2,0,0,0,0,1,1,12,1,passed
40280927,8,0,0,0,0,2,1,47,1,passed
40431022,5,0,1,0,0,2,1,11,1,passed
41087461,250,0,235,4,3,15,1,127,1,passed
41087512,2,0,0,0,0,1,1,40,1,passed
41088705,14,0,44,0,0,2,1,14,1,passed
41799844,2,0,0,0,0,1,1,3,1,passed
42160297,10,0,0,0,0,1,2,41,2,passed
42182807,10,0,0,0,0,1,1,43,1,passed
43250339,2,0,0,0,0,1,1,14,1,passed
43351966,2,0,0,0,0,1,1,44,1,passed
43377802,2,0,0,0,0,1,1,45,1,passed
43453604,6,0,0,0,0,1,1,39,1,passed
44037507,15,0,6,0,0,4,1,58,1,passed
44678455,6,0,0,0,0,1,1,40,1,passed
45022048,17,0,6,0,0,4,1,60,1,passed
45546008,154,0,142,1,1,3,2,27,2,passed
45681054,99,0,62,0,0,9,3,137,3,passed
45769925,124,0,10,1,0,9,2,139,2,passed
46096651,4,0,0,0,0,1,2,49,2,passed
46097306,2,0,0,0,0,1,1,52,1,passed
46116160,6,0,0,0,0,3,2,14,2,passed
46121460,6,0,0,0,0,3,1,16,1,passed
46193832,25,0,0,0,0,2,1,88,1,passed
46329816,18,0,15,0,0,3,1,42,1,passed
46331343,2,0,0,0,0,1,1,53,1,passed
46331786,1,0,0,0,0,1,1,12,1,passed
46338024,10,0,0,0,0,4,1,65,1,passed
46338286,1,0,0,0,0,1,1,14,1,passed
46353255,18,0,15,0,0,3,1,43,1,passed
46353686,25,0,0,0,0,2,1,89,1,passed
46354850,23,0,97,0,0,6,2,54,2,passed
46673045,163,0,136,3,2,9,1,127,1,passed
46750821,2,0,0,0,0,1,1,58,1,passed
46760930,2,0,0,0,0,1,1,59,1,passed
46843636,34,0,1,0,0,4,1,109,1,passed
48334535,24,0,0,0,0,3,2,106,2,passed
48613714,2,0,0,0,0,1,1,27,1,passed
