tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
5425347,42,0,0,2,1,5,3,56,3,failed
5425422,42,0,0,2,1,5,3,56,3,failed
5425666,0,0,0,0,0,1,1,3,1,passed
5426020,2,0,0,0,0,1,1,69,1,passed
5449630,0,0,0,0,0,1,1,4,1,passed
5454497,123,0,6,0,0,7,1,141,1,passed
5454605,2,0,0,0,0,2,1,24,1,passed
5937843,0,0,0,0,0,1,1,9,1,passed
5972904,38,0,12,3,0,8,1,57,1,passed
5980682,38,0,12,3,0,8,1,58,1,passed
5985636,64,0,0,0,0,3,2,92,2,passed
5985692,2,0,0,0,0,1,1,72,1,passed
6017234,45,0,0,0,0,1,1,41,1,passed
6076460,0,0,0,2,1,0,1,8,1,passed
6090560,2,0,0,0,0,2,1,24,1,passed
6095354,6,0,0,0,0,1,1,73,1,passed
6117619,9,0,2,0,0,2,2,43,2,passed
6213377,12,0,0,0,0,4,3,51,3,passed
6213393,2,0,0,0,0,1,1,20,1,passed
6213418,0,0,0,0,0,1,1,16,1,passed
6346905,9,0,2,0,0,2,1,45,1,passed
6353840,114,0,9,1,0,12,1,97,1,passed
6360732,114,0,9,1,0,12,1,100,1,passed
6360778,0,0,0,0,0,2,1,28,1,passed
6958596,10,0,0,0,0,4,1,45,1,passed
7117921,6,0,0,0,0,1,1,74,1,passed
7124236,0,0,0,0,0,1,1,12,1,passed
7149177,0,0,0,0,0,1,1,18,1,passed
7187534,37,0,0,0,0,5,2,64,2,passed
7278385,181,0,2,0,0,15,1,130,1,passed
7278601,11,0,0,0,0,3,1,23,1,passed
7278932,21,0,0,0,0,2,1,89,1,passed
7279209,2,0,0,0,0,1,1,15,1,passed
7281750,37,0,0,0,0,5,1,67,1,passed
7281800,0,0,0,0,0,1,1,19,1,passed
8304339,2,0,0,0,0,1,1,76,1,passed
8341581,2,0,0,0,0,1,1,77,1,passed
9035036,7,0,0,0,0,1,1,78,1,passed
9564116,8,0,0,0,0,1,1,79,1,passed
9572270,8,0,0,0,0,1,1,80,1,passed
10968134,2,0,0,0,0,1,1,20,1,passed
11035741,81,0,44,4,0,9,4,54,4,passed
11066980,33,0,0,0,0,2,2,23,2,passed
11077508,25,0,14,2,0,2,2,54,2,passed
11153098,22,0,14,2,0,2,1,57,1,passed
11202793,172,0,0,0,0,6,3,149,3,passed
11245536,52,0,0,0,0,1,5,81,5,passed
11880007,23,0,0,0,0,1,1,7,1,passed
11953904,14,0,0,0,0,1,1,8,1,passed
11956324,2,0,0,0,0,1,1,81,1,passed
11957880,2,0,0,0,0,1,1,82,1,passed
11960459,0,0,28,0,0,2,1,15,1,passed
11960829,5,0,28,0,0,3,2,22,2,passed
12004250,0,0,0,0,0,1,1,20,1,passed
12047696,131,0,42,6,1,9,4,91,4,passed
12048807,2,0,0,0,0,1,1,27,1,passed
12049435,68,0,0,0,0,1,1,89,1,passed
12102526,2,0,0,0,0,1,1,90,1,passed
12103729,2,0,0,0,0,1,1,91,1,passed
12130607,2,0,0,0,0,1,1,97,1,passed
13170153,3,0,0,0,0,3,1,53,1,passed
13705210,2,1,8,0,1,4,2,35,2,passed
13802626,0,0,6,0,0,1,1,11,1,passed
13802667,0,0,0,0,0,1,1,22,1,passed
13818280,2,0,0,0,0,1,1,98,1,passed
13818633,2,0,0,0,0,1,1,99,1,passed
16211817,84,0,51,0,0,7,1,176,1,passed
16756939,41,0,0,0,0,4,1,169,1,passed
17389136,20,0,0,0,0,3,1,67,1,passed
17470659,3,0,0,0,0,1,1,24,1,passed
17500275,3,0,0,0,0,1,1,25,1,passed
17500549,20,0,0,0,0,3,1,68,1,passed
17501348,4,0,0,0,0,1,1,28,1,passed
17578160,3,0,8,0,0,2,2,64,2,passed
18670785,92,0,57,0,0,7,1,182,1,passed
18671297,15,0,6,0,0,4,1,176,1,passed
18673335,3,0,0,0,0,4,1,59,1,passed
18698353,0,0,84,0,0,7,1,42,1,passed
19075998,16,0,6,0,0,2,1,38,1,passed
19611883,24,0,0,0,0,1,1,104,1,passed
19801883,0,0,84,0,0,7,1,43,1,passed
19802115,40,0,6,0,0,3,1,144,1,passed
24879150,2,0,0,0,0,1,1,106,1,passed
28844704,689,0,135,2,0,52,3,326,3,failed
28846417,66,0,16,0,0,39,1,202,1,passed
29582868,64,0,18,0,0,40,3,203,3,failed
29638397,22,0,0,0,0,5,2,49,2,passed
29642022,4,0,0,0,0,2,1,71,1,failed
29790176,2,0,0,0,0,1,1,107,1,failed
29790969,22,0,0,0,0,5,1,52,1,passed
29793543,146,0,0,0,0,6,1,64,1,passed
29793715,0,0,0,0,0,1,1,5,1,passed
30171704,158,0,0,0,0,11,1,183,1,passed
32053374,659,0,133,2,0,52,1,343,1,passed
32053784,0,0,0,0,0,1,1,26,1,passed
35552183,302,0,402,2,0,9,7,182,7,passed
44141118,236,0,234,2,0,7,1,189,1,failed
44151043,0,0,2,0,0,2,1,29,1,failed
44211448,12,0,0,0,0,1,1,37,1,passed
44219637,145,0,143,0,0,7,5,179,5,passed
44656897,12,0,0,0,0,1,1,38,1,passed
47527345,1124,0,435,4,0,52,3,359,3,passed
49407349,4,0,0,0,0,1,1,114,1,passed
55285391,4,0,0,0,0,1,1,115,1,failed
55285446,4,0,0,0,0,1,1,116,1,failed
55286021,2,0,0,0,0,1,1,68,1,passed
55286220,6,0,0,0,0,1,1,13,1,passed
55287035,8,0,0,0,0,2,1,79,1,passed
55290340,18,0,32,0,0,3,1,103,1,passed
55290471,0,0,0,0,0,1,1,29,1,passed
59776849,6,0,0,0,0,4,2,114,2,passed
59779729,2,0,0,0,0,1,1,33,1,passed
69359348,11,0,0,0,0,3,2,35,2,passed
69931702,3,0,0,0,0,2,1,150,1,passed
69935024,20,0,0,0,0,4,1,46,1,passed
74626708,12,0,0,0,0,4,2,49,2,passed
79180970,14,0,0,0,0,4,1,50,1,passed
79182637,2,0,0,0,0,1,1,34,1,passed
79267866,2,0,0,0,0,1,1,44,1,passed
79914478,10,0,0,0,0,1,1,78,1,passed
82080238,259,0,313,2,0,7,2,190,2,passed
82257083,12,0,47,0,0,3,1,92,1,passed
82916237,4,0,0,0,0,1,1,121,1,passed
88333021,4,0,0,0,0,1,1,122,1,passed
88333476,12,0,47,0,0,3,1,93,1,passed
88334028,0,0,0,0,0,1,1,12,1,passed
88337819,2,0,0,0,0,1,1,45,1,passed
88401994,2,0,0,0,0,2,1,45,1,passed
88744232,169,0,53,0,0,10,8,258,8,passed
91922920,243,1,279,2,0,5,1,197,1,passed
106969561,0,0,0,0,0,1,1,14,1,failed
106971164,20,0,2,0,0,6,2,119,2,passed
114790588,85,0,41,0,0,9,1,274,1,failed
116984384,2,0,0,0,0,1,1,44,1,passed
116986188,8,0,0,0,0,1,1,133,1,passed
119275395,3,0,0,0,0,1,1,5,1,passed
119280677,13,0,0,0,0,4,1,81,1,passed
119284569,2,0,0,0,0,1,1,26,1,passed
145899635,0,0,0,0,0,1,1,16,1,passed
145901394,2,0,0,0,0,1,1,135,1,passed
