tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
11532539,2937,3,695,16,0,7,9,0,9,passed
11532683,2937,3,695,16,0,7,9,0,9,passed
12026201,195,0,25,2,0,14,4,8,4,passed
12026289,195,0,25,2,0,14,4,8,4,passed
12146943,2,0,0,0,0,1,1,4,1,passed
12147064,2,0,0,0,0,1,1,4,1,passed
13063278,18,0,0,0,0,1,1,5,1,passed
13071960,18,0,0,0,0,1,1,5,1,passed
14221010,0,0,0,0,0,1,1,7,1,passed
17892003,56,0,270,2,0,1,1,8,1,passed
18001798,0,0,13,0,0,1,1,1,1,passed
20492178,260,0,306,3,0,0,1,0,1,passed
20572835,1041,0,32,6,0,11,13,20,13,passed
20572849,1041,0,32,6,0,11,13,20,13,passed
20575050,0,0,0,0,0,1,1,15,1,passed
20575804,0,0,0,0,0,1,1,18,1,passed
21601760,23,0,82,1,0,4,1,9,1,passed
21648193,23,0,82,1,0,4,1,9,1,passed
22064532,59,0,49,1,0,2,2,8,2,passed
22809021,0,0,0,0,0,1,1,20,1,passed
26422354,398,0,188,5,0,4,7,16,7,passed
26427027,0,0,0,0,0,1,1,21,1,passed
26427271,0,0,0,0,0,1,1,21,1,passed
27332459,65,0,0,0,0,4,5,25,5,passed
27334246,0,0,0,0,0,1,1,24,1,passed
29000169,199,0,0,0,0,3,1,23,1,passed
30512205,216,0,286,5,0,2,2,21,2,passed
30521073,100,0,0,0,0,1,1,1,1,passed
30521674,100,0,0,0,0,1,1,1,1,passed
30583778,9,0,0,0,0,1,1,2,1,passed
30585160,0,0,66,0,0,5,1,30,1,passed
30585548,0,0,66,0,0,5,1,30,1,passed
30586065,0,0,0,0,0,1,1,27,1,passed
30714522,0,0,127,2,0,4,2,4,2,passed
30714830,0,0,127,2,0,4,2,4,2,passed
43032230,695,0,360,6,0,1,2,1,2,passed
44718190,0,0,0,0,0,1,1,29,1,passed
48545928,8,0,15,0,0,2,1,12,1,passed
49423478,10,0,0,0,0,2,1,8,1,passed
49538464,10,0,0,0,0,2,1,8,1,passed
49557014,0,0,0,0,0,1,1,31,1,passed
50724669,740,0,687,5,0,13,8,35,8,passed
54260717,0,0,0,0,0,1,1,1,1,passed
54292423,0,0,0,0,0,1,1,1,1,passed
60764972,1124,0,970,5,0,5,5,31,5,passed
60890216,32,0,0,0,0,2,1,37,1,passed
60890796,0,0,0,0,0,1,1,37,1,passed
61185148,199,0,187,0,0,2,3,3,3,passed
61189518,0,0,0,0,0,1,1,39,1,passed
63413565,35,0,12,0,0,4,1,34,1,passed
65134975,0,0,0,0,0,1,1,41,1,passed
65501527,8,0,12,0,0,3,1,7,1,passed
65610043,0,0,0,0,0,1,1,43,1,passed
71511439,9,0,4,0,0,2,1,7,1,passed
71562942,9,0,4,0,0,2,1,7,1,passed
71808563,0,0,0,0,0,1,1,45,1,passed
75678742,74,0,0,0,0,1,1,3,1,passed
77986389,5,0,0,0,0,1,1,27,1,passed
86714607,22,0,0,0,0,1,1,7,1,passed
88416969,0,0,0,0,0,1,1,47,1,passed
95424845,22,0,6,0,0,3,1,76,1,passed
95442172,22,0,6,0,0,3,1,76,1,passed
95443377,0,0,0,0,0,1,1,50,1,passed
97055214,2,0,15,0,0,3,1,55,1,passed
97056339,0,0,0,0,0,1,1,53,1,passed
100210490,38,0,17,0,0,5,1,14,1,passed
100213874,0,0,0,0,0,1,1,55,1,passed
100755646,5,0,0,1,0,0,1,0,1,passed
119376481,11,0,11,0,0,2,1,9,1,passed
133498721,149,0,81,0,0,2,3,5,3,passed
133499356,0,0,0,0,0,1,1,57,1,passed
135072680,41,0,0,1,0,1,2,29,2,passed
135074385,0,0,0,0,0,1,1,59,1,passed
138157249,5,0,45,0,0,2,1,2,1,passed
139294015,17,0,5,0,0,2,2,9,2,passed
139305077,123,0,27,0,0,2,2,10,2,passed
139632825,0,0,0,0,0,1,1,61,1,passed
140595554,25,0,6,0,0,3,1,17,1,passed
149874092,0,0,0,0,0,1,1,62,1,passed
149875441,0,0,0,0,0,1,1,64,1,passed
151952184,40,0,85,1,0,1,2,30,2,passed
152754200,0,0,0,0,0,1,1,66,1,passed
154574562,14,0,0,0,0,1,1,31,1,passed
154574839,29,0,42,0,0,5,1,15,1,passed
