tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6097592,0,0,0,0,0,1,1,7,1,passed
6097689,1,0,0,0,0,1,1,162,1,passed
6105226,0,0,0,0,0,10,1,135,1,passed
6106394,113,0,0,0,0,28,2,358,2,passed
7103255,6,0,0,0,1,2,2,8,2,passed
7105661,14,0,0,0,0,3,3,80,3,passed
7105687,5,0,0,0,0,1,1,163,1,passed
7105700,2038,0,0,0,16,7,1,311,1,passed
7173914,0,0,0,0,0,1,1,5,1,passed
7508497,301,0,0,0,0,11,2,245,2,passed
7508794,297,0,0,0,0,11,1,247,1,passed
7509285,16,0,0,0,0,6,1,291,1,passed
7509543,0,0,0,0,0,1,1,14,1,passed
7510851,3,0,0,0,0,2,2,179,2,passed
7518188,0,0,0,1,0,0,1,0,1,passed
7519675,0,0,0,1,0,0,1,1,1,passed
7527965,184,0,0,1,0,5,4,243,4,passed
7540589,0,0,0,0,0,1,1,11,1,passed
7549060,68,0,0,0,0,4,2,187,2,passed
7550336,0,0,0,0,0,1,1,12,1,passed
7583257,10,0,0,0,0,2,3,92,3,passed
7617656,3899,0,0,0,0,35,8,506,8,passed
7671945,1008,0,0,3,2,8,4,150,4,passed
7719491,3303,0,0,18,0,12,2,42,2,passed
7719922,43,0,0,2,0,2,1,78,1,passed
7719967,4,0,0,0,0,1,1,4,1,passed
7787634,1517,0,0,18,2,26,27,177,27,passed
7838073,254,0,0,1,0,11,7,177,7,failed
7857873,2,0,0,0,0,1,1,1,1,passed
7858396,0,0,0,0,0,1,1,87,1,passed
7885166,0,0,0,0,0,1,2,77,2,passed
7900804,8,0,0,0,0,1,1,5,1,passed
7902761,3891,0,0,13,3,49,6,354,6,failed
7902930,1,0,0,0,0,1,1,10,1,failed
7902988,0,0,0,0,0,2,2,26,2,passed
7903118,8,0,0,0,0,1,1,8,1,passed
7908005,114,0,0,0,0,9,7,144,7,passed
7924124,0,0,0,0,0,1,1,11,1,passed
7947113,0,0,0,1,0,0,1,0,1,passed
7950830,0,0,0,1,0,0,1,0,1,passed
7974399,0,0,0,1,0,0,1,1,1,passed
7974410,0,0,0,1,0,0,1,1,1,passed
7974417,0,0,0,0,0,1,1,12,1,passed
7974649,0,0,0,0,0,3,2,173,2,passed
7979001,0,0,0,1,0,5,5,182,5,passed
7988500,0,0,0,0,0,1,1,2,1,passed
8405087,466,0,405,8,0,21,1,70,1,failed
8405861,0,0,0,0,0,1,1,1,1,passed
8410029,183,0,419,6,0,20,9,19,9,passed
8437377,344,0,381,3,0,18,3,35,3,passed
8438952,59,0,118,1,0,8,1,13,1,passed
8524986,115,0,35,0,0,13,1,21,1,failed
8525118,1,0,0,0,0,2,1,4,1,failed
8525275,0,0,0,0,0,1,1,4,1,passed
8584284,431,0,245,1,0,22,6,121,6,passed
8584622,10,0,0,0,0,2,2,19,2,passed
8595714,397,0,30,1,0,7,4,321,4,passed
8596600,110,0,91,1,0,12,4,278,4,passed
8597349,72,0,24,0,0,6,4,122,4,passed
8597711,24,0,0,0,0,6,2,264,2,passed
8597818,3,0,0,0,0,1,1,171,1,passed
8598235,2,0,0,0,0,2,1,103,1,passed
8602921,401,0,94,1,0,24,2,60,2,passed
8604290,51,0,104,1,0,4,2,35,2,passed
8605682,39,0,30,0,0,10,5,337,5,passed
8605952,12,0,0,0,0,1,1,173,1,passed
8635704,232,0,90,2,0,7,5,113,5,failed
8636544,0,0,1,0,0,1,1,2,1,failed
8636959,0,0,0,0,0,1,1,86,1,passed
8637615,0,0,0,0,0,4,1,179,1,passed
8640865,2,0,0,0,0,1,1,174,1,passed
8640940,2,0,0,0,0,1,1,175,1,passed
8716287,4,0,0,0,0,1,1,176,1,passed
8818077,718,0,512,6,0,21,5,45,5,passed
8818518,14,0,37,0,0,3,1,15,1,passed
8818992,27,0,93,1,0,1,1,1,1,passed
8819031,0,0,0,0,0,4,1,180,1,passed
8819494,54,0,7,0,0,3,3,16,3,passed
8820937,0,0,1,0,0,2,2,86,2,passed
8863392,48,0,72,1,0,5,2,212,2,passed
8863732,17,0,0,0,0,2,1,16,1,passed
8863876,3,0,0,0,0,4,2,182,2,failed
8864033,0,0,0,0,0,2,2,115,2,passed
8867461,92,0,85,0,0,10,1,128,1,passed
8942462,27,0,10,0,0,8,4,230,4,passed
8948675,0,0,0,0,0,3,1,193,1,failed
8999627,25,0,7,0,0,2,2,27,2,passed
9076689,13,0,0,0,0,6,3,156,3,passed
9077658,9,0,67,1,0,1,1,4,1,passed
9116323,0,0,0,0,0,4,5,206,5,passed
9452524,51,0,26,1,0,10,5,232,5,passed
9491639,23,0,0,0,0,5,4,158,4,passed
10147207,3583,0,2703,40,1,69,2,657,2,passed
10595654,3583,0,2703,40,1,69,2,657,2,passed
14136134,0,0,0,0,0,1,1,16,1,failed
14452848,0,0,0,0,0,1,1,37,1,failed
14453568,0,0,0,0,0,2,2,21,2,passed
