tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
65747449,0,0,0,1,0,0,1,0,1,passed
65754099,2,0,0,1,1,1,1,70,1,passed
65839985,8,0,33,0,0,3,3,40,3,passed
65840390,4,0,25,0,0,4,3,68,3,passed
65840555,0,0,8,0,0,1,1,9,1,passed
65841490,0,0,14,0,0,3,1,52,1,passed
66081356,11,0,12,0,1,4,3,102,3,passed
66081424,2,0,0,0,0,1,1,7,1,passed
66083114,4,0,0,0,0,1,1,68,1,passed
66083362,2,0,0,0,0,1,1,69,1,passed
66217227,49,0,0,0,0,1,1,14,1,passed
66217556,8,0,0,0,0,1,1,15,1,passed
66324198,0,0,9,0,0,1,1,15,1,passed
66325535,13,0,24,0,0,3,1,93,1,passed
66325941,2,0,0,0,0,1,1,8,1,passed
66489818,2,0,0,0,0,1,1,16,1,passed
66490781,4,0,0,0,0,2,1,26,1,passed
66496025,0,0,0,0,0,1,1,3,1,passed
66653256,8,0,148,0,0,4,1,103,1,passed
66760014,8,0,148,0,0,5,1,108,1,passed
66825653,4,0,5,0,0,3,2,103,2,passed
66972419,1,0,4,0,0,2,2,101,2,passed
66974154,7,0,12,0,0,3,2,55,2,passed
66974523,1,0,4,0,0,2,1,103,1,passed
67001336,39,0,24,1,0,4,1,112,1,passed
67416997,26,0,0,0,0,1,2,87,2,passed
67850644,26,0,0,0,0,1,1,89,1,passed
68014401,37,0,19,0,0,2,2,26,2,passed
68020078,2,0,0,0,0,1,1,90,1,passed
68197362,5,0,0,1,0,0,1,0,1,passed
68300848,49,0,19,1,1,3,2,115,2,passed
68301918,3,0,0,0,0,1,1,39,1,failed
68302203,2,0,0,0,0,1,1,40,1,failed
68307600,1,0,0,0,0,1,1,92,1,failed
68330085,5,0,0,0,0,1,1,71,1,failed
68585424,4,0,0,0,0,2,2,104,2,failed
68585678,0,0,8,0,0,2,1,62,1,passed
68831235,10,0,10,0,0,3,1,121,1,passed
68832613,1,0,0,0,0,1,1,96,1,passed
68980300,0,0,0,0,0,0,1,0,1,passed
68982723,0,0,8,0,0,2,1,20,1,failed
68982997,122,0,43,8,0,2,1,43,1,failed
68985352,0,0,138,1,0,6,3,45,3,passed
68995595,59,0,0,0,0,3,1,2,1,passed
69031493,154,0,0,1,0,5,1,21,1,failed
69031702,0,0,37,2,0,3,1,3,1,passed
69062098,129,0,55,3,0,6,2,103,2,passed
69100737,2310,0,66,10,10,4,1,55,1,failed
69129390,14,0,15,0,0,3,1,1,1,failed
69209460,88,0,39,1,0,4,3,2,3,failed
69255714,12,0,24,1,0,5,2,5,2,failed
69258217,12,0,13,0,0,2,1,1,1,failed
69278230,11,0,36,0,0,5,2,28,2,failed
69281059,39,0,39,1,0,6,3,27,3,failed
69314440,52,0,35,3,0,4,1,8,1,failed
69403999,144,0,9,0,0,4,1,29,1,failed
69407051,2,0,9,0,0,3,1,5,1,passed
69410756,89,0,24,1,0,5,2,32,2,passed
69414016,62,0,21,1,0,3,1,12,1,passed
69414436,8,0,0,0,0,1,1,10,1,passed
69423930,2,0,0,0,0,1,1,15,1,passed
69430271,48,2,40,3,0,6,3,19,3,passed
69431417,10,0,14,0,0,2,1,1,1,passed
69452775,20,0,29,2,0,4,1,11,1,passed
69555115,18,0,59,1,0,3,4,40,4,passed
69559925,26,0,10,0,0,5,4,22,4,failed
69560706,101,0,17,0,0,5,1,26,1,passed
69597596,11,0,16,1,0,4,1,17,1,passed
69599828,11,0,16,1,0,4,1,19,1,passed
69606879,2,0,0,0,0,1,1,31,1,passed
69610828,2,0,0,0,0,1,1,4,1,passed
69615254,10,0,0,0,0,2,2,55,2,passed
69625317,8,0,0,0,0,1,1,1,1,passed
69767505,8,0,1,0,0,2,1,21,1,passed
69848306,2,0,0,1,0,1,2,2,2,passed
69849894,0,0,0,0,0,0,1,0,1,passed
69888320,21,0,18,0,0,5,2,34,2,failed
69888561,0,0,2,0,0,1,1,13,1,passed
70054069,0,0,0,1,0,0,1,0,1,passed
70242685,3,0,0,0,0,1,1,42,1,failed
70242714,2,0,0,0,0,1,1,16,1,failed
70243693,0,0,8,0,0,2,1,31,1,passed
70500469,3,0,8,0,0,5,1,38,1,passed
70511194,12,0,0,0,0,2,1,4,1,passed
70514623,82,0,36,1,0,9,1,38,1,passed
70515341,0,0,14,1,0,0,1,0,1,passed
70517669,47,0,25,0,0,5,1,17,1,failed
70517851,0,0,1,0,0,1,1,3,1,passed
70523860,7,0,10,0,0,2,1,30,1,passed
70526126,7,0,10,0,0,2,1,31,1,passed
70526725,35,0,33,0,0,3,1,31,1,passed
70531994,0,0,0,0,0,1,1,3,1,passed
71212950,183,0,82,6,0,5,1,58,1,passed
71216247,3,0,0,0,0,1,1,2,1,passed
71531650,342,0,0,2,0,3,1,64,1,passed
71536215,38,0,76,4,1,3,1,46,1,passed
71541582,4344,0,1089,56,4,12,1,298,1,passed
71573739,28,0,0,0,0,3,2,49,2,passed
71582574,15,0,2,0,0,3,2,24,2,failed
71582925,6,0,0,0,0,2,1,6,1,passed
71652906,3,0,0,0,0,1,1,28,1,passed
71655984,14,0,8,0,0,2,1,28,1,passed
71742798,200,0,73,2,0,7,2,44,2,passed
71745741,21,0,10,0,0,2,1,12,1,passed
71745811,2,0,0,0,0,1,1,21,1,passed
71746053,2,0,0,0,0,1,1,31,1,passed
71829282,43,0,30,1,0,6,3,58,3,passed
71957180,8,0,0,0,0,2,1,85,1,passed
72085915,18,0,0,0,0,2,1,39,1,passed
72089270,600,0,0,3,0,1,1,73,1,passed
72089894,2,0,0,0,0,1,1,1,1,passed
72096470,2,0,0,0,0,1,1,3,1,passed
72111386,62,0,49,0,0,13,1,160,1,passed
72126501,84,0,0,1,0,2,1,4,1,passed
72128909,49,0,0,0,0,1,1,5,1,passed
72130011,66,0,0,0,0,1,2,6,2,passed
72130260,5,0,0,0,0,2,1,32,1,passed
72281974,3,0,0,0,0,1,1,9,1,passed
72282456,4,0,0,1,0,2,2,28,2,passed
72425697,10,0,42,2,0,4,1,49,1,passed
72521177,10,0,42,2,0,4,1,51,1,passed
72521185,2,0,0,0,0,1,1,24,1,passed
73251538,8,0,10,0,0,2,1,35,1,passed
73343114,10,0,10,0,0,3,2,111,2,passed
73371875,8,0,27,0,0,4,1,126,1,passed
73372004,2,0,0,0,0,1,1,25,1,passed
73372954,13,0,0,0,0,5,1,63,1,passed
73374020,2,0,0,0,0,1,1,104,1,passed
73414351,4,0,0,0,0,2,2,128,2,passed
73514142,2,0,0,0,0,1,1,6,1,passed
73520214,730,0,301,2,0,49,1,319,1,passed
73520705,0,0,6,0,0,1,1,26,1,passed
74529772,493,0,114,6,0,16,14,161,14,failed
74557745,0,0,6,0,0,1,1,27,1,passed
74558150,2,0,0,0,0,1,1,13,1,passed
74561045,461,0,103,6,0,11,1,151,1,passed
74569276,6,0,0,0,0,1,1,6,1,passed
74571372,22,0,0,0,0,1,1,7,1,passed
74571470,22,0,0,0,0,1,1,8,1,passed
74571746,0,0,0,0,0,1,1,5,1,passed
74573551,2,0,0,0,0,1,1,1,1,passed
74575582,3,0,0,0,0,1,1,9,1,passed
74602246,60,0,85,0,0,19,1,163,1,passed
74602678,88,0,5,0,0,9,1,185,1,passed
74603625,17,0,0,0,0,8,1,201,1,passed
