tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
478486,451,0,167,16,5,28,26,49,26,failed
478508,0,0,33,0,0,1,1,6,1,passed
532938,4,0,0,0,0,2,2,5,2,passed
579328,0,0,0,0,0,0,1,2,1,failed
580493,0,0,0,0,0,1,1,1,1,passed
585313,0,0,0,0,0,1,1,1,1,passed
604364,3,0,0,0,0,2,1,11,1,passed
660799,2,0,0,0,0,1,1,5,1,passed
799107,6,0,0,0,0,3,2,17,2,failed
799191,2,0,0,0,0,2,1,18,1,passed
832869,2,0,0,0,0,2,2,10,2,passed
858446,0,0,0,0,0,1,1,1,1,passed
863619,7,0,0,0,1,2,1,6,1,passed
863645,5,0,0,0,0,2,1,19,1,passed
863657,2,0,0,0,0,1,1,9,1,passed
1034193,0,0,0,0,0,1,1,4,1,failed
1034396,4,0,0,0,0,1,1,15,1,passed
3282314,17,0,0,0,1,4,2,33,2,passed
5140829,0,0,0,1,0,0,1,0,1,passed
6372792,0,0,0,1,0,0,1,0,1,passed
6402768,4,0,0,0,0,2,1,7,1,passed
6618357,0,0,0,1,0,0,1,1,1,passed
8511772,0,0,0,0,0,1,1,2,1,passed
8686328,15,0,0,0,0,1,1,9,1,passed
8720396,8,0,110,1,0,5,1,32,1,passed
10778381,42,0,20,0,0,8,1,44,1,failed
11415173,2,0,0,0,0,1,1,26,1,failed
11944479,3,0,0,0,0,1,1,2,1,failed
13669000,2,0,0,0,0,1,1,27,1,passed
13786110,10,0,0,0,0,2,3,11,3,passed
14285979,0,0,0,0,0,0,1,0,1,passed
14524711,2,0,0,0,0,1,1,5,1,passed
17797562,4,0,0,0,0,1,1,7,1,failed
18801805,349,0,743,12,2,34,1,112,1,passed
19534605,0,0,0,0,0,1,1,10,1,passed
19933464,7,0,0,0,0,4,1,48,1,passed
20084529,2,0,0,0,0,1,1,32,1,passed
22158159,3,0,0,1,0,0,1,0,1,passed
22227549,10,0,0,1,0,0,1,0,1,passed
24508532,6,0,0,1,0,0,1,0,1,passed
31007684,2,0,0,0,0,1,1,33,1,passed
34941198,6,0,57,0,0,7,2,47,2,passed
42217427,5,0,0,0,0,1,1,7,1,passed
42217651,4,0,0,0,0,2,1,36,1,passed
42730486,111,0,215,4,0,16,4,58,4,passed
42734832,13,0,21,0,0,7,6,35,6,passed
42743424,0,0,0,1,0,1,2,12,2,passed
42753137,111,0,29,2,0,34,3,105,3,passed
48277590,116,0,0,1,0,10,7,65,7,passed
50452339,12,0,4,0,0,5,5,42,5,passed
71972818,0,0,0,1,0,0,1,1,1,passed
76026849,22,0,18,1,0,8,1,36,1,passed
77715235,2,0,0,0,1,1,2,49,2,passed
78263972,0,0,0,0,0,1,1,16,1,passed
