tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
9844938,538,0,118,24,0,5,7,0,7,passed
9844959,2,0,0,0,0,1,1,4,1,passed
9845033,3,0,3,0,0,3,1,1,1,passed
9845074,1,0,0,0,0,1,1,5,1,passed
10014302,54,0,160,3,0,4,3,3,3,passed
10014661,3,0,0,0,0,1,1,6,1,passed
16263200,2,0,0,0,0,1,1,5,1,passed
16263852,5,0,4,0,0,2,1,6,1,passed
16264008,14,0,0,0,0,1,1,7,1,passed
16384257,72,0,64,2,0,4,3,14,3,passed
16699809,22,0,0,0,0,2,1,1,1,passed
16820382,53,0,0,0,0,3,1,10,1,passed
16894369,27,0,0,0,0,1,1,8,1,passed
16952757,89,0,0,0,0,12,1,13,1,passed
17282374,39,0,0,0,0,3,1,14,1,passed
17284584,3,0,0,0,0,1,1,7,1,passed
17316708,1,0,0,0,0,1,1,8,1,passed
17316724,2,0,0,0,0,1,1,3,1,passed
17426412,48,0,0,0,0,3,1,17,1,passed
17478962,1,0,0,0,0,1,1,11,1,passed
17479071,116,0,0,0,0,1,1,12,1,passed
17568221,67,0,0,0,0,2,1,10,1,passed
17568501,19,0,0,0,0,1,1,13,1,passed
17568705,18,0,0,0,0,2,2,4,2,passed
17843593,17,0,0,0,0,1,1,14,1,passed
17843744,23,0,0,0,0,1,1,15,1,passed
18166638,5,0,0,0,0,2,2,17,2,passed
20608005,2,0,0,0,0,1,1,17,1,passed
21102701,34,0,0,0,0,2,1,11,1,passed
21102729,1,0,0,0,0,1,1,12,1,passed
21106360,91,0,0,0,0,3,1,28,1,passed
21130222,43,0,19,0,0,5,1,35,1,passed
21794972,8,0,0,0,0,1,1,15,1,passed
21805279,8,0,0,0,0,1,1,16,1,passed
24927771,2,0,0,0,0,1,1,20,1,passed
24928261,0,0,0,0,0,1,1,1,1,passed
25010030,40,0,0,0,0,4,1,24,1,passed
26816642,5,0,0,0,0,1,1,21,1,failed
26819986,110,0,0,2,0,3,1,25,1,failed
26820056,2,0,0,0,0,1,1,22,1,failed
26820516,6,0,0,0,0,4,1,3,1,passed
28113806,23,0,0,0,0,2,1,26,1,passed
31818587,3,0,10,0,0,2,1,15,1,passed
31819735,3,0,10,0,0,2,1,16,1,passed
31819971,6,0,0,0,0,2,1,7,1,passed
55424967,711,0,329,18,0,5,1,47,1,passed
57489881,711,0,329,18,0,5,1,48,1,passed
57580953,10,0,0,0,0,3,1,10,1,passed
57968398,2,0,14,0,0,2,1,3,1,passed
57975156,2,0,0,0,0,1,1,26,1,passed
58455212,8,1,0,0,0,2,1,9,1,passed
58631671,179,0,38,3,0,10,2,45,2,passed
58631839,0,0,12,0,0,6,1,4,1,passed
58637744,177,0,50,3,0,15,1,50,1,passed
58638271,0,0,15,0,0,8,1,12,1,passed
58639285,8,0,0,0,0,2,1,10,1,passed
58967632,0,0,36,0,0,6,1,7,1,passed
58967794,2,0,0,0,0,1,1,6,1,passed
58968358,2,0,0,0,0,1,1,29,1,passed
59048164,64,0,242,0,0,6,1,32,1,passed
59048293,0,0,0,0,0,2,1,5,1,passed
59048387,8,0,0,0,0,2,1,11,1,passed
65626863,13,0,0,1,0,0,1,1,1,passed
65627395,10,0,0,0,0,1,1,30,1,passed
65938584,27,0,0,0,0,4,1,53,1,passed
66589825,2,0,0,0,0,1,1,34,1,passed
66631350,2,0,0,0,0,1,1,35,1,passed
67463681,0,0,0,1,0,0,1,0,1,passed
69304873,18,0,0,0,0,1,1,23,1,passed
69379284,18,0,0,0,0,1,1,24,1,passed
72130543,22,0,0,1,1,0,1,1,1,passed
73622906,2,0,0,0,0,1,1,37,1,passed
76316246,8,0,0,0,0,2,1,58,1,passed
78955010,35,0,0,1,0,1,1,40,1,passed
78955428,35,0,0,1,0,1,1,41,1,passed
78955501,8,0,0,0,0,2,1,12,1,passed
79524527,18,0,0,1,0,2,1,20,1,passed
79524782,0,0,0,0,0,1,1,4,1,passed
79526059,15,0,0,0,0,2,1,60,1,passed
79526152,8,0,0,0,0,2,1,13,1,passed
80513417,39,0,0,1,0,1,1,44,1,passed
80513574,8,0,0,0,0,2,1,14,1,passed
82027622,14,0,0,0,0,1,1,45,1,passed
82030380,6,0,0,0,0,1,1,46,1,passed
83954450,1,0,0,0,0,1,1,47,1,passed
84898913,4,0,0,0,0,2,1,68,1,passed
84938813,8,0,0,0,0,2,1,15,1,passed
89023542,10,0,0,0,0,1,1,1,1,passed
89367483,17,0,0,0,0,1,1,51,1,passed
89367721,7,0,0,0,0,1,1,22,1,passed
89369060,65,0,0,0,0,4,1,65,1,passed
89369148,24,0,0,0,0,2,1,16,1,passed
90309115,1,0,0,0,0,1,1,27,1,passed
90342762,10,0,14,0,0,2,1,30,1,passed
90343833,12,0,0,0,0,2,1,17,1,passed
94324106,62,0,0,1,0,1,1,24,1,passed
95950930,4,0,0,0,0,1,1,53,1,passed
95952401,4,0,0,0,0,1,1,54,1,passed
114574946,16,0,0,0,0,1,1,55,1,passed
127274817,7,0,0,0,0,2,1,6,1,passed
127275049,8,0,0,0,0,2,1,18,1,passed
129984397,19,0,0,1,0,0,1,0,1,passed
131773054,20,2,0,0,0,4,2,86,2,passed
131773220,8,0,0,0,0,2,1,19,1,passed
