tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6116429,46,0,25,2,0,6,5,221,5,failed
6116507,1,0,0,1,0,0,1,0,1,failed
6116621,4,0,0,0,0,1,1,1,1,passed
6173642,28,0,0,1,0,2,3,183,3,passed
6234258,4,0,0,0,0,1,1,180,1,passed
6234286,4,0,0,0,0,1,1,181,1,passed
6234430,4,0,0,0,0,1,2,181,2,passed
6234631,2,0,0,0,0,1,1,184,1,passed
6235442,38,0,8,0,0,2,1,30,1,passed
6311795,18,0,0,0,0,4,3,342,3,passed
6401551,4,0,0,0,0,1,1,7,1,passed
6401592,4,0,0,0,0,1,1,8,1,passed
6401715,38,0,8,0,0,2,1,31,1,passed
6403230,9,0,0,0,0,1,1,187,1,passed
6403490,26,0,0,0,0,1,1,60,1,passed
6454842,0,0,95,1,0,0,1,5,1,passed
6474062,0,0,95,1,0,0,1,6,1,passed
6475670,2,0,103,1,0,2,1,15,1,passed
6480651,17,0,57,0,0,5,3,175,3,failed
6480878,4,0,0,0,0,1,1,6,1,passed
6497217,327,0,0,0,0,4,1,333,1,failed
6514840,171,0,0,0,0,2,1,190,1,failed
6515459,18,0,0,0,0,2,2,65,2,failed
6515537,13,0,0,0,0,2,2,14,2,failed
6516885,2,0,0,0,0,1,1,144,1,failed
6517148,1,0,0,0,0,1,1,145,1,failed
6541157,291,0,67,2,0,7,4,386,4,passed
6546327,2,0,0,0,0,1,1,6,1,passed
6547582,20,0,7,0,0,3,1,153,1,passed
6554426,4,0,0,0,0,1,1,30,1,passed
6603387,15,0,23,1,0,2,1,34,1,passed
6604009,15,0,23,1,0,2,1,35,1,passed
6604720,60,0,0,0,0,3,2,112,2,passed
6604806,26,0,10,0,0,2,1,75,1,passed
6611867,195,0,448,2,0,6,4,231,4,passed
6613732,2,0,0,0,0,1,1,200,1,passed
6613769,2,0,0,0,0,1,1,201,1,passed
6621215,4,0,0,0,0,1,1,6,1,passed
6621861,7,0,0,1,0,0,1,0,1,passed
6621911,4,0,0,0,0,1,1,6,1,passed
6630804,4,0,0,0,0,1,1,7,1,passed
6630868,4,0,0,0,0,2,1,163,1,passed
6634023,7,0,0,1,0,0,1,0,1,passed
6635162,0,0,11,1,0,0,1,0,1,passed
6691432,38,0,70,0,0,3,2,180,2,passed
6702259,9,0,0,0,0,2,2,173,2,failed
6702270,1,0,0,0,0,1,1,162,1,failed
6702724,19,0,0,0,0,3,1,180,1,passed
6702842,7,0,11,2,0,0,1,2,1,passed
6728284,33,0,9,0,0,5,1,340,1,passed
6745468,6,0,26,0,0,5,2,182,2,passed
6853419,17,0,37,0,0,3,1,204,1,failed
6854609,4,0,0,0,0,2,1,168,1,passed
6899900,12,0,68,0,0,4,2,24,2,passed
7597017,88,0,0,0,0,2,1,173,1,failed
7951604,0,0,0,0,0,1,1,1,1,passed
7952885,7,0,5,0,0,2,1,18,1,passed
8046034,7,0,0,0,0,1,1,6,1,passed
8090138,7,0,0,0,0,1,1,7,1,passed
8090604,21,0,0,0,0,3,1,226,1,passed
8108215,4,0,4,0,0,2,1,12,1,passed
8295647,19,0,26,0,0,3,1,190,1,passed
8322886,11,0,22,0,0,6,1,205,1,passed
8930027,4,0,4,0,0,2,1,13,1,passed
9421548,0,0,16,0,0,1,1,1,1,passed
9437602,8,0,4,0,0,4,2,193,2,passed
9437607,0,0,16,0,0,1,1,4,1,passed
9615833,3,0,0,0,0,3,3,71,3,passed
9615901,4,0,0,0,0,2,1,186,1,passed
9617273,57,0,0,1,0,3,1,234,1,passed
9617898,15,0,0,0,0,3,1,194,1,passed
9676646,52,0,11,0,0,6,4,228,4,passed
9677026,5,0,13,0,0,2,1,7,1,passed
9792575,40,0,60,0,0,6,1,193,1,passed
9830871,165,0,0,1,0,3,1,2,1,failed
9831048,8,0,0,0,0,4,2,194,2,passed
10376609,17,0,0,1,0,5,1,192,1,passed
11973238,31,0,0,0,0,2,2,223,2,passed
11973315,2,0,0,0,0,1,1,9,1,passed
11983991,141,0,128,0,0,14,7,389,7,passed
11986014,141,0,128,0,0,14,7,389,7,passed
12031074,43,0,44,0,0,3,1,227,1,passed
12154351,100,0,12,0,0,10,9,401,9,passed
12329437,73,0,64,0,0,6,5,390,5,passed
12388078,32,0,0,0,0,6,4,216,4,passed
12393410,10,0,0,0,0,5,1,206,1,passed
12394195,54,0,0,1,0,5,1,207,1,passed
12394830,4,0,0,0,0,1,1,1,1,passed
12395202,25,0,0,0,0,1,1,2,1,passed
12432001,7,0,0,0,0,2,2,15,2,passed
12524260,22,0,0,0,0,3,2,200,2,passed
12679861,9,0,0,0,0,2,1,4,1,passed
12682557,36,0,48,0,0,2,1,14,1,passed
12682775,36,0,48,0,0,2,1,15,1,passed
12683190,0,0,48,0,0,1,1,10,1,passed
13370442,20,0,34,0,0,6,5,235,5,passed
19992224,257,0,148,2,0,12,7,462,7,passed
20059152,40,0,28,0,0,4,1,276,1,passed
20059383,6,0,0,0,0,3,1,422,1,passed
20084118,26,0,40,0,0,6,2,274,2,passed
20140557,8,0,12,0,0,2,1,4,1,passed
20141603,10,0,2,0,0,4,1,427,1,passed
20143293,0,0,15,0,0,1,1,5,1,passed
20162918,7,0,0,0,0,1,1,16,1,failed
20172035,36,0,75,1,0,1,1,20,1,passed
20173061,13,0,65,0,0,5,1,440,1,passed
21044836,18,0,39,0,0,5,1,430,1,passed
22711677,2,0,0,0,0,1,1,3,1,passed
22713357,2,0,0,0,0,1,1,4,1,passed
22714465,23,0,49,0,0,8,3,435,3,passed
23158312,0,0,0,0,0,1,1,5,1,failed
23287693,8,0,0,0,0,3,1,223,1,failed
23288402,26,0,817,0,0,2,1,12,1,failed
23289998,0,0,0,0,0,1,1,7,1,failed
23290930,0,0,0,0,0,1,1,8,1,failed
23292325,0,0,0,0,0,1,1,9,1,failed
23297037,0,0,0,0,0,2,2,13,2,failed
23298914,0,0,0,0,0,1,1,12,1,failed
23301995,0,0,0,0,0,1,1,13,1,passed
23302047,0,0,0,0,0,1,1,14,1,passed
23308372,240,0,279,0,0,7,4,446,4,passed
23314312,36,0,0,0,0,2,1,13,1,passed
23448175,2,0,0,0,0,1,1,22,1,passed
23448272,2,0,0,0,0,1,1,23,1,passed
23449864,78,0,60,0,0,4,1,48,1,passed
23515581,11,0,13,0,0,2,1,20,1,passed
23608696,39,0,238,0,0,13,4,61,4,failed
23608764,175,0,85,1,0,6,5,228,5,passed
24834711,24,0,13,0,0,3,3,37,3,passed
24840558,15,0,0,0,0,1,1,27,1,passed
24993938,3,0,0,0,0,1,1,28,1,passed
25084717,24,0,0,0,0,3,1,231,1,passed
25551432,2,0,0,0,0,1,1,262,1,passed
26173566,112,2,0,0,0,6,3,243,3,passed
26971291,30,0,0,1,0,5,2,230,2,passed
28457953,15,0,0,0,0,1,1,263,1,passed
28467439,15,0,0,0,0,1,1,264,1,passed
29085476,15,0,0,0,0,1,1,266,1,passed
29371068,3,0,0,0,0,1,1,1,1,passed
29429894,3,0,0,0,0,1,1,2,1,passed
29449809,9,0,0,0,0,1,1,267,1,passed
29702690,49,0,0,0,0,2,3,4,3,passed
33824736,107,0,311,0,0,17,8,351,8,failed
33826714,0,0,0,0,0,1,1,16,1,passed
34585734,15,0,0,0,0,5,2,88,2,passed
34675997,9,0,0,0,0,2,1,7,1,passed
34676115,9,0,0,0,0,2,1,8,1,passed
34677417,29,0,0,0,0,2,1,75,1,passed
34677571,136,0,0,0,1,20,2,109,2,passed
34767426,5,0,12,0,0,2,2,1,2,passed
34822729,5,0,12,0,0,2,1,3,1,passed
34824510,4,0,0,0,0,2,1,73,1,passed
34881831,3,0,0,0,0,1,1,3,1,passed
35088032,2,0,0,0,0,1,1,2,1,passed
35129043,2,0,0,0,0,1,1,3,1,failed
35552253,2,0,0,0,0,1,1,2,1,passed
35552636,4,0,10,0,0,3,1,278,1,passed
35553387,4,0,0,0,0,2,1,76,1,passed
35637934,222,0,124,3,0,6,4,296,4,passed
35651648,109,0,33,0,0,9,6,111,6,failed
35652919,19,0,13,1,0,3,1,79,1,failed
35656881,59,0,50,0,0,10,1,105,1,failed
35660721,7,0,284,0,0,8,2,38,2,passed
35664568,0,0,192,0,0,3,3,3,3,passed
35664660,4,0,0,0,0,2,1,80,1,passed
35995012,3,0,0,0,0,1,1,4,1,passed
36305860,3,0,0,0,0,1,1,5,1,failed
36305919,4,0,0,0,0,2,1,82,1,passed
36307736,0,0,36,0,0,2,1,2,1,passed
36579919,15,0,0,1,0,2,1,83,1,passed
36580227,0,0,22,1,0,0,1,0,1,passed
36690156,23,0,0,0,0,2,2,2,2,passed
37250289,128,0,54,0,0,11,10,371,10,passed
37355126,45,0,0,2,0,5,2,93,2,passed
37781730,8,0,0,0,0,1,1,279,1,passed
37781934,2,0,0,0,0,1,1,281,1,passed
43112555,16,0,0,0,0,4,2,116,2,failed
43121835,31,0,0,0,0,6,1,141,1,failed
43124845,0,0,12,0,0,1,1,1,1,failed
43635848,3,0,0,1,0,3,2,28,2,failed
43638603,0,0,0,0,0,1,1,22,1,failed
43867232,1464,0,0,7,3,51,17,432,17,failed
43869033,92,0,178,1,0,6,1,380,1,failed
