tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
9997668,1153,0,2553,43,0,1,3,0,3,failed
9998783,8,0,0,0,0,1,4,2,4,failed
9999924,0,0,7,0,0,1,1,1,1,passed
10056986,46,0,0,0,0,3,2,6,2,passed
10115240,98,0,0,1,0,5,2,7,2,passed
10143156,4,0,0,0,0,2,1,9,1,passed
10143447,6,0,0,0,0,2,1,4,1,passed
10143623,4,0,0,0,0,2,1,11,1,passed
10164586,66,0,0,0,0,6,1,2,1,passed
10183190,7,0,0,0,0,1,1,3,1,passed
10242714,54,0,19,0,1,25,1,4,1,passed
10244203,26,0,0,0,0,1,1,3,1,passed
10266812,187,0,0,0,1,8,3,7,3,passed
10452288,14,0,36,0,0,3,2,5,2,passed
10721686,134,0,117,3,0,11,5,9,5,passed
10722384,11,0,0,1,0,1,2,1,2,passed
10725542,67,0,0,0,0,2,1,12,1,passed
10737939,10,0,0,0,0,3,2,14,2,passed
10754552,2,0,0,0,0,2,1,10,1,passed
10759831,28,0,22,0,0,5,2,10,2,passed
10763852,4,0,0,0,0,1,1,2,1,passed
10789462,142,0,343,2,0,6,3,12,3,passed
10792472,0,0,88,0,0,4,2,5,2,passed
10792664,4,0,0,0,0,2,1,6,1,passed
10794878,55,0,4,1,0,3,1,10,1,failed
10800972,15,0,0,0,0,1,2,8,2,passed
10809536,21,0,22,0,0,4,1,12,1,passed
10810814,27,0,0,0,0,2,1,11,1,passed
10810928,4,0,0,0,0,2,1,8,1,passed
10825490,0,0,1,0,0,1,1,6,1,passed
10828003,0,0,108,0,0,5,1,6,1,passed
10829388,15,0,0,0,0,2,1,15,1,passed
10898515,6,0,0,0,0,1,1,11,1,passed
10902593,181,0,633,1,0,10,2,32,2,passed
10902748,4,0,0,0,0,2,1,10,1,passed
10920272,12,0,23,0,0,4,2,18,2,passed
10920325,4,0,0,0,0,2,1,12,1,passed
10933620,13,0,0,0,0,1,2,13,2,failed
10934156,6,0,0,0,0,1,1,15,1,passed
10983754,8,0,0,0,0,1,1,16,1,passed
11290133,2,0,0,0,0,1,1,2,1,passed
11657399,12,0,55,1,0,5,3,37,3,passed
11657446,4,0,0,0,0,2,1,14,1,passed
11662220,49,0,215,2,0,4,1,20,1,passed
11662389,4,0,0,0,0,2,1,16,1,passed
11694590,206,0,183,0,0,5,3,34,3,passed
11696845,2,0,0,0,0,2,1,18,1,passed
11697454,4,0,0,0,0,2,1,18,1,passed
11739971,32,0,0,0,0,2,1,19,1,passed
11783210,54,0,136,3,1,3,2,10,2,passed
11786762,6,0,2,0,0,5,1,40,1,passed
11817805,2,0,0,0,0,2,1,21,1,passed
11832694,4,0,0,0,0,2,1,22,1,passed
11892662,1,0,0,0,0,2,1,23,1,passed
11902278,85,0,173,0,0,10,2,54,2,failed
11902377,4,0,0,0,0,2,1,21,1,passed
11905690,89,0,66,0,0,11,4,42,4,passed
11908298,14,0,15,0,0,5,3,54,3,failed
11908383,4,0,0,0,0,2,1,26,1,passed
11929344,2,0,0,0,0,1,1,3,1,passed
11935088,34,0,102,0,0,10,5,40,5,passed
11968890,449,0,78,3,1,5,3,30,3,passed
12058190,308,0,525,2,2,20,3,51,3,passed
12099028,155,0,170,0,0,5,3,46,3,failed
12099196,4,0,0,0,0,2,1,35,1,failed
12100522,39,0,0,0,0,1,1,3,1,passed
12159953,0,0,68,0,0,3,1,10,1,passed
12173521,427,0,380,4,0,24,8,59,8,passed
12194139,130,0,385,2,0,10,4,72,4,failed
12194350,0,0,4,0,0,1,1,1,1,passed
12194689,53,0,0,0,0,1,1,6,1,passed
12194987,12,0,0,0,0,4,2,61,2,passed
12199048,9,0,10,0,0,4,2,41,2,passed
12199198,6,0,0,0,0,3,2,43,2,passed
12218149,14,0,26,0,0,6,2,50,2,passed
12230850,15,0,124,0,0,5,3,49,3,passed
12236994,41,0,0,0,0,1,1,2,1,passed
12239761,420,0,0,3,0,4,3,32,3,passed
12261584,24,0,0,0,0,2,1,29,1,passed
12373322,0,0,0,0,0,2,1,7,1,passed
12426109,0,0,333,0,0,1,2,2,2,passed
12426532,2,0,0,0,0,1,1,6,1,passed
12460313,263,0,1026,0,0,15,12,104,12,passed
12461013,22,0,0,0,0,1,1,8,1,passed
12461473,0,0,4,0,0,2,1,20,1,failed
12462243,3,0,12,0,0,3,1,55,1,passed
12475811,4,0,0,0,0,2,1,48,1,passed
12487763,4,0,18,0,0,3,1,48,1,passed
12523745,0,0,11,0,0,1,1,4,1,passed
12572868,12,0,0,0,0,1,1,16,1,passed
12574945,124,0,112,1,0,3,2,50,2,passed
12619811,62,0,22,0,0,11,2,38,2,passed
12682397,432,0,523,7,0,18,9,105,9,passed
12721282,0,0,84,1,0,4,1,22,1,passed
12723639,397,0,0,4,4,9,1,39,1,passed
12763463,830,0,1100,6,0,42,14,133,14,failed
12764244,16,0,0,0,0,1,1,26,1,passed
12765129,4,0,72,0,0,2,1,6,1,failed
12766784,12,0,10,0,0,3,2,14,2,passed
12779087,52,0,99,0,0,6,2,16,2,passed
12789112,174,0,315,0,0,15,5,56,5,passed
12793052,8,0,0,0,0,1,1,3,1,passed
12838553,106,0,1626,0,0,17,6,67,6,failed
12839748,2,0,14,0,0,2,1,14,1,failed
12840363,10,0,0,0,0,1,1,6,1,failed
12842251,0,0,20,0,0,2,1,17,1,passed
12935318,26,0,2,0,0,5,1,25,1,failed
12937425,2,0,30,0,0,2,1,8,1,passed
12938493,8,0,0,0,0,2,1,34,1,passed
12942451,402,0,414,2,0,7,2,53,2,failed
12943975,37,0,20,0,0,6,1,32,1,passed
12944596,8,0,0,0,0,1,1,4,1,passed
12989335,14,0,12,0,0,2,2,31,2,passed
12995656,32,0,31,0,0,3,1,43,1,passed
12996351,6,0,0,0,0,1,1,32,1,passed
12996729,20,0,90,0,0,8,1,38,1,passed
13057974,9,0,0,0,0,4,1,58,1,passed
13109040,257,0,158,0,0,9,3,103,3,passed
13109347,9,0,0,0,0,2,1,60,1,passed
13156033,4,0,0,0,0,2,2,47,2,passed
13166641,260,0,414,2,0,10,3,110,3,passed
13167003,2,0,0,0,0,2,1,52,1,passed
13167275,4,0,0,0,0,2,1,62,1,passed
