tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7621006,203,0,93,0,0,7,4,52,4,failed
7621042,0,0,0,1,0,0,1,0,1,passed
7621070,0,0,63,0,0,1,1,3,1,passed
7621114,2,0,0,0,0,1,1,13,1,passed
7621169,2,0,0,0,0,1,1,14,1,passed
7621171,2,0,0,0,0,1,1,15,1,passed
7888257,11,0,0,0,0,4,1,4,1,passed
8090952,4,0,19,0,0,2,1,4,1,failed
8095396,4,0,19,0,0,2,1,5,1,failed
8095584,4,0,20,1,0,2,1,6,1,passed
8095673,2,0,0,0,0,2,1,57,1,passed
9374186,9,0,5,0,0,4,1,62,1,passed
9374215,6,0,0,0,0,1,1,18,1,passed
10818854,4,0,0,0,0,1,1,4,1,passed
10819916,155,0,9,3,0,6,1,53,1,passed
10819999,35,0,0,0,0,1,1,19,1,passed
10821011,0,0,0,0,0,1,1,45,1,passed
10821018,2,0,0,0,0,1,1,20,1,passed
10914971,28,0,0,0,0,5,1,67,1,passed
10915041,2,0,0,0,0,1,1,22,1,passed
12026980,6,0,0,0,0,2,1,66,1,passed
12184580,16,0,0,0,0,2,1,49,1,passed
12346881,31,0,25,0,0,5,1,55,1,passed
12346896,2,0,0,0,0,1,1,24,1,passed
12347001,8,0,0,0,0,1,1,25,1,passed
12347013,2,0,0,0,0,1,1,26,1,passed
12816651,31,0,0,0,0,1,1,27,1,passed
12817634,36,0,0,0,0,1,1,28,1,passed
12841921,36,0,0,0,0,1,1,28,1,passed
12842024,36,0,0,0,0,1,1,28,1,passed
12842132,36,0,0,0,0,1,1,28,1,passed
12842220,36,0,0,0,0,1,1,28,1,passed
12842241,36,0,0,0,0,1,1,28,1,passed
12842475,36,0,0,0,0,1,1,28,1,passed
12842521,36,0,0,0,0,1,1,28,1,passed
12842602,36,0,0,0,0,1,1,28,1,passed
12842621,36,0,0,0,0,1,1,28,1,passed
12893403,67,0,0,0,0,1,1,29,1,passed
12894056,60,0,32,0,0,6,1,43,1,passed
12894259,10,0,0,0,0,1,1,31,1,passed
12894448,2,0,0,0,0,1,1,32,1,passed
12908990,21,0,9,0,0,5,1,47,1,passed
12909413,9,0,6,0,0,2,1,13,1,passed
13063154,2,0,7,0,0,2,1,14,1,passed
13063178,0,0,0,0,0,0,1,0,1,passed
13063475,0,0,0,0,0,1,1,51,1,passed
13063488,4,0,0,0,0,1,1,34,1,passed
13107039,14,0,0,0,0,2,1,11,1,passed
13107137,2,0,0,0,0,2,1,82,1,passed
13185538,3,0,0,0,0,1,1,36,1,passed
13334168,16,0,0,0,0,1,1,37,1,passed
13334191,2,0,0,0,0,1,1,38,1,passed
13341809,0,0,0,0,0,1,1,53,1,passed
13379681,0,0,0,0,0,1,1,57,1,passed
13380490,17,0,0,0,0,1,1,39,1,passed
13420270,235,0,0,1,0,3,2,93,2,passed
13485798,0,0,0,0,0,2,1,63,1,passed
13486497,0,0,0,0,0,1,1,60,1,passed
13486538,0,0,0,0,0,1,1,61,1,passed
13486551,0,0,0,0,0,1,1,62,1,passed
13498359,2,0,0,0,0,1,1,41,1,passed
14881082,2,0,0,0,0,1,1,42,1,passed
14883198,2,0,0,0,0,1,1,43,1,passed
14900265,90,0,14,0,0,4,1,78,1,passed
14900310,0,0,0,0,0,1,1,64,1,passed
14900316,0,0,0,0,0,1,1,65,1,passed
14900495,8,0,0,0,0,1,1,44,1,passed
15113653,10,0,0,0,0,1,1,45,1,passed
15363344,10,0,0,0,0,1,1,46,1,passed
15363496,0,0,0,0,0,1,1,66,1,passed
15363502,0,0,0,0,0,1,1,67,1,passed
15363644,0,0,0,0,0,1,1,68,1,passed
15364160,0,0,0,0,0,1,1,69,1,passed
15364184,0,0,0,0,0,1,1,70,1,passed
15364222,0,0,0,0,0,1,1,71,1,passed
15364448,4,0,0,0,0,1,1,47,1,passed
15429556,0,0,0,0,0,1,1,5,1,passed
15431638,0,0,18,0,0,1,1,18,1,passed
15431919,28,0,0,0,0,4,1,15,1,passed
15432021,0,0,0,0,0,1,1,72,1,passed
15432025,0,0,0,0,0,1,1,73,1,passed
15432095,4,0,0,0,0,1,1,48,1,passed
15432120,8,0,0,0,0,1,1,49,1,passed
15432138,0,0,0,1,0,1,1,6,1,passed
16096041,4,0,0,0,0,1,1,9,1,passed
18622512,72,0,22,0,0,8,2,134,2,passed
18623382,72,0,20,0,0,8,1,137,1,passed
18623399,0,0,0,0,0,1,1,77,1,passed
18623408,0,0,0,0,0,1,1,78,1,passed
18623543,5,0,0,0,0,1,1,52,1,passed
18623571,1,0,0,0,0,1,1,53,1,passed
18623583,2,0,0,0,0,1,1,54,1,passed
18845704,6,0,8,0,0,2,1,27,1,passed
18845911,0,0,0,0,0,1,1,79,1,passed
18845939,0,0,0,0,0,1,1,1,1,passed
18847470,0,0,0,0,0,1,1,80,1,passed
18848589,0,0,0,0,0,1,1,81,1,passed
18848593,0,0,0,0,0,1,1,82,1,passed
18848772,4,0,0,0,0,1,1,55,1,passed
19700447,39,1,6,0,0,5,1,36,1,passed
19756178,0,0,0,0,0,1,1,83,1,passed
19756184,0,0,0,0,0,1,1,84,1,passed
19756350,4,0,0,0,0,2,1,58,1,passed
19847607,0,0,0,0,0,1,1,85,1,passed
20320523,64,0,47,0,0,7,1,111,1,failed
20320777,11,0,2,0,0,2,1,32,1,passed
20321109,0,0,0,0,0,1,1,87,1,passed
20321127,0,0,0,0,0,1,1,88,1,passed
20321242,4,0,0,0,0,1,1,57,1,passed
20329684,6,0,49,0,0,2,1,28,1,passed
21042511,49,0,0,1,0,2,2,6,2,passed
21042980,0,0,0,0,0,1,1,89,1,passed
21042984,0,0,0,0,0,1,1,90,1,passed
21043362,4,0,0,0,0,1,1,58,1,passed
21481585,130,0,0,2,0,4,1,22,1,passed
21481639,2,0,0,0,0,1,1,59,1,passed
21481835,0,0,0,0,0,1,1,91,1,passed
21481843,0,0,0,0,0,1,1,92,1,passed
21481948,4,0,0,0,0,1,1,60,1,passed
22295793,2,0,2,0,0,2,1,27,1,passed
23173430,8,0,0,0,0,2,1,145,1,passed
23174360,12,0,38,0,0,2,1,36,1,passed
23174462,0,0,0,0,0,1,1,94,1,passed
23174590,0,0,0,0,0,1,1,95,1,passed
23174594,0,0,0,0,0,1,1,96,1,passed
23174652,6,0,0,0,0,1,1,62,1,passed
23464985,14,0,0,0,0,1,1,5,1,passed
23469286,14,0,0,0,0,1,1,6,1,passed
23713199,17,0,0,0,0,2,2,25,2,failed
23713273,0,0,9,0,0,1,1,30,1,passed
23713473,0,0,0,0,0,1,1,97,1,passed
23713479,0,0,0,0,0,1,1,98,1,passed
23713717,4,0,0,0,0,1,1,63,1,passed
23715269,6,0,0,0,0,1,1,64,1,passed
27455607,7,0,0,0,0,1,1,8,1,failed
27455687,4,0,0,0,0,1,1,65,1,failed
27455764,0,0,7,0,0,1,1,31,1,passed
27455822,0,0,0,0,0,1,1,99,1,passed
27455828,0,0,0,0,0,1,1,100,1,passed
27813033,121,0,5,2,0,2,1,10,1,passed
27815610,0,0,0,0,0,1,1,101,1,passed
27815614,0,0,0,0,0,1,1,102,1,passed
27815744,4,0,0,0,0,1,1,66,1,passed
27818173,18,0,0,0,0,1,1,5,1,passed
27818266,0,0,0,0,0,1,1,103,1,passed
27818278,0,0,0,0,0,1,1,104,1,passed
27818491,4,0,0,0,0,1,1,67,1,passed
27819260,0,0,0,0,0,1,1,105,1,passed
27819318,0,0,0,0,0,1,1,107,1,passed
27819434,8,0,0,0,0,1,1,68,1,passed
27839359,4,0,0,0,0,1,1,8,1,passed
27839417,0,0,0,0,0,1,1,108,1,passed
27839426,0,0,0,0,0,1,1,109,1,passed
27839587,6,0,0,0,0,1,1,69,1,passed
27840404,39,0,5,0,1,2,1,27,1,passed
27840513,0,0,0,0,0,1,1,110,1,passed
27840523,0,0,0,0,0,1,1,111,1,passed
27840596,4,0,0,0,0,1,1,70,1,passed
27841437,3,1,0,0,0,1,1,23,1,passed
27841471,0,0,0,0,0,1,1,112,1,passed
27841475,0,0,0,0,0,1,1,113,1,passed
27841520,4,0,0,0,0,1,1,71,1,passed
28018213,10,0,0,0,0,1,1,7,1,passed
28018285,0,0,0,0,0,1,1,114,1,passed
28018289,0,0,0,0,0,1,1,115,1,passed
28018405,4,0,0,0,0,1,1,72,1,passed
28087958,8,0,6,0,0,2,1,43,1,passed
28087984,0,0,0,0,0,1,1,116,1,passed
28087988,0,0,0,0,0,1,1,117,1,passed
28088041,4,0,0,0,0,1,1,73,1,passed
28208904,2,0,0,0,0,1,1,25,1,passed
28209483,0,0,0,0,0,1,1,118,1,passed
28209487,0,0,0,0,0,1,1,119,1,passed
28209556,4,0,0,0,0,1,1,74,1,passed
32482904,20,0,6,0,0,3,1,46,1,passed
32483658,3,0,28,0,0,2,1,41,1,passed
32483668,0,0,2,0,0,1,1,35,1,passed
32493089,0,0,0,0,0,1,1,120,1,passed
32493093,0,0,0,0,0,1,1,121,1,passed
32493576,15,0,0,0,0,1,1,75,1,passed
34377418,85,0,15,1,0,2,2,41,2,passed
35732620,2,0,0,0,0,2,1,1,1,failed
36360423,16,0,7,0,0,2,1,48,1,passed
38667530,84,0,21,0,0,6,3,117,3,passed
38667618,0,0,0,0,0,1,1,122,1,passed
38667622,0,0,0,0,0,1,1,123,1,passed
38667771,4,0,0,0,0,1,1,77,1,passed
38668094,8,0,0,0,0,2,1,192,1,passed
38668127,0,0,0,0,0,1,1,125,1,passed
38668131,0,0,0,0,0,1,1,126,1,passed
38668261,4,0,0,0,0,1,1,79,1,passed
39220829,2,0,0,0,0,2,1,2,1,passed
39220934,16,0,7,0,0,2,1,50,1,passed
39802610,18,0,7,0,0,4,1,54,1,passed
39802675,75,0,15,1,0,2,1,48,1,passed
39802747,0,0,1,0,0,1,1,43,1,passed
39803032,9,0,0,0,0,1,1,80,1,passed
39867838,0,0,0,0,0,1,1,127,1,passed
39867850,0,0,0,0,0,1,1,128,1,passed
39869891,24,0,0,0,0,3,1,13,1,passed
39870754,29,0,0,0,0,2,1,90,1,passed
39870899,0,0,0,0,0,1,1,129,1,passed
39870905,0,0,0,0,0,1,1,130,1,passed
39875290,0,0,0,0,0,1,1,132,1,passed
39875848,0,0,0,0,0,1,1,133,1,passed
39876085,0,0,0,0,0,1,1,134,1,passed
39876122,0,0,0,0,0,1,1,135,1,passed
39885460,0,0,0,0,0,1,1,136,1,passed
39885518,0,0,0,0,0,1,1,137,1,passed
39885668,0,0,0,0,0,1,1,138,1,passed
39885766,0,0,0,0,0,1,1,139,1,passed
39886268,0,0,0,0,0,1,1,140,1,passed
39886395,0,0,0,0,0,1,1,141,1,passed
39886418,0,0,0,0,0,1,1,142,1,passed
39886744,4,0,0,0,0,1,1,82,1,passed
41432832,8,0,0,0,0,1,1,8,1,passed
42959106,0,0,0,0,0,1,1,143,1,passed
42959320,6,0,0,0,0,2,1,216,1,failed
42963385,69,0,40,0,0,5,1,130,1,failed
42963606,8,0,0,0,0,2,1,218,1,passed
42964178,0,0,0,0,0,1,1,3,1,passed
42964415,0,0,0,0,0,1,1,4,1,passed
42964782,0,0,0,0,0,1,1,146,1,passed
42964798,0,0,0,0,0,1,1,147,1,passed
42964988,2,0,0,0,0,1,1,86,1,passed
42965125,0,0,2,0,0,1,1,45,1,passed
42965635,2,0,0,0,0,1,1,87,1,passed
47178698,29,0,0,1,0,2,1,89,1,passed
47179737,3,0,0,0,0,1,1,89,1,passed
47180381,10,0,0,0,0,1,1,90,1,passed
47209703,0,0,0,0,0,1,1,148,1,passed
47687493,0,0,6,0,0,2,1,46,1,passed
47689476,6,0,30,0,0,2,1,59,1,failed
47691568,3,0,35,0,0,2,1,60,1,passed
47694575,6,0,0,0,0,3,1,228,1,passed
48390387,34,0,2,0,0,5,1,144,1,passed
48390595,0,0,0,0,0,1,1,151,1,failed
48390612,0,0,0,0,0,1,1,152,1,passed
48391027,4,0,0,0,0,1,1,94,1,passed
48538628,48,0,40,0,0,3,1,59,1,passed
48539393,27,0,0,0,0,1,1,11,1,passed
48539561,0,0,0,0,0,1,1,153,1,passed
48539631,0,0,0,0,0,1,1,154,1,passed
48539661,0,0,0,0,0,1,1,155,1,passed
48540192,0,0,0,0,0,1,1,156,1,passed
48541452,16,0,22,0,0,3,1,65,1,passed
48541472,0,0,2,0,0,1,1,53,1,passed
48541574,0,0,0,0,0,1,1,157,1,passed
48541628,0,0,0,0,0,1,1,158,1,passed
48541754,0,0,0,0,0,1,2,159,2,passed
48542037,6,0,0,0,0,1,1,95,1,passed
48936954,9,0,0,0,0,1,1,3,1,passed
48937035,2,0,0,0,0,1,1,96,1,passed
48938813,0,0,0,0,0,1,1,161,1,passed
48938824,0,0,0,0,0,1,1,162,1,passed
48939402,4,0,0,0,0,1,1,97,1,passed
48968930,4,0,0,0,0,1,1,4,1,passed
48969106,0,0,0,0,0,1,1,163,1,passed
48969116,0,0,0,0,0,1,1,164,1,passed
48969874,4,0,0,0,0,1,1,98,1,passed
49516641,8,0,11,0,0,2,1,57,1,passed
49516855,0,0,0,0,0,1,1,165,1,passed
49516867,0,0,0,0,0,1,1,166,1,passed
49517043,4,0,0,0,0,1,1,99,1,passed
50262799,63,0,24,1,0,4,1,75,1,failed
50265467,0,0,0,0,0,1,1,8,1,passed
51425852,63,0,24,1,0,4,1,77,1,passed
51427710,20,0,29,0,0,4,1,73,1,passed
51429281,11,0,39,0,0,3,1,67,1,passed
51438741,0,0,0,0,0,1,1,167,1,passed
51438761,0,0,0,0,0,1,1,168,1,passed
