tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
9228026,21,0,0,0,0,4,5,74,5,passed
9228401,0,0,0,0,0,1,1,1,1,passed
9230097,2,0,0,0,0,2,2,34,2,failed
9230515,0,0,154,0,0,1,1,12,1,failed
9231652,0,0,6,0,0,1,1,10,1,failed
9232178,0,0,16,0,0,1,1,11,1,passed
9656348,11,0,0,0,0,6,1,73,1,passed
9658176,0,0,154,0,0,1,1,13,1,failed
9658653,0,0,8,0,0,1,1,14,1,failed
9659759,0,0,55,0,0,1,1,15,1,passed
9660221,11,0,0,0,0,6,1,74,1,passed
9660422,9,0,0,0,0,1,2,32,2,passed
9665717,2,0,2,0,0,2,1,13,1,passed
9690639,0,0,0,0,0,1,1,1,1,passed
9714777,0,0,0,0,0,1,1,2,1,failed
9715071,2,0,2,0,0,2,1,14,1,failed
9715489,0,0,5,0,0,2,2,25,2,failed
9715680,24,0,2,0,0,3,2,23,2,passed
9716198,37,0,0,0,0,5,1,20,1,passed
9716374,13,0,0,0,0,1,1,5,1,passed
9717111,92,0,0,0,0,3,1,23,1,passed
9718023,63,0,0,0,0,3,2,42,2,passed
9718098,18,0,0,0,0,3,1,17,1,passed
9718373,40,0,0,0,0,1,1,16,1,passed
9718551,55,0,0,0,0,10,1,26,1,passed
9718664,2,0,0,0,0,1,1,35,1,passed
9719119,14,0,0,0,0,4,3,87,3,passed
10902782,26,0,0,0,0,3,2,75,2,passed
10911134,8,0,0,0,0,2,1,59,1,failed
10912488,0,0,17,0,0,1,1,18,1,passed
12707536,4,0,18,0,0,2,1,12,1,passed
12711538,4,0,18,0,0,2,1,13,1,passed
13636893,4,0,18,0,0,2,1,14,1,failed
13637826,2,0,0,0,0,2,1,42,1,failed
13639187,0,0,0,0,0,1,1,6,1,passed
14493522,4,0,0,0,0,1,1,38,1,passed
18736711,0,0,2,0,0,3,2,30,2,passed
22198875,0,0,0,0,0,1,1,5,1,passed
22207890,0,0,22,0,0,1,1,2,1,passed
22332072,0,0,0,0,0,1,1,6,1,passed
22332121,0,0,22,0,0,1,1,3,1,passed
22332243,13,0,0,0,0,3,1,91,1,passed
22555411,0,0,0,1,0,0,1,0,1,passed
22599212,0,0,0,1,0,0,1,1,1,passed
22599559,15,0,0,1,0,3,2,94,2,passed
27945454,6,0,766,0,0,28,4,104,4,passed
27946016,17,0,0,0,0,3,1,93,1,passed
35113443,0,0,0,1,0,0,1,0,1,passed
35343290,0,0,0,0,0,2,3,5,3,passed
36851901,0,0,0,1,0,1,1,5,1,passed
36852334,11,0,0,0,0,2,1,64,1,passed
38819593,39,0,0,0,0,18,1,61,1,passed
39838744,7,0,0,0,0,5,2,19,2,passed
39843200,21,0,0,0,0,4,2,71,2,passed
41621549,0,0,2,0,0,1,1,13,1,failed
41624802,0,0,4,0,0,1,1,15,1,passed
41661253,44,0,0,0,0,20,2,145,2,passed
44352093,0,0,0,0,0,1,1,11,1,passed
44356179,24,0,0,1,0,2,2,82,2,passed
44438717,8,0,0,0,0,2,1,68,1,passed
44444724,1,0,0,0,2,2,2,35,2,passed
45678181,0,0,0,0,0,1,1,2,1,passed
47133870,0,0,0,0,0,1,1,3,1,passed
47134105,3,0,0,0,0,2,1,97,1,passed
53939821,0,0,0,1,0,0,1,0,1,passed
54098678,21,0,2,0,0,2,1,12,1,passed
55017788,0,0,0,1,0,0,1,1,1,passed
55019927,36,0,2,0,0,5,4,115,4,passed
64547947,0,0,0,1,0,0,1,1,1,passed
64550205,0,0,0,0,0,1,1,13,1,passed
64551277,0,0,2,1,0,3,2,17,2,passed
68233419,4,0,0,0,0,1,1,50,1,passed
68793695,4,0,0,0,0,1,1,51,1,passed
149131930,0,0,0,0,0,3,1,11,1,passed
