tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
122715365,1035,0,0,25,93,16,10,318,10,passed
128605016,1015,0,0,25,93,15,10,285,10,passed
128623440,105,0,18,0,0,8,2,104,2,passed
128631954,634,0,2,1,0,4,1,51,1,passed
128642244,0,0,7,0,0,1,1,5,1,passed
128649057,36,0,0,0,0,2,2,53,2,passed
128649678,182,0,0,4,0,0,1,2,1,passed
128651820,12,0,0,0,0,2,1,145,1,passed
132464830,8,0,0,0,0,1,1,49,1,passed
132466549,2,0,0,0,0,1,1,70,1,passed
153174174,160,0,70,2,0,1,1,21,1,passed
