tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4190876,8,0,0,0,0,2,2,123,2,failed
4191409,2,0,0,0,0,1,1,54,1,failed
4214360,18,0,0,1,0,2,1,115,1,failed
4218390,15,0,0,0,0,2,2,7,2,failed
4312255,2,0,0,0,0,1,1,1,1,passed
4335083,7,0,0,0,0,1,1,2,1,passed
4335685,4,0,0,0,0,1,1,3,1,passed
4471675,2,0,0,0,0,1,1,55,1,passed
4476950,2,0,0,0,0,1,1,56,1,passed
5402766,8,0,0,0,0,1,1,75,1,failed
5516454,8,0,0,0,0,1,1,76,1,failed
5615246,7,0,0,0,0,1,1,33,1,failed
5646357,0,0,4,0,0,1,1,9,1,failed
5659280,0,0,4,0,0,1,1,10,1,failed
5659471,7,0,0,0,0,1,1,34,1,failed
5995083,0,0,0,0,0,1,1,12,1,passed
6026299,0,0,0,0,0,1,1,13,1,passed
6052962,3,0,0,0,0,1,1,92,1,passed
6057151,3,0,0,0,0,1,1,93,1,passed
6227755,28,0,30,0,0,2,2,96,2,passed
6279857,1,0,0,0,0,1,1,57,1,failed
6280414,28,0,26,0,0,2,1,98,1,failed
6280755,2,0,1,0,0,2,2,4,2,passed
6383426,11,0,0,0,0,1,1,14,1,passed
6415627,11,0,0,0,0,1,1,15,1,passed
6564162,11,0,0,0,0,1,1,96,1,passed
6576726,11,0,0,0,0,1,1,97,1,passed
6588464,2,0,0,0,0,1,1,3,1,passed
6837099,10,0,0,0,0,1,1,35,1,passed
6851253,10,0,0,0,0,1,1,36,1,passed
8103312,62,0,0,0,0,1,1,77,1,passed
8105213,62,0,0,0,0,1,1,78,1,passed
8407798,1,0,0,0,0,1,1,79,1,passed
8408124,382,0,0,0,0,1,1,80,1,passed
8478881,4,0,0,0,0,1,1,4,1,passed
8513824,12,0,0,0,0,2,1,166,1,passed
8516717,12,0,0,0,0,2,1,167,1,passed
8516739,4,0,0,0,0,1,1,5,1,passed
9142184,8,0,0,0,0,1,1,83,1,passed
9325551,8,0,0,0,0,1,1,84,1,passed
9564431,0,0,0,1,1,2,1,17,1,passed
9564599,0,0,0,1,1,2,1,18,1,passed
9731365,8,0,0,0,0,1,1,37,1,passed
9854199,3,0,0,0,0,1,1,37,1,passed
9884724,3,0,0,0,0,1,1,38,1,passed
9884760,8,0,0,0,0,1,1,40,1,passed
