tr_build_id,patch_size,num_of_comments,test_file_changes,files_added,files_deleted,num_commits,frequency_file_change,num_of_reviewers,developer_experience,reviewer_experience
1494869,176959,0,7019,1633,448,4178,47,0,155,155
1494892,12,0,0,0,0,2,2370,0,155,155
1495071,0,0,0,0,0,1,1707,0,155,155
1495163,12,0,0,0,0,2,2373,0,155,155
1495971,0,0,0,1,0,1,0,0,220,220
1505214,0,0,0,0,0,1,1709,0,156,156
1505232,12,0,0,0,0,2,2376,0,156,156
1513501,0,0,0,0,0,1,1711,0,157,157
1513521,12,0,0,0,0,2,2379,0,157,157
1514415,1,0,0,0,0,1,5,0,181,181
1514476,0,0,0,0,0,1,1713,0,157,157
1514509,12,0,0,0,0,2,2382,0,157,157
1514700,8,0,0,0,0,2,477,0,151,151
1516069,5,0,0,0,0,1,2,0,221,221
1516144,5,0,0,0,0,1,69,0,222,222
1519548,0,0,0,0,0,1,1715,0,158,158
1521366,0,0,0,0,0,1,1716,0,158,158
1522317,0,0,0,0,0,1,1717,0,158,158
1522404,4,0,0,0,0,1,17,0,221,221
1522510,0,0,0,0,0,1,1718,0,158,158
1522544,12,0,0,0,0,2,2389,0,158,158
1524106,0,0,0,0,0,1,1720,0,159,159
1524165,12,0,0,0,0,2,2392,0,159,159
1529863,0,0,0,0,0,1,1722,0,159,159
1529883,12,0,0,0,0,2,2395,0,159,159
1531829,0,0,0,0,0,1,1724,0,159,159
1531841,12,0,0,0,0,2,2398,0,159,159
1533991,0,0,0,0,0,1,1726,0,159,159
1534325,0,0,0,0,0,1,1728,0,159,159
1534369,10,0,0,0,0,1,665,0,159,159
1534427,10,0,0,0,0,2,2395,0,159,159
1536637,10,0,0,0,0,2,2397,0,160,160
1536700,4,0,0,0,0,1,1741,0,160,160
1539822,0,0,0,0,0,1,1732,0,160,160
1539851,10,0,0,0,0,1,668,0,160,160
1542986,0,0,0,0,0,1,1733,0,160,160
1543000,12,0,0,0,0,2,2413,0,160,160
1543669,2,0,2,0,0,2,9,0,208,208
1543958,0,0,0,0,0,1,1735,0,160,160
1544549,0,0,0,0,0,1,2,0,162,162
1551399,0,0,0,0,0,1,1736,0,161,161
1551463,10,0,0,0,0,1,670,0,161,161
1554205,0,0,0,0,0,1,1737,0,161,161
1554211,12,0,0,0,0,2,2419,0,161,161
1554496,0,0,0,0,0,1,1739,0,161,161
1554633,0,0,0,0,0,1,1740,0,161,161
1554655,10,0,0,0,0,1,672,0,161,161
1554843,0,0,0,0,0,1,1741,0,161,161
1554869,10,0,0,0,0,1,673,0,161,161
1556342,3,0,0,0,0,1,36,0,163,163
1557191,309,0,0,0,0,1,43,0,155,155
1557323,2,0,18,0,0,2,24,0,209,209
1557395,0,0,0,0,0,1,1742,0,162,162
1557415,10,0,0,0,0,1,674,0,162,162
1557900,0,0,0,0,0,1,3,0,163,163
1558262,0,0,3,0,0,1,6,0,209,209
1561425,20,0,0,0,0,2,1778,0,162,162
1561470,10,0,0,0,0,1,675,0,162,162
1565218,0,0,0,0,0,1,1744,0,162,162
1565239,10,0,0,0,0,1,676,0,162,162
1571079,0,0,0,0,0,1,1745,0,163,163
1571119,10,0,0,0,0,1,677,0,163,163
1573729,0,0,0,0,0,1,1746,0,163,163
1573732,10,0,0,0,0,1,678,0,163,163
1575381,0,0,6,0,0,1,2,0,228,228
1579010,0,0,0,0,0,1,1747,0,164,164
1579047,10,0,0,0,0,1,679,0,164,164
1581060,10,0,0,0,0,2,2428,0,164,164
1581369,42,0,2,9,0,1,11,0,212,212
1581390,0,0,0,0,0,1,1749,0,164,164
1581393,10,0,0,0,0,1,681,0,164,164
1581431,4,0,0,0,0,1,7,0,158,158
1581453,4,0,0,0,0,1,19,0,158,158
1581732,2,0,0,0,0,1,3,0,227,227
1581747,0,0,31,0,0,2,13,0,229,229
1581793,0,0,0,0,0,1,1750,0,164,164
1581814,10,0,0,0,0,1,682,0,164,164
1582558,0,0,7,0,0,1,4,0,229,229
1582762,34,0,12,0,0,3,21,0,212,212
1582860,0,0,0,0,0,1,1751,0,165,165
1582892,10,0,0,0,0,1,683,0,165,165
1583089,12,0,0,0,0,1,14,0,229,229
1583640,6,0,0,0,0,1,1,0,212,212
1583747,0,0,0,0,0,1,1752,0,165,165
1583754,10,0,0,0,0,1,684,0,165,165
1586267,0,0,0,0,0,1,1753,0,165,165
1586294,10,0,0,0,0,1,685,0,165,165
1588588,0,0,0,0,0,1,1754,0,165,165
1588606,10,0,0,0,0,1,686,0,165,165
1588712,0,0,35,0,0,1,13,0,213,213
1588927,66,0,0,1,0,1,0,0,213,213
1588981,0,0,0,0,0,1,1755,0,165,165
1589012,10,0,0,0,0,1,687,0,165,165
1589465,0,0,0,0,0,1,145,0,230,230
1589499,62,0,0,0,0,2,1772,0,165,165
1589711,0,0,0,0,0,1,42,0,230,230
1589807,0,0,0,0,0,1,1757,0,165,165
1589842,252,0,8,0,6,2,15,0,213,213
1589938,0,0,0,0,0,1,1758,0,165,165
1590206,0,0,0,0,0,1,43,0,230,230
1590415,0,0,0,0,0,1,1759,0,165,165
1590617,12,0,0,0,0,2,2458,0,165,165
1590733,23,0,0,0,0,1,28,0,159,159
1590786,60,0,0,0,0,1,36,0,159,159
1590884,10,0,0,0,0,2,2450,0,165,165
1590934,101,0,0,0,0,1,17,0,230,230
1591366,0,0,18,0,0,2,14,0,213,213
1591501,0,0,0,0,0,1,1762,0,166,166
1591522,10,0,0,0,0,1,690,0,166,166
1593822,0,0,4,0,0,1,5,0,214,214
1593895,0,0,0,0,0,1,1763,0,166,166
1593931,10,0,0,0,0,1,691,0,166,166
1595469,0,0,0,0,0,1,1764,0,166,166
1595506,10,0,0,0,0,1,692,0,166,166
1598067,0,0,0,0,0,1,1765,0,166,166
1598089,10,0,0,0,0,1,693,0,166,166
1598421,39,0,0,0,0,2,4,0,214,214
1598471,0,0,0,0,0,1,1766,0,166,166
1598482,10,0,0,0,0,1,694,0,166,166
1599381,93,0,0,2,0,4,49,0,229,229
1599427,89,0,0,0,0,5,16,0,229,229
1599488,417,0,0,10,0,3,0,0,229,229
1599608,20,0,0,0,0,1,8,0,229,229
1600164,0,0,0,0,0,1,73,0,231,231
1600211,0,0,0,0,0,1,1767,0,166,166
1600338,10,0,0,0,0,1,695,0,166,166
1600514,35,0,0,0,0,1,4,0,229,229
1600561,0,0,0,0,0,1,38,0,229,229
1602499,44,0,0,0,0,1,62,0,161,161
1604559,0,0,0,0,0,1,1768,0,167,167
1604595,10,0,0,0,0,1,696,0,167,167
1607108,0,0,0,0,0,1,1769,0,167,167
1607144,10,0,0,0,0,1,697,0,167,167
1610483,0,0,6,0,0,1,22,0,215,215
1613922,10,0,0,0,0,2,2468,0,168,168
1616254,0,0,0,0,0,1,1771,0,168,168
1616276,10,0,0,0,0,1,699,0,168,168
1618169,0,0,0,0,0,1,1772,0,168,168
1618193,10,0,0,0,0,1,700,0,168,168
1618284,0,0,0,0,0,1,1773,0,168,168
1618323,0,0,0,0,0,1,1774,0,168,168
1618412,10,0,0,0,0,1,701,0,168,168
1618561,0,0,0,0,0,1,1775,0,168,168
1618589,10,0,0,0,0,1,702,0,168,168
1620918,0,0,0,0,0,1,1776,0,169,169
1621019,10,0,0,0,0,1,703,0,169,169
1622875,2,0,0,0,0,1,3,0,56,56
1625022,0,0,0,0,0,1,1777,0,169,169
1625039,10,0,0,0,0,1,704,0,169,169
1631029,20,0,0,0,0,5,2483,0,170,170
1631074,10,0,0,0,0,1,707,0,170,170
1632864,0,0,0,0,0,1,1781,0,170,170
1633277,0,0,0,0,0,1,1782,0,170,170
1633287,10,0,0,0,0,1,708,0,170,170
1637035,0,0,0,0,0,1,1783,0,171,171
1637050,10,0,0,0,0,1,709,0,171,171
1638359,0,0,0,0,0,1,1784,0,171,171
1638592,0,0,0,0,0,1,1785,0,171,171
1638608,10,0,0,0,0,1,710,0,171,171
1639524,6,0,0,0,0,1,34,0,236,236
1639791,0,0,0,0,0,1,1786,0,172,172
1639805,10,0,0,0,0,1,711,0,172,172
1642270,0,0,0,0,0,1,1787,0,172,172
1642290,10,0,0,0,0,1,712,0,172,172
1642671,0,0,0,0,0,1,1788,0,172,172
1642707,10,0,0,0,0,1,713,0,172,172
1644238,0,0,0,0,0,1,1789,0,172,172
1644259,10,0,0,0,0,1,714,0,172,172
1645664,0,0,0,0,0,1,1790,0,172,172
1645679,10,0,0,0,0,1,715,0,172,172
1645966,0,0,0,0,0,1,1791,0,172,172
1646000,10,0,0,0,0,1,716,0,172,172
1646039,16,0,0,0,0,1,234,0,237,237
1646249,2,0,0,0,0,1,5,0,174,174
1647045,0,0,0,0,0,1,1792,0,173,173
1647053,10,0,0,0,0,1,718,0,173,173
1647254,0,0,0,0,0,1,1793,0,173,173
1647286,10,0,0,0,0,1,719,0,173,173
1648124,0,0,0,0,0,1,1794,0,173,173
1648167,10,0,0,0,0,1,720,0,173,173
1648700,0,0,0,0,0,1,1795,0,173,173
1648735,10,0,0,0,0,1,721,0,173,173
1650012,0,0,0,0,0,1,1796,0,173,173
1650056,10,0,0,0,0,1,722,0,173,173
1652468,0,0,0,0,0,1,1797,0,173,173
1652488,10,0,0,0,0,1,723,0,173,173
1653160,10,0,0,0,0,2,2522,0,173,173
1653631,128,0,0,0,1,1,10,0,236,236
1655526,5,0,0,0,0,1,11,0,238,238
1656701,0,0,0,0,0,1,1799,0,174,174
1656744,10,0,0,0,0,1,725,0,174,174
1659039,0,0,0,0,0,1,1800,0,174,174
1659097,10,0,0,0,0,1,726,0,174,174
1661785,0,0,0,0,0,1,1801,0,174,174
1661802,10,0,0,0,0,1,727,0,174,174
1662579,2,0,0,0,0,1,3,0,238,238
1665590,2,0,0,0,0,1,376,0,168,168
1666161,10,0,0,0,0,2,2531,0,175,175
1666628,0,0,0,0,0,1,1803,0,175,175
1666670,10,0,0,0,0,1,730,0,175,175
1668189,0,0,0,0,0,1,1804,0,175,175
1668216,10,0,0,0,0,1,731,0,175,175
1670722,0,0,0,0,0,1,1805,0,175,175
1670742,10,0,0,0,0,1,732,0,175,175
1673729,0,0,0,0,0,1,1806,0,176,176
1673824,10,0,0,0,0,1,733,0,176,176
1675253,0,0,0,0,0,1,1807,0,176,176
1675325,10,0,0,0,0,1,734,0,176,176
1677062,0,0,0,0,0,1,1808,0,176,176
1677092,10,0,0,0,0,1,735,0,176,176
1679139,0,0,0,0,0,1,1809,0,176,176
1679157,10,0,0,0,0,1,736,0,176,176
1683131,0,0,0,0,0,1,1810,0,177,177
1683146,10,0,0,0,0,1,737,0,177,177
1685095,0,0,0,0,0,1,1811,0,177,177
1685106,10,0,0,0,0,1,738,0,177,177
1687076,0,0,0,0,0,1,1812,0,177,177
1687113,10,0,0,0,0,1,739,0,177,177
1689682,0,0,0,0,0,1,1813,0,178,178
1689706,10,0,0,0,0,1,740,0,178,178
1690904,0,0,0,0,0,1,1814,0,178,178
1690933,10,0,0,0,0,1,741,0,178,178
1692358,0,0,0,0,0,1,1815,0,178,178
1692420,10,0,0,0,0,1,742,0,178,178
1694727,0,0,0,0,0,1,1816,0,179,179
1694747,10,0,0,0,0,1,743,0,179,179
1696005,0,0,0,0,0,1,1817,0,179,179
1696018,10,0,0,0,0,1,744,0,179,179
1698218,0,0,0,0,0,1,1818,0,179,179
1698234,10,0,0,0,0,1,745,0,179,179
1699604,0,0,0,0,0,1,1819,0,179,179
1699628,10,0,0,0,0,1,746,0,179,179
1699741,10,0,0,0,0,2,2567,0,179,179
1701098,0,0,0,0,0,1,1821,0,180,180
1701133,10,0,0,0,0,1,748,0,180,180
1701312,11,0,0,0,0,2,1826,0,244,244
1701364,10,0,0,0,0,1,749,0,180,180
1701604,0,0,0,0,0,1,1823,0,180,180
1701646,10,0,0,0,0,1,750,0,180,180
1702280,12,0,0,0,0,1,4,0,244,244
1702778,0,0,0,0,0,1,1824,0,180,180
1702835,10,0,0,0,0,1,751,0,180,180
1703109,0,0,0,0,0,1,1825,0,180,180
1703115,10,0,0,0,0,1,752,0,180,180
1704795,0,0,0,0,0,1,1826,0,180,180
1704837,10,0,0,0,0,1,753,0,180,180
1707457,0,0,0,0,0,1,1827,0,180,180
1707468,10,0,0,0,0,1,754,0,180,180
1708913,0,0,0,0,0,1,1828,0,180,180
1708933,10,0,0,0,0,1,755,0,180,180
1709259,0,0,0,0,0,1,1829,0,180,180
1709274,10,0,0,0,0,1,756,0,180,180
1710738,12,0,0,0,0,2,2597,0,181,181
1712298,74,0,0,2,0,1,6,0,245,245
1712376,0,0,0,0,0,1,1831,0,181,181
1712440,10,0,0,0,0,1,758,0,181,181
1714525,0,0,0,0,0,1,1832,0,181,181
1714661,10,0,0,0,0,1,759,0,181,181
