tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6436033,89,0,56,4,0,1,3,14,3,passed
6436173,3,0,0,0,0,1,1,114,1,passed
6447402,202,0,454,2,0,1,1,115,1,failed
6450509,202,0,454,2,0,1,1,116,1,passed
6451648,2,0,0,0,0,1,1,117,1,passed
6454295,2,0,0,0,0,1,1,118,1,passed
6454952,83,0,0,0,0,3,1,1,1,passed
6454996,83,0,0,0,0,3,1,2,1,passed
6482480,290,0,454,3,0,4,1,123,1,passed
6482522,10,0,0,0,0,1,1,20,1,passed
6482928,17,0,0,0,0,2,1,38,1,passed
6482986,2,0,0,0,0,1,1,18,1,passed
6504622,14,0,7,0,0,2,1,97,1,passed
6507750,224,0,873,9,0,1,1,22,1,failed
6508418,4,0,0,0,0,2,1,42,1,failed
6508463,6,0,0,0,0,1,1,22,1,failed
6508465,2,0,0,0,0,1,1,23,1,failed
6576126,10,0,20,0,0,2,1,98,1,passed
6615558,465,0,592,0,0,6,16,141,16,passed
6616372,469,0,1205,9,0,3,1,158,1,passed
6716952,9,0,19,0,0,2,1,97,1,passed
6717035,3,0,0,0,0,1,1,90,1,passed
6717182,6,0,19,0,0,2,1,99,1,passed
6777049,8,0,38,0,0,2,1,100,1,passed
6780571,8,0,38,0,0,2,1,101,1,passed
6792149,0,0,0,0,0,0,1,0,1,passed
6793613,39,0,0,0,0,1,1,5,1,passed
6794901,39,0,0,0,0,1,1,6,1,passed
6794920,0,0,0,0,0,0,1,1,1,passed
6824125,26,0,0,0,0,1,1,122,1,passed
6875015,740,0,1507,4,0,3,1,129,1,passed
6883731,740,0,1507,4,0,3,1,130,1,passed
6883748,26,0,0,0,0,1,1,124,1,passed
6884274,128,0,104,0,0,3,1,125,1,passed
6885782,128,0,104,0,0,3,1,128,1,passed
6892003,20,0,22,0,0,2,1,2,1,passed
6892201,66,0,9,7,0,1,2,3,2,passed
6930863,9,0,0,0,0,2,1,37,1,passed
6940993,4,0,0,0,0,1,1,127,1,passed
6941087,4,0,0,0,0,1,1,128,1,passed
6993800,178,0,0,0,0,1,1,129,1,passed
6993931,178,0,0,0,0,1,1,130,1,passed
7019770,2,0,0,0,0,1,1,131,1,failed
7023566,6,0,0,0,0,1,1,131,1,passed
7023618,2,0,0,0,0,1,1,132,1,passed
7023645,6,0,0,0,0,1,1,133,1,passed
7023877,17,0,0,2,0,1,1,1,1,passed
7023889,2,0,0,0,0,1,1,134,1,passed
7024130,2,0,0,0,0,1,1,136,1,passed
7025908,2,0,0,0,0,1,1,36,1,passed
7026264,0,0,0,0,0,1,1,2,1,failed
7026669,0,0,0,0,0,1,1,3,1,passed
7030144,4,0,0,0,0,1,1,137,1,passed
7030177,2,0,0,0,0,1,1,138,1,passed
