tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
30601279,26,0,0,5,0,14,1,110,1,passed
30602792,1,0,0,0,0,1,1,8,1,passed
30603406,46,0,0,0,0,1,1,12,1,passed
30604980,17,0,0,0,2,7,1,57,1,passed
30629335,0,0,0,0,2,0,1,1,1,passed
30639654,0,0,0,0,0,1,1,4,1,passed
30751497,0,0,0,0,0,1,1,5,1,passed
30751691,0,0,0,0,2,0,1,2,1,passed
30867410,296,0,0,0,0,14,14,35,14,passed
30877420,296,0,0,0,0,14,1,49,1,passed
30883648,0,0,0,0,0,1,1,26,1,passed
30893668,1,0,0,0,0,1,1,27,1,passed
31004761,3558,0,0,0,0,4,3,34,3,passed
31083863,212,2,0,0,0,9,2,46,2,passed
31184834,19,0,0,0,0,2,1,35,1,failed
31255303,2,0,0,0,0,1,1,32,1,failed
31263342,3,0,0,0,0,1,1,33,1,failed
31263358,2,0,0,0,0,1,1,34,1,failed
31329265,3,0,0,0,0,1,1,35,1,failed
31330018,3,0,0,0,0,1,1,36,1,failed
31330432,1,0,0,0,0,1,1,37,1,failed
31333961,0,0,0,0,0,1,1,5,1,failed
31337135,0,0,0,0,0,1,1,6,1,failed
31337751,2,0,0,0,0,1,1,38,1,failed
31341299,0,0,0,0,0,1,1,7,1,failed
31342300,0,0,0,0,0,1,1,8,1,failed
31343654,0,0,0,0,0,1,1,9,1,failed
31524247,17,1,0,0,0,2,1,45,1,passed
32056657,82,0,0,0,0,4,2,46,2,passed
32058183,1607,0,0,0,0,13,2,54,2,passed
32598975,107,0,0,0,0,5,4,43,4,passed
32599237,4,0,0,0,0,1,1,8,1,passed
32736429,2,0,0,0,0,1,1,36,1,passed
33338070,1315,3,0,2,5,15,20,92,20,passed
35109178,0,0,0,0,0,1,1,6,1,passed
35758822,0,0,0,0,0,1,1,37,1,passed
36883618,1,0,0,0,0,1,1,13,1,passed
38002030,385,0,0,2,20,18,14,129,14,passed
38002092,0,0,0,0,0,1,1,7,1,passed
40201739,0,0,0,0,0,1,1,7,1,passed
40825035,0,0,0,0,0,1,1,22,1,passed
42237737,0,0,0,0,0,1,1,17,1,failed
42801069,31,0,0,0,0,1,1,26,1,passed
45395246,0,0,0,0,0,1,1,38,1,passed
45395291,1,0,0,0,0,1,1,15,1,passed
45395720,0,0,0,0,0,1,1,8,1,passed
45395741,0,0,0,0,0,1,1,23,1,passed
45396032,0,0,0,0,0,1,1,18,1,failed
45396153,0,0,0,0,0,1,1,19,1,failed
45398802,0,0,0,0,0,1,1,20,1,failed
45409675,0,0,0,0,0,1,1,21,1,passed
45558413,0,0,0,0,0,2,1,34,1,failed
45559021,31,0,0,0,0,1,1,27,1,failed
45563096,2737,0,0,8,0,15,1,157,1,failed
45564398,132,0,0,7,5,5,1,96,1,failed
45570090,77,0,0,0,0,3,1,57,1,failed
45638770,0,0,0,0,0,1,1,4,1,failed
45638947,2,0,0,0,0,1,1,39,1,failed
45639615,0,0,0,0,0,3,1,40,1,passed
45715693,0,0,0,0,0,1,1,4,1,passed
45719138,0,0,0,0,0,1,1,5,1,passed
45734464,0,0,0,0,0,1,1,5,1,passed
45738961,6,0,0,0,0,3,1,9,1,passed
45746228,2,0,0,0,0,1,1,50,1,passed
45785864,0,0,0,0,0,1,1,6,1,passed
46018307,0,0,0,1,0,0,1,1,1,passed
46020518,0,0,0,0,0,1,1,7,1,passed
46020692,2,0,0,0,0,2,1,55,1,passed
46020802,6,0,0,0,0,3,1,10,1,passed
46024995,74,0,0,0,0,2,2,15,2,passed
47141482,0,0,0,0,0,1,1,25,1,passed
47153624,0,0,0,0,0,1,1,26,1,passed
48000388,3,0,0,0,0,1,1,14,1,passed
48377497,2,0,0,0,0,1,1,40,1,passed
48998405,5,0,0,0,0,2,1,18,1,passed
49055366,5,0,0,0,0,2,1,19,1,passed
51704621,0,0,0,0,0,1,1,22,1,passed
51863291,0,0,0,0,0,1,1,23,1,passed
52360242,0,0,0,0,0,1,2,27,2,passed
53421360,0,0,0,1,0,1,2,0,2,passed
55560088,0,0,0,1,0,0,1,2,1,passed
57253655,0,2,0,2,1,1,7,5,7,failed
57464617,0,1,0,0,0,1,2,24,2,passed
57976511,0,0,0,0,0,1,1,5,1,passed
59047413,0,0,0,1,0,0,1,6,1,passed
59924916,0,0,0,0,0,1,1,26,1,passed
59998164,0,0,0,0,0,1,1,3,1,passed
60062653,0,0,0,0,0,1,1,4,1,passed
60062657,0,0,0,0,0,1,1,28,1,passed
60063484,0,0,0,0,0,3,1,47,1,failed
60063908,15,0,0,0,0,1,1,94,1,failed
60370613,3,0,0,0,0,1,1,95,1,failed
60400117,0,0,0,0,0,1,4,11,4,failed
60458132,16,0,0,0,0,2,1,24,1,failed
60460016,11,0,0,0,0,5,1,161,1,failed
60574930,0,0,0,0,0,1,2,15,2,failed
60829341,0,0,0,1,0,0,1,1,1,failed
60829487,0,0,0,0,0,1,1,17,1,failed
60829754,10,0,0,0,0,3,1,104,1,failed
60834085,0,0,0,0,0,1,1,24,1,failed
61003820,0,0,0,0,0,1,1,10,1,failed
62005397,1222,0,0,20,16,3,1,79,1,passed
62095911,0,0,0,0,1,1,1,8,1,passed
62394523,0,0,0,0,0,1,1,3,1,passed
63806534,0,0,0,0,0,1,3,2,3,passed
63972929,0,0,0,0,0,1,1,3,1,passed
63973524,0,0,0,0,0,1,1,5,1,passed
64237259,0,0,0,0,10,1,1,17,1,passed
64685277,0,0,0,0,0,1,3,2,3,failed
65199675,487,0,0,1,0,10,8,13,8,passed
65257004,0,0,0,0,0,1,1,5,1,failed
65257804,447,0,0,1,0,10,1,21,1,failed
66018861,0,0,0,0,0,1,1,4,1,failed
66878973,1271,1,0,2,0,18,1,45,1,failed
69676043,0,0,0,0,0,1,1,6,1,passed
71512076,0,0,0,0,0,1,1,7,1,passed
71512210,0,0,0,0,0,1,1,5,1,passed
72681449,0,0,0,0,0,1,3,2,3,passed
73302687,0,0,0,0,0,1,1,5,1,passed
74074528,0,0,0,0,0,1,4,8,4,passed
74157185,0,0,0,0,0,1,1,12,1,passed
76699237,5,0,0,0,0,1,1,44,1,passed
83046222,8608,0,0,68,69,28,1,258,1,passed
93959492,0,0,0,0,0,1,2,7,2,passed
125224017,0,0,0,0,0,1,1,35,1,passed
125225576,9666,0,0,31,5,89,1,487,1,passed
