tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
19973469,7484,0,0,13,23,39,3,180,3,failed
20024729,0,0,0,1,0,1,1,68,1,failed
20024804,137,0,0,1,0,3,1,22,1,failed
20026646,230,0,0,2,0,2,1,70,1,failed
20030043,123,0,0,1,1,25,1,119,1,failed
20031323,0,0,0,0,0,2,1,71,1,passed
20059661,0,0,0,0,0,1,1,3,1,passed
20093843,308,0,0,1,2,11,1,114,1,passed
20097891,136,0,0,0,0,16,1,30,1,failed
20098558,1,0,0,0,0,1,1,9,1,passed
20174066,0,0,0,0,0,2,1,92,1,passed
20175068,2,0,0,0,0,3,1,48,1,passed
20317496,641,0,0,0,0,9,2,109,2,passed
20328650,0,0,0,0,0,2,1,46,1,passed
20885124,2,0,0,0,0,1,1,10,1,passed
20885288,0,0,0,1,0,0,1,1,1,passed
21207184,0,0,0,0,0,3,1,95,1,passed
21217552,0,0,0,0,0,1,1,45,1,passed
21315387,15,0,0,0,0,1,1,1,1,passed
21388018,28,0,0,0,0,3,1,48,1,passed
21388111,43,0,0,0,0,1,1,3,1,passed
21388417,39,0,0,0,0,3,1,54,1,passed
21547348,18,0,0,0,0,3,2,52,2,passed
22064188,14298,0,0,24,44,56,1,317,1,failed
22064237,0,0,0,0,0,2,1,58,1,failed
22068668,4,0,0,0,0,3,1,62,1,failed
22154650,475,0,0,0,0,5,1,43,1,failed
22224529,26,0,0,0,0,3,1,13,1,failed
22317445,551,0,0,1,1,17,1,128,1,failed
22733450,437,0,0,6,0,30,2,147,2,failed
22867641,97,0,0,3,0,13,1,34,1,failed
25662595,0,0,0,0,0,1,1,4,1,failed
25662612,0,0,0,0,0,1,1,29,1,failed
25662627,0,0,0,0,0,1,1,18,1,failed
27618484,7,0,0,0,0,3,1,27,1,failed
27620773,72,0,0,0,0,9,1,13,1,failed
27622804,0,0,0,0,0,1,1,11,1,failed
27649508,320,0,0,1,1,17,1,32,1,failed
27678761,129,0,0,0,0,6,1,10,1,failed
27706206,0,0,0,0,0,9,1,111,1,failed
27706476,201,0,0,0,0,14,1,19,1,failed
27985475,908,0,0,5,2,18,1,83,1,failed
27997820,66,0,0,0,0,6,1,65,1,failed
28007265,39,0,0,0,0,3,1,66,1,failed
28084279,92,3,0,0,0,1,1,5,1,failed
28085250,129,2,0,4,0,2,1,14,1,passed
28085746,0,0,0,0,0,1,1,62,1,passed
28087769,0,0,0,0,0,2,1,24,1,passed
28117085,60,1,0,0,0,8,4,75,4,passed
28117149,0,0,0,0,0,1,1,25,1,passed
28134070,1,0,0,0,0,1,1,8,1,passed
28498105,2,0,0,0,0,1,1,6,1,passed
28500132,58,0,0,0,0,3,1,8,1,passed
28743466,1151,0,0,1,1,24,2,93,2,passed
28780362,24,0,0,0,0,5,1,81,1,passed
28786014,46,0,0,0,0,5,1,4,1,passed
28831318,266,0,0,0,0,15,2,49,2,passed
28900627,46,3,0,0,0,3,1,9,1,passed
28906899,63,0,0,0,0,5,1,11,1,passed
28930944,53,0,0,0,0,1,1,4,1,passed
28962940,0,0,0,0,0,1,1,36,1,passed
28962994,0,0,0,0,0,1,1,9,1,passed
28991621,2,0,0,0,0,1,1,3,1,passed
29035063,333,0,0,10,1,9,1,54,1,passed
29108302,41,0,0,0,0,2,1,5,1,passed
29108309,0,0,0,0,0,1,1,11,1,passed
29269243,0,0,0,0,0,1,1,18,1,passed
29270337,230,0,0,0,0,5,1,86,1,passed
29429977,42,0,0,0,0,8,1,47,1,failed
29441378,372,0,0,0,0,9,1,92,1,failed
29510078,0,0,0,0,0,1,1,38,1,passed
29740809,1,0,0,0,0,1,1,5,1,passed
29832483,125,0,0,1,0,4,1,37,1,passed
31204863,1665,0,0,2,1,37,2,24,2,passed
32024658,348,0,0,8,1,14,3,57,3,passed
32223888,64,0,0,0,0,6,1,97,1,passed
32230122,3,0,0,0,0,1,1,5,1,passed
32258691,1601,0,0,23,2,13,1,23,1,passed
32290500,7,0,0,0,0,1,1,2,1,passed
32626639,139,0,0,0,1,10,1,17,1,passed
32626652,0,0,0,0,0,1,1,15,1,passed
33005463,4,0,0,0,0,1,1,3,1,passed
33185649,43,0,0,0,0,5,1,46,1,passed
33185670,608,0,0,5,0,21,1,114,1,passed
33370030,28,0,0,0,0,8,1,119,1,passed
33370727,0,0,0,0,0,1,1,21,1,passed
33506046,22,0,0,0,0,1,1,6,1,passed
33506231,62,0,0,0,0,2,1,7,1,passed
33528702,0,0,0,0,0,1,1,27,1,passed
33557419,0,0,0,0,0,2,1,90,1,passed
33607336,23,0,0,0,0,4,1,11,1,passed
34602335,0,0,0,0,0,1,1,42,1,passed
34928838,94,0,0,1,0,4,1,20,1,passed
35394023,2,0,0,0,0,1,1,9,1,passed
35394041,0,0,0,0,0,2,1,91,1,passed
35427256,0,0,0,0,0,1,1,12,1,passed
36142445,97,8,0,7,0,2,1,13,1,passed
36532892,0,0,0,0,0,1,1,29,1,passed
36532947,2,0,0,0,0,1,1,5,1,passed
36585234,486,0,0,0,5,25,1,35,1,passed
36626734,170,0,0,0,1,3,1,46,1,passed
36629892,35,0,0,0,0,9,1,111,1,passed
37048543,80,0,0,0,0,5,1,18,1,failed
37251823,102,0,0,2,0,4,1,57,1,passed
37503594,665,0,0,4,32,21,1,34,1,passed
37629926,43,0,0,0,0,10,1,22,1,passed
