tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6729854,0,0,0,0,0,3,1,137,1,passed
47085635,0,0,0,0,0,1,1,87,1,passed
47281688,85,0,0,0,0,5,1,415,1,passed
47679612,5,0,0,0,0,1,1,31,1,passed
48379748,1,0,0,0,0,1,1,349,1,passed
48809222,1,0,0,0,0,1,1,351,1,passed
53673064,1967,0,0,22,0,14,1,452,1,failed
54145883,4298,0,0,23,0,9,1,481,1,failed
54147900,0,0,0,1,0,1,1,63,1,failed
54154113,0,0,0,0,0,1,1,1,1,passed
55322657,81,0,0,1,0,4,1,96,1,passed
55322699,7,0,0,0,0,1,1,32,1,passed
55322769,4,0,0,0,0,1,1,63,1,passed
55323346,2,0,0,0,0,1,1,33,1,passed
55926842,1,0,0,0,0,1,1,379,1,passed
56960918,293,0,0,2,2,8,1,428,1,passed
57441408,31,0,0,0,0,3,1,395,1,passed
57907284,66,0,0,0,1,5,1,145,1,passed
61107221,1,0,0,0,0,1,1,385,1,passed
63295280,1589,0,0,0,0,2,1,389,1,passed
65518613,0,0,0,0,0,5,1,411,1,passed
65840396,1727,0,0,5,0,16,1,527,1,passed
69525571,1,0,0,0,0,1,1,397,1,passed
71811509,0,0,0,0,0,1,1,88,1,failed
71813211,0,0,0,0,0,1,1,66,1,passed
72152804,4817,0,0,20,0,26,1,664,1,passed
77996561,230,0,0,0,0,4,1,407,1,passed
79076035,34,0,0,0,0,2,1,406,1,passed
79076064,4,0,0,0,0,1,1,408,1,passed
79076141,10,0,0,1,0,3,1,132,1,passed
79076176,0,0,0,0,0,1,1,92,1,passed
79364366,2,0,0,0,0,1,1,411,1,passed
79972520,29,0,0,0,0,2,1,91,1,passed
92661413,39,0,0,0,0,1,1,33,1,passed
92662981,45,0,0,2,0,7,1,507,1,passed
92663012,33,0,0,0,0,1,1,36,1,passed
92663365,0,0,0,0,0,1,1,93,1,passed
92665615,0,0,0,2,0,0,1,4,1,passed
92753933,0,0,0,0,0,4,1,154,1,passed
93816898,136,0,0,0,0,3,1,550,1,passed
94051714,2,0,0,0,0,2,1,502,1,passed
94449844,0,0,0,0,0,1,1,98,1,passed
94577151,22,0,0,0,0,1,1,50,1,passed
97167178,17,0,0,0,0,2,1,18,1,failed
97412761,12,0,0,0,0,1,1,421,1,failed
98110830,0,0,0,0,0,1,1,99,1,failed
98112284,0,0,0,0,0,2,1,7,1,failed
98278085,2,0,0,0,0,1,1,32,1,failed
99124394,0,0,0,0,0,1,1,2,1,passed
99248401,6,0,0,0,0,2,1,42,1,passed
100290545,0,0,0,0,0,1,1,71,1,passed
104612895,3,0,0,0,0,1,1,11,1,passed
106771142,0,0,0,0,0,1,1,100,1,passed
107185223,0,0,0,0,0,1,1,101,1,passed
107253311,2,0,0,0,0,2,1,17,1,passed
108608485,0,0,0,0,0,1,1,102,1,passed
108777033,8,0,0,0,0,1,1,423,1,passed
108777184,0,0,0,0,0,1,1,103,1,passed
109296666,49,0,0,0,0,2,1,427,1,passed
109839559,0,0,0,0,0,1,1,104,1,passed
110078357,0,0,0,0,0,3,1,441,1,passed
110259523,895,0,0,0,0,5,1,46,1,passed
110259904,0,0,0,0,0,1,1,105,1,passed
110893042,20,0,0,0,0,1,1,14,1,passed
110893751,0,0,0,0,0,1,1,106,1,passed
110970560,0,0,0,0,0,1,1,107,1,passed
111414214,0,0,0,0,0,1,1,108,1,passed
111686159,9,0,0,1,0,1,1,109,1,passed
112543211,0,0,0,0,0,1,1,110,1,passed
116762055,955,0,0,0,0,7,1,562,1,passed
118184228,0,0,0,0,0,1,1,113,1,passed
118332832,0,0,0,0,0,1,1,114,1,passed
123826913,1,0,0,0,0,1,1,146,1,passed
123827107,447,0,0,0,0,12,1,516,1,passed
123828221,4,0,0,0,0,2,2,532,2,passed
124968184,0,0,0,0,0,1,1,117,1,passed
125749022,47,0,0,0,0,2,1,103,1,passed
125749108,58,0,0,0,0,2,1,15,1,passed
126896977,84,0,0,0,2,1,1,49,1,passed
128565951,972,0,0,0,0,7,1,64,1,passed
128762117,1,0,0,0,0,1,1,436,1,passed
131980204,560,0,0,2,0,11,2,600,2,passed
132751454,6,0,0,0,0,1,1,147,1,passed
148704846,0,0,0,0,0,1,1,118,1,passed
149089819,7,0,0,0,0,1,1,7,1,passed
149878592,0,0,0,0,0,1,1,119,1,passed
152925111,0,0,0,0,0,1,1,3,1,passed
