tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
544828,15312,0,9895,84,131,23,1,1392,1,failed
601451,964,0,930,8,4,43,1,778,1,failed
717497,1056,0,749,25,3,37,1,840,1,failed
817735,387,0,512,0,0,33,1,676,1,failed
845877,387,0,512,0,0,33,1,676,1,failed
910067,1320,0,1829,6,5,106,1,1143,1,failed
923226,164,0,190,0,0,22,1,765,1,failed
928863,25,0,2,0,0,6,1,249,1,failed
983181,145,0,99,3,0,26,1,673,1,failed
1028590,1091,0,1528,17,17,10,1,588,1,failed
1067312,614,0,22,1,0,20,1,676,1,failed
1527036,159,0,1,0,1,12,1,460,1,failed
2059025,1157,0,1763,13,0,48,1,932,1,passed
2343483,6,0,32,0,0,4,1,317,1,passed
2467885,52,0,0,0,0,6,1,467,1,passed
2747666,118,0,47,0,0,18,1,691,1,failed
3706588,878,0,702,6,0,54,1,1132,1,passed
3987084,137,0,53,1,0,31,1,934,1,passed
5790959,177,0,211,0,0,31,1,1075,1,failed
5881841,8,0,764,0,0,38,1,946,1,failed
6871373,75,0,107,0,1,17,1,748,1,passed
6998583,14,0,0,0,0,6,1,720,1,passed
7849846,17,0,31,0,0,6,1,435,1,passed
10751338,1306,0,2299,4,0,57,1,1527,1,failed
22463004,223,0,342,0,0,28,1,1373,1,passed
22801128,21,0,42,0,0,6,1,657,1,failed
23767417,76,0,123,1,0,9,1,834,1,failed
30279263,21,0,30,0,0,7,1,717,1,failed
49086213,448,0,3019,0,1,75,1,1697,1,passed
68196716,7279,0,8648,147,28,59,1,1888,1,passed
97700842,162,0,213,4,0,32,1,1489,1,failed
100818286,76,0,40,0,0,11,1,895,1,failed
101247315,76,0,40,0,0,11,1,895,1,passed
101394817,76,0,40,0,0,11,1,895,1,passed
101568322,76,0,40,0,0,11,1,895,1,passed
101818287,76,0,40,0,0,11,1,895,1,failed
102082884,76,0,40,0,0,11,1,895,1,passed
