tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
943692,44,0,15,3,0,2,4,5,4,passed
943700,3,0,0,0,0,1,1,9,1,passed
943792,53,0,0,0,1,0,1,15,1,passed
943879,8,0,5,0,0,2,3,7,3,passed
943945,2,0,0,0,0,1,1,7,1,failed
944999,2,0,0,0,0,1,1,8,1,passed
6086598,32,0,20,1,1,15,15,47,15,passed
6086677,0,0,0,0,0,1,1,1,1,passed
6086771,2,0,0,0,0,1,1,4,1,passed
6474111,7,0,46,0,0,4,1,23,1,passed
6475189,7,0,46,0,0,4,1,23,1,passed
6670830,27,0,0,0,0,3,1,18,1,passed
6671411,56,0,17,1,0,4,1,37,1,passed
7523812,187,0,0,3,0,2,1,14,1,failed
7524053,6,0,0,0,0,1,1,4,1,passed
8931316,26,0,0,0,0,3,3,33,3,passed
8957909,0,0,0,0,0,1,1,3,1,passed
10678232,17,0,14,0,0,3,3,33,3,passed
10957168,17,0,14,0,0,3,3,33,3,passed
10959997,0,0,0,0,0,1,2,4,2,passed
10960230,53,0,11,4,1,2,2,9,2,passed
10961504,8,0,59,0,0,2,1,17,1,passed
10961827,3,0,0,0,0,1,1,8,1,passed
11328255,16,0,0,0,0,1,2,21,2,passed
11620616,369,0,618,6,2,11,25,63,25,passed
11620978,0,0,0,0,0,1,1,6,1,passed
11983835,0,0,0,0,0,1,1,6,1,passed
13194849,4,0,0,0,0,1,1,14,1,passed
13194892,2,0,0,0,0,1,1,15,1,passed
13195376,2,0,0,0,0,1,1,5,1,passed
13606921,5,0,0,0,0,2,2,28,2,passed
13607552,2,0,0,0,0,1,1,6,1,passed
17573766,44,0,14,1,0,4,4,22,4,failed
19825785,0,0,0,0,0,1,1,9,1,passed
19826255,2,0,0,0,0,1,1,7,1,passed
21940148,48,0,165,0,0,3,1,20,1,passed
21964459,317,0,657,10,8,5,6,70,6,passed
22034193,0,0,112,0,0,3,2,13,2,passed
22047149,51,0,100,1,0,3,1,37,1,passed
22050185,0,0,30,0,0,4,1,16,1,passed
22052470,9,0,33,1,0,4,1,29,1,passed
22054404,71,0,0,1,0,4,1,18,1,passed
22062226,55,0,42,1,0,11,1,30,1,passed
22114107,17,0,0,0,0,2,1,5,1,passed
22115722,47,0,29,1,0,4,1,42,1,passed
22126121,2,1,0,0,0,1,1,8,1,passed
22128530,11,0,7,0,0,2,1,17,1,passed
24893038,5,0,0,0,0,1,1,17,1,passed
26952565,0,0,0,0,0,1,1,10,1,passed
26953263,0,0,0,0,0,1,1,11,1,passed
26975567,4,0,64,0,0,7,1,58,1,passed
28417513,5,0,28,1,0,1,1,18,1,passed
33186246,0,0,20,0,0,1,1,13,1,passed
33287073,13,0,63,1,0,3,1,13,1,passed
33287253,2,1,0,0,0,1,1,9,1,passed
37569780,2,0,0,0,0,1,1,10,1,passed
39563950,0,0,0,0,0,1,1,12,1,passed
45152867,0,0,0,0,0,1,1,13,1,failed
45303365,0,0,24,1,0,2,1,19,1,passed
45576230,7,0,0,0,0,1,2,16,2,passed
45618261,0,0,0,0,0,1,1,14,1,passed
45688094,6,0,27,1,0,1,1,19,1,passed
45716320,22,0,33,0,0,2,1,12,1,passed
45719953,12,0,36,0,0,3,1,24,1,passed
49796955,2,0,7,0,0,2,1,25,1,passed
53052535,193,0,237,0,1,13,1,39,1,passed
53056210,83,0,9,0,0,4,1,49,1,passed
53720844,2,0,0,0,0,1,1,11,1,passed
53755442,5,0,0,0,0,1,1,12,1,passed
55224193,0,0,40,0,0,3,1,23,1,passed
55224550,35,0,0,0,1,0,1,4,1,passed
55225314,10,0,18,0,0,2,1,28,1,passed
56131630,2,0,0,0,0,1,1,12,1,passed
56654670,33,0,68,0,0,19,2,136,2,passed
56659100,383,0,164,1,0,7,1,34,1,passed
57646247,8,0,0,0,0,1,1,1,1,passed
57966594,83,2,94,2,0,2,1,42,1,passed
57970527,2,0,0,0,0,1,1,13,1,passed
58377021,11,0,6,0,0,2,1,1,1,passed
58377396,2,0,0,0,0,1,1,14,1,passed
65581271,38,0,0,1,0,3,1,33,1,passed
68485325,7,0,48,0,0,2,1,28,1,passed
68487226,5,0,0,0,0,1,1,2,1,passed
68519740,4,0,1,0,0,2,1,33,1,passed
68520811,2,0,0,0,0,1,1,15,1,passed
75518949,2,0,0,0,0,1,1,16,1,passed
84574752,48,0,8,0,0,8,2,75,2,passed
102599102,2,0,0,0,0,1,1,18,1,passed
102599561,27,0,0,0,0,1,2,19,2,passed
104804188,0,0,0,0,0,1,1,16,1,passed
104805495,7,0,3,0,0,2,1,30,1,passed
116988426,1,0,2,0,0,3,1,27,1,passed
116992779,2,0,0,0,0,1,1,21,1,passed
128379155,0,0,2,0,0,3,2,36,2,passed
128379770,23,0,0,0,0,1,1,22,1,passed
130593277,6,0,0,0,0,1,1,23,1,passed
131018402,29,0,15,0,0,3,1,54,1,passed
133515004,19,0,135,0,0,7,2,43,2,passed
134739374,17,0,51,1,0,2,1,49,1,passed
134859163,51,0,23,0,0,6,2,67,2,passed
139678403,0,0,6,0,0,1,1,22,1,passed
141042000,2,0,2,0,0,2,1,37,1,passed
