tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
16756909,28,0,411,14,3,4,1,52,1,failed
17042082,283,0,243,2,0,9,1,108,1,passed
17159368,587,0,308,2,0,8,1,72,1,passed
17326450,116,0,121,0,0,7,1,137,1,passed
17360919,2989,0,4613,45,14,37,1,237,1,passed
17720415,7,0,0,0,0,1,1,9,1,passed
17788400,26,0,0,0,0,1,1,12,1,passed
17789429,2,0,0,0,0,1,1,15,1,passed
17790461,2,0,0,0,0,1,1,17,1,passed
18683581,2,0,0,0,0,1,1,19,1,passed
18695889,0,0,0,0,0,1,1,12,1,passed
20328081,2,0,0,0,0,1,1,22,1,failed
20857893,0,0,0,0,0,1,1,1,1,failed
29744743,4467,0,2689,21,2,92,1,312,1,passed
29863755,46,0,0,0,0,1,1,83,1,passed
29869023,8365,0,0,0,75,1,1,127,1,failed
29870801,4,0,0,0,0,1,1,85,1,failed
29908145,52,0,0,0,0,1,1,86,1,failed
29919763,52,0,0,0,0,1,1,87,1,failed
29923236,0,0,0,0,0,1,1,35,1,passed
33322333,6,0,0,0,0,1,1,90,1,failed
33330872,321,0,119,0,0,25,1,210,1,passed
34759703,46,0,49,0,0,10,1,222,1,passed
34870773,143,0,0,1,0,4,1,62,1,passed
36987861,121,0,8,1,4,10,1,183,1,passed
37546220,17,0,0,0,0,1,1,95,1,passed
38741569,88,0,38,0,0,11,1,154,1,passed
38742004,88,0,38,0,0,11,1,155,1,passed
38892269,5,0,0,0,0,2,1,13,1,passed
38893821,2,0,0,0,0,3,1,113,1,passed
39988073,127,0,0,1,0,0,1,0,1,passed
39988388,1,0,0,0,0,1,1,96,1,passed
40029701,4,0,0,0,0,1,1,97,1,passed
40722070,986,0,89,12,3,22,1,321,1,failed
40724799,0,0,0,0,0,1,1,3,1,failed
40725255,5,0,0,0,0,1,1,105,1,failed
42029007,86,0,21,0,0,10,1,222,1,passed
43896727,0,0,0,0,0,1,1,8,1,passed
43896985,703,0,163,3,0,25,1,343,1,passed
44984259,23,0,0,0,0,2,1,121,1,passed
45364418,96,0,101,0,0,10,1,282,1,passed
47844333,520,0,120,3,0,18,1,334,1,passed
47845359,6,0,0,0,0,1,1,122,1,passed
49548086,2,0,0,0,0,4,1,160,1,passed
49637223,699,0,0,0,0,12,1,251,1,failed
53966869,8,0,0,0,0,1,1,123,1,failed
59961223,53,0,0,0,1,8,1,211,1,passed
61679103,442,0,109,2,0,14,1,251,1,passed
62761318,11,0,0,0,0,6,1,289,1,passed
64325548,94,0,0,0,0,5,1,292,1,passed
67443444,45,0,0,0,0,6,1,219,1,failed
79762498,55,0,0,0,0,4,1,344,1,passed
82254212,2,0,0,0,0,3,1,194,1,passed
82620329,19,0,64,0,0,6,1,242,1,passed
92784271,57,0,130,0,0,13,1,349,1,failed
92785792,0,0,0,0,0,1,1,32,1,failed
95425487,55,0,0,1,0,8,1,199,1,failed
97743087,2,0,0,0,0,1,1,35,1,failed
102477928,133,0,0,0,0,12,1,317,1,failed
103716120,18,0,0,0,0,1,1,135,1,failed
104138246,46,0,0,0,0,3,1,188,1,passed
104999871,6,0,0,0,0,1,1,137,1,passed
105358861,44,0,0,0,0,1,1,169,1,passed
105582760,44,0,0,0,0,1,1,170,1,passed
108424612,4,0,0,0,0,5,1,329,1,passed
108914217,2,0,0,0,0,1,1,153,1,passed
108917277,17,0,0,0,0,1,1,155,1,passed
110086842,2,0,0,0,0,1,1,4,1,passed
113267239,4,0,0,0,0,5,1,358,1,passed
113837598,4,0,0,0,0,5,1,379,1,passed
113839238,4,0,0,0,0,1,1,145,1,passed
113839560,0,0,0,0,0,1,1,40,1,passed
114410371,10,0,0,0,0,1,1,221,1,passed
116243641,775,0,260,0,0,32,1,604,1,passed
116730685,21,0,4,0,0,8,1,445,1,passed
124278712,4,0,0,0,0,5,1,453,1,passed
124325355,8,0,0,0,0,1,1,26,1,passed
125461798,4,0,0,0,0,5,1,454,1,passed
128202021,56,0,0,0,0,6,2,485,2,passed
131585171,4,0,0,0,0,5,1,507,1,passed
132960686,7,0,0,0,0,1,1,175,1,passed
