tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
113137,0,0,0,0,0,1,1,28,1,failed
114359,12,0,0,0,0,3,1,215,1,failed
129836,177,0,0,0,0,4,3,218,3,failed
140664,10,0,0,0,0,4,6,78,6,failed
140747,0,0,0,0,0,1,1,4,1,failed
140751,19,0,0,0,0,1,1,15,1,failed
143176,5,0,0,2,0,3,2,127,2,failed
162590,0,0,0,0,0,1,1,40,1,failed
162646,37,0,0,1,0,6,8,178,8,failed
163766,55,0,0,7,0,8,1,267,1,failed
174638,0,0,0,0,0,1,1,1,1,failed
183794,92,0,0,0,0,3,5,153,5,failed
201415,77,0,0,0,0,3,1,160,1,failed
201555,118,0,0,6,0,8,6,171,6,failed
201578,0,0,0,2,0,1,1,107,1,failed
201591,0,0,0,1,0,1,1,1,1,failed
201598,23,0,0,0,0,1,1,117,1,failed
201772,0,0,0,0,0,1,1,12,1,failed
203526,14,0,0,0,0,4,3,146,3,failed
204504,22,0,0,2,0,6,2,126,2,failed
204525,0,0,0,0,0,3,1,120,1,failed
204561,9,0,0,0,0,2,1,40,1,failed
209540,48,0,0,0,0,4,5,82,5,failed
209614,0,0,0,0,0,1,1,16,1,failed
209623,0,0,0,1,0,0,1,0,1,failed
209693,8,0,0,1,0,2,1,34,1,failed
209697,88,0,0,0,0,2,1,52,1,failed
211256,113,0,0,0,0,4,4,139,4,failed
211284,8,0,0,1,0,3,1,82,1,failed
211302,2,0,0,0,0,2,2,114,2,failed
211316,14,0,0,1,0,1,1,79,1,failed
211320,18,0,0,0,0,2,2,57,2,failed
211586,177,0,0,0,1,3,1,163,1,failed
211827,18,0,0,1,0,6,1,179,1,failed
211882,0,0,0,2,0,1,3,3,3,failed
218442,5,0,0,2,0,3,3,121,3,failed
218544,0,0,0,0,0,1,1,7,1,failed
218554,0,0,0,0,0,2,1,13,1,failed
218568,0,0,0,0,0,1,1,9,1,failed
218581,5,0,0,2,0,5,1,139,1,failed
218590,0,0,0,0,0,1,1,20,1,failed
220469,12,0,26,0,1,4,4,12,4,failed
220473,56,0,0,0,0,1,1,81,1,failed
220545,0,0,0,0,0,1,1,12,1,failed
220559,0,0,0,0,0,1,1,13,1,passed
220802,0,0,0,0,0,1,1,14,1,passed
221048,119,0,0,2,0,2,1,86,1,failed
221085,10,0,0,0,0,2,1,135,1,failed
221141,1,0,0,0,1,0,1,1,1,passed
221149,65,0,0,0,0,1,1,121,1,passed
221237,6,0,0,0,0,2,1,137,1,passed
221425,42,0,0,0,0,4,2,285,2,passed
227086,9,0,0,5,10,11,7,170,7,passed
238115,149,0,0,0,1,5,3,180,3,passed
238237,32,0,0,0,0,3,2,156,2,passed
238320,53,0,0,0,0,2,1,10,1,passed
238371,2,0,0,0,0,1,1,40,1,passed
238386,2,0,0,0,0,1,1,41,1,passed
241741,0,0,0,1,0,1,1,2,1,passed
244270,0,0,0,1,0,1,1,3,1,passed
244880,4,0,0,0,0,1,1,129,1,passed
249896,31,0,0,1,0,5,6,302,6,passed
250954,22,0,0,1,0,2,2,88,2,passed
260855,4,0,0,0,0,1,1,139,1,passed
260911,0,0,0,0,0,6,1,54,1,passed
263288,22,0,0,2,0,0,2,0,2,passed
263872,0,0,0,0,0,2,1,10,1,passed
263878,3,0,0,1,0,8,1,65,1,passed
264496,22,0,0,2,0,2,1,15,1,passed
271560,3,0,0,0,0,2,1,48,1,passed
272411,3,0,0,0,0,2,1,49,1,passed
274929,6,0,0,1,0,6,1,179,1,passed
274933,15,0,0,0,0,1,1,33,1,passed
276051,2,0,0,0,0,2,2,151,2,passed
276102,12,0,0,0,0,3,2,157,2,passed
276119,199,0,0,8,1,15,1,320,1,passed
276127,2,0,0,0,0,1,1,37,1,passed
276151,2,0,0,0,0,1,1,144,1,passed
276343,0,0,0,0,0,1,1,17,1,passed
276736,9,0,0,3,0,3,4,304,4,passed
277022,8,0,0,0,0,2,2,26,2,passed
277025,0,0,0,0,0,1,1,132,1,passed
277060,19,0,0,1,1,3,1,118,1,passed
277063,9,0,0,0,1,1,1,75,1,passed
277079,0,0,0,0,0,1,2,133,2,passed
277085,6,0,0,0,0,1,1,23,1,passed
277088,4,0,0,0,0,1,1,24,1,passed
284163,49,0,61,5,2,16,2,383,2,failed
284290,0,0,0,0,0,1,1,17,1,failed
284348,0,0,11,0,0,2,1,6,1,passed
284351,0,0,0,0,0,1,1,18,1,failed
