tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7912316,942,0,485,35,0,13,15,0,15,passed
8211400,69,0,185,7,0,6,2,3,2,passed
8274826,85,0,209,4,0,8,1,7,1,passed
8292335,27,0,0,0,0,3,1,3,1,passed
8294170,112,0,0,0,0,2,2,5,2,passed
8334441,20,0,0,0,0,3,2,8,2,failed
8334477,0,0,0,0,0,1,1,6,1,failed
8334600,0,0,0,0,0,1,1,2,1,failed
8334686,0,0,0,0,0,1,1,3,1,passed
8334777,0,0,0,0,0,1,1,4,1,passed
8342858,0,0,0,0,0,2,1,8,1,passed
8343948,0,0,0,0,0,1,1,8,1,passed
8344963,24,0,0,0,0,2,1,8,1,passed
8345366,18,0,10,0,0,4,1,13,1,passed
8345638,0,0,0,0,0,1,1,6,1,passed
8346445,0,0,0,0,0,1,1,7,1,passed
8346688,4,0,0,0,0,2,1,12,1,passed
8346921,0,0,19,0,0,1,1,1,1,passed
8369657,136,0,0,3,0,1,2,5,2,passed
8369742,2,0,0,0,0,1,1,1,1,passed
8370540,0,0,0,0,0,1,1,9,1,passed
8370738,470,0,338,1,0,33,3,29,3,passed
8519311,113,0,131,5,0,4,1,27,1,passed
8519549,7,0,0,0,0,1,1,7,1,passed
8520211,80,0,52,0,0,7,3,19,3,passed
8579819,212,0,149,6,0,3,1,11,1,passed
8581445,99,0,25,0,0,7,2,22,2,passed
8634659,28,0,0,0,0,2,1,19,1,passed
8635822,353,0,188,6,0,8,1,33,1,passed
8636011,14,0,0,0,0,1,1,10,1,passed
8636411,14,0,0,0,0,1,1,12,1,passed
8667808,52,0,50,2,0,2,1,12,1,passed
8668891,14,0,30,0,0,3,1,14,1,passed
8670527,132,0,78,0,0,10,3,28,3,passed
8672809,0,0,0,0,0,1,1,10,1,passed
9246931,133,0,0,0,0,1,1,14,1,passed
9247309,0,0,0,0,0,1,1,25,1,passed
9247659,236,0,260,0,0,21,3,39,3,passed
9618793,0,0,0,0,0,1,1,28,1,passed
9623531,30,0,0,1,0,6,1,48,1,passed
9624021,0,0,0,0,0,1,1,1,1,passed
11133049,0,0,0,0,0,2,1,41,1,passed
11133455,83,0,0,0,0,1,2,16,2,passed
11792253,10,0,0,0,0,2,1,18,1,passed
11794016,4,0,0,0,0,1,1,6,1,passed
11796839,5,0,0,0,0,1,1,8,1,passed
11797635,0,0,0,0,0,1,1,14,1,passed
11798841,8,0,0,0,0,2,3,44,3,passed
11907735,41,0,10,0,0,3,2,26,2,passed
11908128,2,0,0,0,0,1,1,25,1,passed
13982039,11,0,0,0,0,1,1,20,1,passed
13988249,11,0,0,0,0,1,1,21,1,passed
13991926,8,0,28,1,0,2,1,40,1,passed
15743672,0,0,0,0,0,1,2,1,2,passed
15787955,9,0,0,0,0,1,1,22,1,passed
15788895,12,0,0,0,0,3,2,52,2,passed
15790292,0,0,0,0,0,1,1,37,1,passed
15790826,6,0,0,0,0,1,1,25,1,passed
16034167,48,0,26,1,0,7,4,67,4,passed
16064782,104,0,78,3,0,8,2,14,2,passed
16165034,0,0,0,0,0,2,1,16,1,passed
17624571,378,0,516,13,0,25,2,93,2,passed
17625301,47,0,0,0,0,1,1,32,1,passed
17625622,0,0,10,0,0,2,1,13,1,passed
18101689,7,0,0,0,0,1,1,6,1,passed
18222263,3,0,5,0,0,2,1,7,1,passed
18434406,0,0,0,0,1,1,1,43,1,passed
18450714,179,0,172,0,0,15,3,80,3,passed
18493465,3,0,7,0,0,2,1,10,1,passed
18678715,55,0,51,0,0,4,1,41,1,passed
18679264,0,0,0,0,0,1,1,43,1,passed
18681305,5,0,0,0,0,1,1,2,1,passed
19931455,0,0,0,0,0,1,2,44,2,passed
19933419,0,0,0,0,0,1,1,47,1,passed
31936358,16,0,0,0,0,1,1,37,1,passed
33018681,0,0,0,0,0,1,2,48,2,passed
33233464,4,0,0,0,0,1,1,37,1,passed
33637044,4,0,0,0,0,1,1,38,1,passed
33637177,4,0,0,0,0,1,1,40,1,passed
33637276,16,0,0,0,0,1,1,42,1,passed
36067051,2,0,0,0,0,1,1,43,1,passed
36079068,2,0,0,0,0,1,1,44,1,passed
36404587,949,0,816,19,11,39,11,101,11,passed
36405247,528,0,0,3,0,1,2,45,2,passed
36462097,14,0,338,5,0,2,5,5,5,passed
36995932,81,0,0,0,0,2,2,54,2,passed
37000217,2,0,0,0,0,1,1,47,1,passed
37700267,0,0,0,0,0,1,1,53,1,passed
37703019,2,0,0,0,0,1,1,7,1,passed
37703309,0,0,0,0,0,1,1,56,1,passed
37764720,51,0,62,2,0,1,1,8,1,passed
37768481,0,0,0,0,0,1,1,11,1,passed
38193580,8,0,0,0,0,1,1,1,1,passed
38200029,39,0,68,0,0,3,1,12,1,passed
38201673,0,0,0,0,0,1,1,58,1,passed
38202580,6,0,0,0,0,1,1,2,1,passed
39066857,1,0,0,0,0,1,1,50,1,passed
39125829,1,0,0,0,0,1,1,51,1,passed
49774895,133,0,105,2,0,4,1,70,1,passed
49941101,78,0,0,0,0,2,1,10,1,passed
50478580,27,0,4,0,0,2,1,1,1,passed
50676334,94,0,91,2,0,1,1,9,1,passed
52335031,6,0,14,0,0,2,1,1,1,passed
54773531,8,0,1,0,0,2,1,12,1,passed
54787351,10,0,1,0,0,2,1,17,1,passed
54788433,98,0,148,2,0,2,2,19,2,passed
54922182,0,0,0,0,0,1,1,63,1,passed
54922314,4,0,0,0,0,1,1,53,1,passed
54925010,4,0,0,0,0,1,1,55,1,passed
54936430,0,0,0,0,0,1,1,65,1,passed
54942270,14,0,0,0,0,2,4,59,4,passed
54942626,0,0,0,0,0,1,1,12,1,passed
67092542,10,0,11,0,0,2,1,12,1,passed
70468408,0,0,0,0,0,1,2,66,2,passed
76176682,37,0,56,0,0,4,1,35,1,passed
76177941,1,0,0,0,0,1,1,60,1,passed
76178016,0,0,0,0,0,1,1,68,1,passed
76178291,0,0,0,0,0,1,1,17,1,passed
76234609,0,0,0,0,0,1,1,18,1,passed
76356865,0,0,0,0,0,1,1,70,1,passed
76358828,11,0,0,0,0,1,2,4,2,passed
76538981,2,0,0,0,0,1,1,1,1,passed
76702604,166,0,20,0,0,9,1,40,1,passed
76703647,78,0,0,0,0,11,1,23,1,passed
76887233,2,0,138,2,0,9,2,26,2,passed
76896097,62,0,48,2,0,2,1,95,1,passed
77045122,9,0,20,0,0,3,1,22,1,passed
77057450,2,0,0,0,0,1,1,8,1,passed
77393978,0,0,0,0,0,1,1,75,1,passed
77562188,25,0,0,0,0,2,5,68,5,passed
93698223,91,0,86,2,0,2,1,94,1,passed
93701804,15,0,0,0,0,4,4,102,4,failed
93702889,0,0,0,0,0,1,1,21,1,passed
93704598,0,0,5,0,0,1,1,2,1,passed
93707381,0,0,0,0,0,1,1,77,1,passed
93709387,5,0,0,0,0,2,2,23,2,passed
93712226,5,0,0,0,0,1,1,8,1,passed
100709732,0,0,2,0,0,1,1,5,1,passed
110232444,5,0,24,0,0,2,1,13,1,passed
111338249,6,0,0,0,0,2,2,2,2,passed
111340621,5,0,24,0,0,2,1,15,1,passed
112995072,0,0,0,0,0,1,1,22,1,passed
113007487,43,0,9,0,0,2,1,3,1,passed
133787531,4,0,0,0,0,5,8,150,8,passed
133789039,0,0,0,0,0,1,1,84,1,passed
133790791,7,0,0,0,0,1,1,9,1,passed
