tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
13548885,1442,0,815,43,4,8,10,3,10,failed
13549320,1442,0,815,43,4,8,10,3,10,failed
13549373,1442,0,815,43,4,8,10,3,10,failed
13549651,2,0,0,0,0,2,1,5,1,passed
13594881,44,0,0,0,0,4,1,2,1,passed
13594956,2,0,0,0,0,1,1,1,1,passed
13600903,4,0,0,0,0,2,1,5,1,passed
13640354,63,0,0,0,0,4,2,5,2,passed
13642189,63,0,0,0,0,4,1,7,1,passed
13689198,13,0,7,0,0,3,1,2,1,passed
13700989,15,0,0,0,0,1,1,3,1,passed
13705608,33,0,11,0,0,4,1,7,1,passed
13705680,44,0,0,0,0,1,1,7,1,passed
13705716,2,0,0,0,0,1,1,6,1,passed
13811596,5,0,0,0,0,1,1,1,1,passed
13812784,4,0,0,0,0,2,1,9,1,passed
13824624,11,0,0,0,0,3,1,10,1,passed
13825553,17,0,0,0,0,2,1,19,1,passed
13835114,5,0,0,0,0,1,1,10,1,passed
13835367,5,0,0,0,0,1,1,11,1,passed
13922592,2,0,0,0,0,1,1,5,1,passed
13935936,2,0,0,0,0,1,1,11,1,passed
13972152,5,0,0,0,0,1,1,13,1,passed
13983253,4,0,5,0,0,4,1,18,1,passed
13994932,2,0,36,0,0,3,4,7,4,passed
14030061,0,0,28,0,0,1,1,4,1,passed
14034155,11,0,62,0,0,3,1,13,1,passed
14034189,2,0,0,0,0,1,1,13,1,passed
14034576,4,0,10,0,0,4,2,20,2,passed
14035201,4,0,10,0,0,4,1,22,1,passed
14035233,2,0,0,0,0,1,1,14,1,passed
14041142,2,0,0,0,0,1,1,10,1,passed
14041191,2,0,0,0,0,1,1,15,1,passed
14267620,400,0,387,5,1,4,4,26,4,passed
14272922,30,0,107,1,0,7,3,16,3,passed
14273873,0,0,2,0,0,1,1,2,1,passed
14326242,105,0,0,0,0,3,1,7,1,passed
14505407,0,0,16,0,0,2,1,3,1,passed
14507354,4,0,0,1,0,1,1,14,1,passed
14550994,7,0,0,0,0,1,1,15,1,passed
14559096,33,0,89,0,0,6,1,8,1,passed
14565178,8,0,0,0,0,1,1,16,1,passed
14565765,487,0,571,7,1,7,1,57,1,passed
14612450,2,0,0,0,0,1,1,16,1,passed
14637473,2,0,0,0,0,1,1,6,1,passed
