tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
207069,139,0,2,0,0,7,14,231,14,failed
207072,2,0,54,1,0,5,1,44,1,passed
207117,2,0,0,0,0,3,2,13,2,failed
207287,0,0,5,0,0,2,2,17,2,passed
209336,0,0,0,0,0,1,1,22,1,passed
269985,4,0,67,2,0,2,1,37,1,failed
270999,0,0,2,0,0,1,1,16,1,passed
309230,16,0,0,0,0,1,1,25,1,passed
338616,8,0,0,0,0,2,1,84,1,failed
339246,4,0,0,0,0,2,1,85,1,passed
355927,16,0,90,0,0,3,1,154,1,failed
356774,0,0,6,0,0,1,1,4,1,failed
359935,56,0,2,0,0,3,1,42,1,passed
359943,2,0,0,0,0,1,1,83,1,passed
360076,6,0,0,0,0,2,1,89,1,passed
372808,4,0,0,0,0,1,1,141,1,passed
372814,6,0,0,0,0,2,1,90,1,passed
374287,4,0,0,0,0,2,1,91,1,passed
374497,8,0,0,0,0,3,2,231,2,passed
377619,55,0,0,0,0,1,1,144,1,passed
380673,0,0,0,0,0,1,1,23,1,passed
395716,13,0,0,0,0,1,1,29,1,passed
399820,21,0,0,0,0,1,1,32,1,passed
400533,0,0,0,0,0,1,1,14,1,passed
400637,6,0,0,0,0,3,1,96,1,passed
405668,108,0,192,1,0,3,1,247,1,passed
405674,3,0,0,0,0,1,1,152,1,passed
405713,48,0,0,0,0,1,2,153,2,passed
405762,21,0,15,0,0,2,2,157,2,passed
405771,18,0,0,0,0,1,1,157,1,passed
405793,7,0,0,0,0,1,1,158,1,passed
405834,5,0,0,0,0,1,1,159,1,passed
405855,25,0,0,0,0,2,1,177,1,passed
405898,7,0,0,0,0,3,1,100,1,passed
406872,0,0,0,0,0,1,1,24,1,passed
408285,7,0,90,0,0,6,2,244,2,passed
408291,11,0,0,0,0,3,1,101,1,passed
411205,20,0,28,0,0,2,1,165,1,passed
411412,0,0,4,0,0,1,1,17,1,passed
411428,5,0,0,0,0,2,1,60,1,passed
411467,126,0,13,0,0,2,1,167,1,passed
414261,14,0,0,0,0,1,1,34,1,passed
415061,6,0,0,0,0,3,1,103,1,passed
433421,4,0,0,0,0,1,1,5,1,passed
433445,2,0,0,0,0,1,1,6,1,passed
