tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4824734,18,0,19,1,0,8,11,73,11,passed
4824737,18,0,19,1,0,8,11,73,11,passed
4952184,17,0,0,0,0,1,1,21,1,passed
4973999,17,0,0,0,0,1,1,22,1,passed
4974002,8,0,10,0,0,3,1,55,1,passed
5288217,18,0,14,0,0,2,1,55,1,passed
5288434,4,0,0,0,0,1,1,23,1,passed
5288645,4,0,0,0,0,2,1,28,1,passed
5288685,0,0,0,0,0,1,1,18,1,passed
5288688,0,0,0,0,0,1,1,19,1,passed
5307877,3,0,12,0,0,2,1,47,1,passed
5316084,3,0,12,0,0,2,1,48,1,passed
5447529,2,0,0,0,0,1,1,25,1,passed
5627335,8,0,19,0,0,2,1,5,1,passed
5627942,8,0,19,0,0,2,1,6,1,passed
5688150,11,0,0,0,0,1,1,48,1,passed
5781696,26,0,20,0,0,2,1,8,1,passed
5783424,53,0,0,0,0,1,1,9,1,passed
5783771,5,0,0,0,0,3,2,48,2,passed
5783774,0,0,0,0,0,1,1,21,1,passed
5785348,2,0,0,0,0,1,1,27,1,passed
6054395,4,0,14,0,0,2,1,49,1,passed
6220351,24,0,24,0,0,4,1,70,1,passed
6225947,0,0,0,0,0,2,2,30,2,passed
6225963,0,0,0,0,0,1,1,23,1,passed
6416297,0,0,0,0,0,1,1,24,1,passed
6416300,0,0,0,0,0,1,1,25,1,passed
6431056,2,0,0,0,0,1,1,28,1,passed
6438927,7,0,31,0,0,2,1,57,1,passed
6741207,7,0,31,0,0,2,1,58,1,passed
6770303,0,0,16,1,0,0,1,0,1,passed
7400166,0,0,19,0,0,1,1,52,1,passed
7467471,0,0,112,1,0,1,1,28,1,passed
7472277,17,0,100,0,0,3,1,14,1,passed
7472563,2,0,0,0,0,1,1,14,1,passed
7474537,2,0,0,0,0,3,2,63,2,passed
7474543,0,0,0,0,0,1,1,30,1,passed
7838732,2,0,0,0,0,1,1,53,1,passed
7841187,21,0,34,0,0,3,1,69,1,passed
7841548,17,0,0,0,0,1,1,31,1,passed
7841577,2,0,0,0,0,1,1,32,1,passed
7899846,35,0,0,0,0,3,1,88,1,passed
7899941,2,0,0,0,0,1,1,24,1,passed
7905064,35,0,0,0,0,3,1,90,1,passed
7960818,16,0,8,0,0,3,1,60,1,passed
7961105,6,0,0,0,0,3,3,70,3,passed
8003364,14,0,17,0,0,2,1,15,1,passed
8099511,22,0,8,1,0,3,1,100,1,passed
8788774,56,0,49,0,0,2,1,74,1,passed
8800933,56,0,49,0,0,2,1,75,1,passed
9019458,90,0,78,1,0,2,1,76,1,passed
9020135,128,0,9,0,0,2,2,77,2,passed
9020792,2,0,0,0,0,3,2,74,2,passed
9020799,0,0,0,0,0,1,1,38,1,passed
9191749,8,0,30,0,0,2,1,1,1,passed
9192389,8,0,30,0,0,2,1,2,1,passed
9258982,6,0,37,0,0,2,1,79,1,passed
9262499,2,0,47,0,0,2,1,79,1,passed
9266610,25,0,0,0,0,2,1,39,1,passed
9268807,6,0,37,0,0,2,1,80,1,passed
9268813,2,0,47,0,0,2,1,82,1,passed
9268829,25,0,0,0,0,2,1,40,1,passed
9270158,2,0,1,0,0,2,1,66,1,passed
9342847,80,0,7,0,0,3,1,69,1,passed
9368263,549,0,0,2,0,4,1,110,1,passed
9388716,131,0,0,1,0,2,2,3,2,passed
9436453,0,0,0,0,0,1,1,41,1,passed
9494850,80,0,24,0,0,2,1,84,1,passed
9500645,80,0,24,0,0,2,1,85,1,passed
9501086,0,0,0,0,0,1,1,42,1,passed
9504478,73,0,85,1,0,3,1,88,1,passed
9529975,130,0,3,1,0,4,1,108,1,passed
9530380,6,0,0,0,0,3,2,82,2,passed
9530383,0,0,0,0,0,1,1,45,1,passed
9563115,6,0,30,0,0,2,1,70,1,passed
9601566,255,0,239,0,0,6,6,101,6,passed
9606158,21,0,9,0,0,2,1,2,1,passed
9606251,79,0,115,1,0,3,1,91,1,passed
9606445,132,0,22,0,0,2,1,90,1,passed
9656904,23,0,25,0,0,4,1,93,1,passed
9657584,1,0,12,0,0,2,1,3,1,passed
9661278,4,0,12,0,0,3,2,101,2,passed
9699744,299,0,152,1,0,6,2,110,2,passed
9717884,1876,0,0,15,0,5,1,147,1,passed
9720298,0,0,0,0,0,1,1,50,1,passed
9733407,2048,0,85,15,0,8,5,187,5,passed
9777387,4,0,6,0,0,2,1,83,1,passed
9777619,1000,0,944,1,0,10,1,163,1,passed
9778976,8,0,0,0,0,1,1,41,1,passed
9779163,8,0,0,0,0,1,1,42,1,passed
9806294,1044,0,488,0,0,4,7,141,7,passed
9806329,645,0,0,0,0,1,1,22,1,passed
9812812,204,0,136,1,0,5,2,131,2,passed
9816456,204,0,136,1,0,5,1,137,1,passed
9861676,84,0,23,0,0,4,2,118,2,passed
9918735,55,0,44,0,0,5,1,140,1,passed
9919171,55,0,44,0,0,5,1,141,1,passed
9942521,19,0,54,0,0,2,2,26,2,passed
9950680,24,0,0,0,0,2,1,113,1,passed
9950859,42,0,46,0,0,5,1,144,1,passed
9950862,55,0,44,0,0,5,1,148,1,passed
9964097,5,0,20,0,0,2,1,22,1,passed
9964569,81,0,87,1,0,7,4,135,4,passed
9974839,1547,0,747,2,2,12,5,175,5,passed
9978680,8,0,34,0,0,3,2,25,2,passed
10025454,6,0,0,0,0,2,2,30,2,passed
10122169,148,0,146,0,0,5,7,157,7,passed
10158762,30,0,15,0,0,4,2,135,2,passed
10171327,31,0,30,0,0,5,4,161,4,passed
10174412,12,0,76,0,0,3,1,146,1,passed
10259634,88,0,73,0,0,2,2,109,2,passed
10260203,17,0,83,0,0,3,1,109,1,passed
10279757,63,0,59,0,0,3,1,111,1,passed
10320252,81,0,147,0,0,3,1,113,1,passed
10332141,1182,0,1754,6,2,6,1,170,1,passed
10332880,208,0,156,2,0,4,2,66,2,passed
10332929,73,0,23,0,0,4,1,134,1,passed
10333056,0,0,3,0,0,1,1,31,1,passed
10333104,5,0,38,0,0,3,1,30,1,passed
10333181,0,0,10,0,0,1,1,8,1,passed
10333964,12,0,76,0,0,3,1,164,1,passed
10348068,1441,0,1808,6,2,12,1,234,1,passed
10348342,1524,0,2074,8,2,12,2,230,2,passed
10348812,1522,0,2053,8,2,12,1,229,1,passed
10348944,1535,0,2432,8,2,12,3,233,3,passed
10363727,4,0,8,0,0,5,1,99,1,passed
10364207,0,0,19,0,0,1,1,105,1,passed
10425975,29,0,121,0,0,3,2,130,2,passed
10606008,40,0,0,0,0,2,1,7,1,passed
10641081,5,0,27,0,0,2,1,133,1,passed
10642412,14,0,21,0,0,2,1,133,1,passed
10735099,809,0,441,6,0,9,1,242,1,passed
10735213,14,0,21,0,0,2,1,142,1,passed
10735266,3,0,8,0,0,4,1,72,1,passed
10735343,7,0,27,0,0,2,1,144,1,passed
10744928,2281,0,2514,14,2,13,1,299,1,passed
10750446,836,0,666,7,1,13,3,258,3,passed
10771345,829,0,497,6,0,13,1,260,1,passed
10771346,830,0,497,6,0,13,1,269,1,passed
10806070,164,0,8,0,0,5,2,89,2,passed
10818780,10,0,15,0,0,2,1,134,1,passed
10864827,149,0,100,0,0,6,1,218,1,passed
10864903,109,0,84,0,0,3,1,142,1,passed
10865299,7,0,133,1,0,4,1,226,1,passed
10869683,265,0,317,1,0,9,1,271,1,passed
10869751,248,0,315,1,0,8,1,273,1,passed
10870015,184,0,270,1,0,9,2,280,2,passed
11099995,5,0,15,0,0,2,1,183,1,passed
11100304,0,0,0,0,0,1,1,2,1,passed
11107531,75,0,15,0,0,4,2,197,2,passed
11754748,190,0,701,0,0,3,1,162,1,passed
11755963,13,0,20,0,0,2,1,146,1,passed
11756533,81,0,29,0,0,3,1,69,1,passed
11756654,57,0,28,0,0,3,1,74,1,passed
11879697,63,0,14,0,0,3,1,201,1,passed
11924810,3166,0,58,0,0,3,2,204,2,passed
13414301,0,0,99,0,0,1,1,131,1,passed
13414659,65,0,112,0,0,3,1,231,1,passed
13415384,8,0,0,0,0,3,2,112,2,passed
13415392,0,0,0,0,0,1,1,74,1,passed
