tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
24448257,19609,0,6742,160,323,437,72,74,72,passed
24448633,0,0,0,0,0,1,1,3,1,passed
24448690,0,0,0,0,0,0,1,0,1,passed
24799265,163,0,31,0,0,2,1,22,1,passed
24801523,0,0,314,0,0,1,1,12,1,passed
24815786,2586,0,2,1,0,14,3,48,3,failed
24817251,2,0,0,0,0,1,1,6,1,passed
24877696,437,0,0,0,0,7,1,41,1,passed
24919389,335,0,0,1,0,11,1,33,1,passed
24921013,399,0,78,0,1,16,1,42,1,passed
24922701,80,0,0,0,0,1,1,1,1,passed
24922800,1,0,0,0,0,1,1,2,1,passed
24924408,2,0,0,0,0,4,1,58,1,passed
24925087,0,0,0,0,0,2,1,6,1,passed
24927227,1,0,0,0,1,3,1,18,1,passed
25337496,2,0,99,0,0,16,1,42,1,passed
25854602,55,0,0,0,0,2,1,24,1,passed
26002411,520,0,0,5,0,4,2,87,2,passed
26005208,109,0,0,2,0,3,1,1,1,passed
26010066,56,0,0,1,0,4,1,2,1,passed
26308878,216,0,20,0,0,6,3,22,3,passed
26403127,68,0,37,1,1,7,2,30,2,passed
26836470,1195,0,67,9,0,20,3,109,3,passed
26951251,216,0,14,2,1,10,1,27,1,passed
27622968,23392,0,6975,2,0,119,4,138,4,passed
27804453,62,0,0,0,0,8,1,11,1,passed
27815076,0,0,0,0,0,1,1,2,1,passed
28076210,100,0,22,0,0,8,2,43,2,passed
28115673,513,0,0,6,2,5,1,72,1,failed
28116947,0,0,0,0,0,2,1,1,1,failed
28117918,0,0,0,0,0,1,1,2,1,passed
28126385,177,0,0,1,0,3,2,8,2,passed
28126529,2,0,0,0,0,1,1,6,1,passed
28126582,2,0,0,0,0,1,1,7,1,passed
28130820,198,0,0,0,0,5,1,9,1,passed
28131089,117,0,0,0,0,1,1,6,1,passed
28162351,294,0,83,6,0,7,1,11,1,passed
28506105,94,0,41,5,3,11,1,19,1,passed
28507605,50,0,0,0,0,2,1,8,1,passed
28509008,13,0,0,0,0,3,1,11,1,passed
28512210,0,0,0,0,0,1,1,59,1,passed
28512304,0,0,0,0,0,3,1,64,1,passed
28512314,0,0,0,0,0,3,1,65,1,passed
28513594,0,0,0,0,0,1,1,62,1,passed
28515678,0,0,0,0,0,2,1,66,1,passed
28516171,0,0,0,0,0,3,1,68,1,passed
28516236,0,0,0,0,0,3,1,69,1,passed
28579535,32,0,0,0,0,6,1,23,1,passed
28579778,0,1,0,0,0,3,1,70,1,passed
28579808,0,0,0,0,0,3,1,71,1,passed
29326122,24,0,0,0,0,2,1,1,1,passed
29828311,90,0,133,0,0,10,4,74,4,passed
29828319,0,0,0,0,0,3,1,73,1,passed
29835609,126,0,7,2,0,3,1,14,1,passed
29915561,7,0,0,0,0,3,1,12,1,passed
30656834,10,0,0,0,0,1,1,1,1,passed
30658079,75,0,0,0,0,5,1,14,1,passed
30658225,0,0,0,0,0,3,1,76,1,passed
30658229,0,0,0,0,0,3,1,77,1,passed
35881750,51,0,59,0,0,8,2,18,2,failed
35883033,2,0,0,0,0,1,1,3,1,passed
35884041,94,0,27,0,0,7,1,5,1,passed
35938889,23,0,2,0,0,3,1,2,1,passed
35941895,46,0,8,0,0,3,1,4,1,passed
35947341,97,0,0,0,0,7,1,22,1,passed
35947825,19,0,0,0,0,1,1,4,1,passed
35947999,0,0,0,0,0,3,1,79,1,passed
35948005,0,0,0,0,0,3,1,80,1,passed
40101703,39,0,44,2,0,4,1,33,1,passed
40705126,258,0,0,1,0,6,2,11,2,passed
40714482,0,0,0,0,0,3,1,82,1,passed
40714486,0,0,0,0,0,3,1,83,1,passed
41097174,88,0,115,0,0,7,1,13,1,passed
41097898,22,0,0,0,0,1,1,7,1,passed
41756238,20,0,35,0,0,5,2,25,2,passed
42977377,6,0,3,0,0,3,1,29,1,passed
42987023,2,0,0,0,0,4,3,18,3,passed
45170591,2,0,68,0,0,2,1,2,1,passed
45177294,83,0,32,0,0,5,1,10,1,passed
45178153,15,0,0,0,0,1,1,5,1,passed
45179268,15,0,0,0,0,1,1,5,1,passed
45179369,15,0,0,0,0,1,1,5,1,passed
45179663,0,0,0,0,0,3,1,86,1,passed
45179678,0,0,0,0,0,3,1,87,1,passed
45713050,0,0,0,0,0,1,1,8,1,passed
45727899,0,0,0,0,0,1,1,9,1,passed
46465697,0,0,0,0,0,1,1,11,1,passed
46534480,0,0,0,0,0,1,1,12,1,passed
46854661,9,0,0,0,0,1,1,3,1,passed
48073056,189,0,55,2,0,5,3,9,3,passed
48074384,6,0,0,0,0,1,1,3,1,passed
48170447,25,0,0,0,0,3,1,15,1,passed
48373543,8,0,10,0,0,2,1,5,1,passed
48644669,139,0,15,0,0,4,1,6,1,passed
49220591,391,0,42,2,1,11,2,23,2,passed
53890789,26,0,25,0,0,4,1,8,1,passed
54016010,23,0,11,0,0,2,1,4,1,passed
