tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
8108269,1,0,0,0,0,1,1,61,1,failed
8108348,2,0,2,0,0,2,1,97,1,failed
8217448,0,0,36,0,0,3,1,45,1,failed
8266482,13,0,60,0,0,3,1,242,1,failed
8752017,8,0,44,0,0,5,1,157,1,passed
10277163,73,0,22,2,0,4,6,264,6,failed
19666825,12,0,0,0,0,1,2,62,2,failed
20107578,176,0,33,2,0,6,6,277,6,passed
20185397,3,0,0,0,0,1,1,3,1,passed
20185629,132,0,23,2,0,4,1,283,1,passed
20186083,6,0,0,0,0,3,1,347,1,passed
20217242,0,0,3,0,0,1,1,38,1,passed
23028176,1,0,0,0,0,1,1,7,1,passed
23051563,1,0,0,0,0,1,1,8,1,passed
23482998,167,0,30,2,0,10,1,422,1,passed
23516466,85,0,56,2,0,2,1,237,1,failed
23609569,85,0,56,2,0,2,1,238,1,failed
23642158,49,0,22,2,0,3,1,277,1,failed
23642296,2,0,0,0,0,1,1,2,1,failed
23642523,85,0,56,0,2,2,1,242,1,passed
24064665,1,0,0,0,0,1,1,67,1,passed
24936692,12,0,3,0,0,2,1,83,1,passed
24937101,13,0,0,0,0,1,2,6,2,passed
25826794,0,0,0,0,0,1,1,28,1,passed
26530064,19,0,2,0,0,2,3,8,3,passed
36590949,15,0,2,0,0,2,1,11,1,passed
36590956,0,0,0,0,0,1,1,29,1,passed
42206374,8,0,0,0,0,1,1,2,1,passed
44020853,7,0,139,0,0,37,1,311,1,passed
44127271,28,0,0,0,0,3,1,32,1,failed
44146639,0,0,4,0,0,1,1,56,1,passed
44870620,2,0,0,0,0,1,1,228,1,passed
46511415,1,0,0,0,0,1,1,75,1,passed
46511735,9,0,0,0,0,3,2,359,2,passed
48738380,4,0,17,1,0,2,4,3,4,passed
48853975,60,0,11,2,0,1,1,237,1,passed
55344534,8,0,0,0,0,3,1,363,1,passed
56752748,12,0,7,0,0,2,1,15,1,passed
60124614,2,0,0,0,0,1,1,79,1,passed
64832250,23,0,0,0,0,2,1,77,1,passed
67550220,11,0,211,2,0,1,1,84,1,passed
84530870,13,0,211,2,0,2,1,265,1,passed
86211929,2,0,0,0,0,1,1,17,1,passed
86251500,2,0,0,0,0,2,1,33,1,passed
86252213,8,0,0,0,0,3,1,368,1,passed
86253369,2,0,0,0,0,1,1,18,1,passed
