tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
19508977,51,0,0,0,0,9,7,244,7,failed
19510915,22,0,0,0,0,3,1,26,1,failed
19840665,1,0,0,0,0,1,1,46,1,failed
19841033,2,0,0,0,0,1,1,47,1,failed
19841703,60,0,0,2,1,2,1,20,1,passed
20158065,2,0,0,0,0,1,1,8,1,passed
20158807,2,0,0,0,0,1,1,12,1,passed
20165689,4,0,0,0,0,2,1,17,1,passed
20782976,6,0,0,0,0,1,1,71,1,passed
21221158,0,0,0,0,0,1,1,41,1,passed
22740535,2,0,0,0,0,3,1,153,1,passed
22743604,67,0,11,0,0,12,1,169,1,failed
26383421,1,0,0,0,0,3,1,20,1,passed
26793246,45,0,0,1,0,3,6,79,6,failed
26796661,6,0,0,0,0,3,3,39,3,passed
27587399,9,0,0,0,0,2,1,18,1,failed
31087309,2,0,0,0,0,1,1,67,1,failed
31978612,2,0,0,0,0,2,1,55,1,failed
32040625,8,0,0,0,0,1,1,6,1,failed
32045120,6,0,0,0,0,2,2,8,2,passed
32628721,2135,0,1634,64,14,21,1,446,1,passed
33486808,6,0,0,0,0,1,1,8,1,passed
33756434,9,0,0,0,0,1,1,76,1,passed
33757194,2144,0,1634,64,14,21,1,449,1,passed
33761840,701,0,239,0,36,3,4,198,4,passed
33763101,14,0,0,0,0,2,1,123,1,passed
33799879,0,0,0,0,0,1,1,33,1,passed
33801632,0,0,0,0,0,1,1,34,1,passed
33910455,1,0,0,0,0,1,1,6,1,passed
34009307,1,0,0,0,0,1,1,7,1,passed
34010854,71,0,0,0,0,1,2,78,2,passed
34010980,2,0,0,0,0,1,1,80,1,passed
34298286,2,0,0,0,0,1,1,81,1,passed
34351846,54,0,0,0,2,2,3,83,3,passed
34353458,122,0,0,1,0,1,5,81,5,passed
34426855,54,0,0,0,2,2,1,86,1,passed
34426877,116,0,0,1,0,1,1,87,1,passed
34672355,3,0,0,2,0,3,4,89,4,passed
36075824,3,0,0,0,0,1,1,87,1,passed
36091652,3,0,0,0,0,1,1,88,1,passed
41293389,13,0,2,0,0,2,2,10,2,passed
41297733,3,1,0,2,0,3,5,90,5,passed
41323828,42,0,71,3,0,13,1,235,1,passed
42449905,147,0,0,1,0,8,4,107,4,passed
