tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4344042,308,0,0,12,4,12,9,32,9,failed
4344045,3,0,0,0,0,1,1,9,1,failed
4344185,4,0,0,0,2,1,2,8,2,failed
4344263,7,0,0,0,0,3,2,14,2,passed
4370071,1,0,0,0,0,1,1,10,1,passed
4618230,42,0,0,1,0,7,1,30,1,passed
4654974,2,0,0,0,0,2,1,14,1,passed
6308649,70,0,0,3,0,4,1,27,1,failed
6308818,2,0,0,0,0,1,1,13,1,failed
6308981,16,0,0,0,0,2,1,4,1,failed
6309144,2,0,0,0,0,1,1,1,1,passed
6336044,51,0,0,1,0,5,1,22,1,passed
7175067,6,0,0,0,0,3,1,3,1,passed
7175555,6,0,0,0,0,3,1,4,1,passed
7176207,2,0,0,0,0,1,1,2,1,passed
7176249,2,0,0,0,0,1,1,3,1,passed
7262919,2,0,0,0,0,1,1,17,1,passed
8057262,171,0,0,3,0,5,1,30,1,passed
8300522,61,0,0,3,2,4,2,26,2,passed
8303061,16,0,0,1,1,5,1,34,1,passed
8376868,146,0,0,0,0,4,1,18,1,passed
8377312,10,0,0,0,0,2,1,24,1,passed
8377428,12,0,0,0,0,1,1,18,1,passed
8377473,408,0,0,0,0,8,1,53,1,passed
8478970,14,0,0,0,0,1,1,2,1,passed
8738103,8,0,0,0,0,2,1,26,1,failed
8738136,913,0,50,20,8,21,1,83,1,failed
8738168,2,0,0,0,0,1,1,25,1,failed
8770691,11,0,0,0,0,6,1,39,1,passed
8770696,37,0,0,0,0,12,1,49,1,passed
8812716,139,0,0,0,0,14,1,65,1,passed
8813733,65,0,0,0,0,8,1,47,1,passed
8822337,298,0,0,1,0,11,3,54,3,passed
8855186,112,0,0,0,0,12,2,64,2,failed
8872718,43,0,0,0,0,4,2,47,2,failed
8875655,14,0,0,0,0,6,2,70,2,passed
8903352,180,0,38,2,3,8,5,60,5,failed
8903662,0,0,0,0,0,1,1,3,1,failed
8911610,0,0,0,0,0,1,1,6,1,failed
8912790,0,0,0,0,0,1,1,7,1,passed
8916219,8,0,0,0,0,2,1,52,1,passed
8916302,2,0,0,0,0,1,1,33,1,passed
9050087,22,0,0,1,0,6,1,46,1,passed
9061571,2,0,0,0,0,1,1,35,1,passed
9079549,5,0,0,0,0,2,1,29,1,passed
9120477,5,0,0,0,0,2,1,30,1,passed
9151601,37,0,0,0,0,3,1,46,1,passed
9159832,34,0,0,0,0,7,1,63,1,passed
9161202,34,0,0,0,0,7,1,64,1,passed
9161305,37,0,0,0,0,3,1,49,1,passed
9164256,32,0,0,0,0,6,2,67,2,passed
9164447,4,0,0,0,0,2,1,41,1,passed
9174971,1,0,0,0,0,1,1,18,1,passed
9889299,7,0,0,0,0,1,1,3,1,passed
9921484,1,0,0,0,0,1,1,41,1,passed
9931730,7,0,0,0,0,1,1,4,1,passed
9964942,2,0,0,0,0,1,1,5,1,passed
9991878,1,0,0,0,0,1,1,42,1,passed
11491826,29,0,0,0,0,1,1,45,1,passed
11491832,2,0,0,0,0,1,1,46,1,passed
12475417,16,0,0,0,0,7,2,94,2,passed
12476135,2,0,0,0,0,1,1,26,1,passed
12558396,14,0,0,0,0,4,2,42,2,passed
12563798,8,0,0,0,0,3,1,43,1,passed
12887135,5,0,0,0,0,1,1,7,1,failed
13018007,2,0,0,0,0,1,1,6,1,passed
14956446,80,0,0,1,1,6,1,75,1,passed
14959025,31,0,0,0,0,5,2,82,2,passed
14959106,14,0,0,0,0,2,1,10,1,passed
15398874,3,0,0,0,0,1,1,17,1,passed
15499324,3,0,0,0,0,1,1,22,1,passed
15506258,2,0,0,0,0,1,1,7,1,passed
15506892,19,0,0,0,0,3,1,16,1,passed
33963543,2,0,0,0,0,1,1,8,1,failed
