tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
5991191,726,0,517,9,0,24,7,752,7,failed
5997354,0,0,0,0,0,1,1,196,1,failed
6011421,113,0,5,0,0,2,1,81,1,failed
6050095,45,0,37,0,0,2,1,98,1,failed
6064085,164,0,528,1,1,10,1,391,1,failed
6065645,5,0,0,0,0,1,1,67,1,failed
6066471,1,0,0,0,0,1,1,111,1,failed
6071767,24,0,0,0,0,1,1,99,1,failed
6072611,9,0,60,0,0,2,1,105,1,failed
6073025,0,0,2,0,0,1,1,77,1,failed
6093673,28,0,32,0,0,2,1,162,1,failed
6138503,64,0,73,0,0,4,1,329,1,failed
6139111,5,0,4,0,0,2,1,100,1,failed
6155511,248,0,0,0,2,0,1,57,1,failed
6181438,0,0,224,1,0,0,1,0,1,failed
6191622,0,0,0,0,0,1,1,857,1,failed
6199141,0,0,2,0,0,1,1,1,1,failed
6221090,49,0,211,1,0,4,1,160,1,failed
6229581,0,0,0,0,0,78,2,2284,2,failed
6230324,2,0,0,0,0,1,1,27,1,failed
6233279,5,0,4,0,0,2,1,42,1,failed
6234963,627,0,0,0,0,27,1,144,1,failed
6236347,154,0,0,0,0,4,2,105,2,failed
6236674,10,0,0,0,0,2,2,223,2,failed
6239349,596,0,0,0,2,19,2,136,2,failed
6277997,39,0,23,0,0,2,1,140,1,failed
6279099,50,0,14,0,0,5,2,168,2,failed
6295323,52,0,218,0,0,5,2,116,2,failed
6341092,225,0,4,1,0,4,2,136,2,failed
6341476,0,0,0,1,0,0,1,0,1,failed
6341867,3,0,0,0,0,2,1,215,1,failed
6343705,17,0,0,0,0,1,1,211,1,failed
6555888,138,0,195,0,0,7,1,94,1,failed
6556396,29,0,0,0,0,1,1,74,1,failed
6571517,2,0,0,0,0,1,1,57,1,failed
6615014,0,0,29,0,0,1,1,79,1,failed
6651999,90,0,138,0,0,3,3,276,3,failed
6652380,270,0,0,0,0,4,1,17,1,failed
6662057,6,0,0,0,0,2,1,59,1,failed
6682296,72,0,478,3,0,15,1,989,1,failed
6713086,0,0,0,0,0,1,1,51,1,failed
6713595,65,0,0,0,0,2,1,364,1,failed
6714422,7,0,0,0,0,2,1,365,1,failed
6717227,142,0,88,0,0,4,1,391,1,failed
6717854,44,0,0,0,0,2,1,22,1,failed
6718268,125,0,0,20,1,9,2,856,2,failed
6729482,0,0,0,0,0,1,1,206,1,failed
6732910,0,0,0,0,0,1,1,4,1,failed
6738421,0,0,0,0,0,1,1,6,1,failed
6747711,8,0,0,0,0,1,1,87,1,failed
6748691,127,0,75,0,0,7,2,478,2,failed
6752015,111,0,370,0,0,9,1,375,1,failed
6753829,27,0,0,0,0,1,1,101,1,failed
6772314,553,0,424,1,0,17,1,183,1,failed
6772778,94,0,0,0,0,3,1,289,1,failed
6781294,6,0,0,0,0,1,1,175,1,failed
6784653,310,0,215,0,0,5,1,210,1,failed
6804864,95,0,0,0,0,1,1,157,1,failed
6806945,0,0,0,0,0,0,1,0,1,failed
6809354,45,0,32,0,0,3,1,212,1,failed
6815433,171,0,0,0,0,3,1,276,1,failed
6834913,0,0,249,0,0,2,2,74,2,failed
6842524,92,0,342,0,0,11,1,534,1,failed
6843289,2,0,0,0,0,1,1,93,1,failed
6846146,52,0,0,0,0,1,1,36,1,failed
6868319,87,0,0,1,0,4,1,725,1,failed
6869820,0,0,0,0,0,1,1,9,1,failed
6870482,0,0,0,0,0,1,1,10,1,failed
6871427,0,0,95,0,0,6,1,441,1,passed
6900445,210,0,244,1,0,6,1,285,1,failed
6902939,3,0,0,0,0,2,1,166,1,passed
6907770,0,0,0,0,0,2,1,65,1,passed
6908267,10,0,0,0,0,3,1,307,1,passed
6910100,0,0,95,0,0,5,1,312,1,passed
6911057,0,0,61,0,0,1,1,34,1,failed
6911543,2,0,0,0,0,1,1,118,1,failed
6914290,0,0,0,2,2,19,1,684,1,failed
6917696,0,0,104,3,0,12,1,20,1,failed
6937341,0,0,48,0,0,3,1,12,1,failed
7822205,1205,0,570,5,1,15,6,664,6,failed
