tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
13477313,24624,1,6602,112,35,296,213,240,213,failed
13477461,0,0,0,0,0,1,1,1,1,failed
13496551,0,0,6,0,0,3,1,15,1,failed
13550048,25,0,46,0,0,6,3,59,3,passed
13552726,15,0,0,0,0,1,1,15,1,passed
13552765,4,0,0,0,0,1,1,16,1,passed
13659783,714,0,81,2,0,14,1,46,1,passed
13708965,734,0,36,0,0,5,2,15,2,passed
13709335,0,0,24,1,0,0,1,0,1,passed
13961992,19,0,0,0,0,1,1,4,1,passed
13970461,40,0,4,0,0,6,1,55,1,passed
13973703,41,0,21,0,0,2,1,8,1,passed
14318714,1028,3,1209,2,0,2,2,10,2,passed
14336224,68,0,5,0,0,3,1,16,1,passed
14337834,112,0,0,0,0,11,5,26,5,passed
14339992,104,3,0,0,0,10,1,14,1,passed
14397102,0,0,84,0,0,3,2,55,2,passed
14398946,2,0,32,2,0,1,1,4,1,passed
14518783,461,0,1123,2,1,4,1,12,1,passed
14529999,0,0,16,0,0,1,1,10,1,passed
14530296,0,0,0,0,0,3,1,36,1,passed
14595189,0,0,0,0,0,1,1,39,1,passed
14597361,38,0,0,0,0,2,1,9,1,passed
14601429,42,0,0,0,0,2,1,11,1,passed
14626922,45,0,24,0,0,3,1,16,1,passed
14837128,916,0,360,35,0,26,8,80,8,passed
14869196,57,0,52,4,0,3,2,6,2,passed
14871594,0,1,0,0,0,1,1,38,1,passed
14890964,0,0,0,0,0,1,1,39,1,passed
14951152,29,0,0,0,0,7,2,15,2,passed
15030575,0,0,0,0,0,2,1,45,1,passed
15039312,18,0,0,0,0,2,1,16,1,passed
15153121,0,0,0,0,0,2,1,44,1,passed
15198551,125,0,0,0,0,4,1,16,1,passed
15221494,1670,0,658,18,0,38,5,57,5,passed
15224608,11,0,0,1,0,3,4,81,4,passed
15229243,22,0,0,0,0,1,1,17,1,passed
15286794,42,0,28,1,0,4,1,34,1,passed
15287476,46,0,0,0,0,3,1,69,1,passed
15369964,49,0,36,0,0,3,2,11,2,passed
15423929,25,0,0,0,0,6,2,60,2,passed
15498903,167,0,42,2,0,5,3,10,3,passed
15525314,99,0,0,0,2,5,1,14,1,passed
15539162,1,0,0,0,0,1,1,3,1,passed
15581795,4908,0,83,2,0,12,3,6,3,passed
15583957,0,0,43,0,0,1,1,6,1,passed
15637333,23,0,0,0,0,2,1,61,1,passed
15701491,0,0,0,0,0,3,1,46,1,passed
15702273,0,0,0,0,0,1,1,45,1,passed
15705496,0,0,0,0,0,1,1,46,1,passed
15735271,11,0,167,1,0,2,2,25,2,passed
15775903,141,2,0,0,3,1,1,19,1,passed
15865034,805,0,138,17,0,3,1,56,1,passed
15866491,46,0,47,1,0,4,1,13,1,failed
15881335,385,0,2,6,1,4,2,21,2,passed
15888970,772,0,177,5,16,8,5,33,5,passed
15906893,731,0,0,4,1,7,2,11,2,passed
16346383,351,0,335,1,3,54,4,230,4,passed
16389910,68,0,161,2,0,8,2,24,2,passed
16389989,0,0,5,0,0,1,1,1,1,passed
16394032,5,0,21,0,0,4,2,7,2,passed
16430419,19,0,117,1,0,1,1,5,1,passed
16495063,466,0,134,0,0,1387,1,547,1,passed
16559825,149,0,207,0,0,4,3,15,3,passed
16561941,6,0,16,0,0,2,1,16,1,passed
16598620,62,0,0,0,1,3,1,62,1,passed
16855173,2,0,0,0,0,1,1,6,1,passed
17171011,859,0,229,9,2,22,6,86,6,passed
17171399,9,0,0,0,0,1,1,11,1,passed
17182345,119,0,57,0,0,3,1,7,1,passed
17182713,0,0,0,0,0,1,1,49,1,passed
17184070,2,0,0,0,0,1,1,7,1,passed
17214000,35,0,35,0,0,2,1,8,1,passed
17242011,35,0,35,0,0,2,1,9,1,passed
17268097,43,0,28,0,0,3,2,28,2,passed
17286800,86,0,38,0,0,5,2,37,2,passed
17329330,414,0,250,2,0,10,2,90,2,passed
17331808,9,0,13,0,0,2,1,11,1,passed
17347584,673,0,62,5,0,12,5,102,5,passed
17401944,52,0,0,0,0,2,1,19,1,passed
17402753,10,0,0,0,0,1,1,6,1,passed
17405308,4,0,0,0,0,1,1,4,1,passed
17522189,27,0,29,0,0,3,1,17,1,failed
17566473,2,0,0,0,0,1,1,17,1,passed
17610970,26,0,2,0,0,2,1,15,1,passed
17669809,1199,0,83,2,0,120,9,284,9,passed
17704484,177,0,15,0,0,21,1,40,1,passed
17897570,1107,0,627,9,1,29,8,177,8,passed
17897888,4,0,0,0,0,1,1,19,1,passed
17907492,357,0,107,0,2,16,4,61,4,passed
17968302,24,0,4,0,0,5,1,89,1,passed
17968400,0,0,0,0,0,1,1,3,1,passed
17972750,103,0,39,3,0,7,2,22,2,passed
17973221,6,0,0,0,0,1,1,21,1,passed
18010124,54,0,68,2,0,3,1,22,1,passed
18126360,651,0,81,16,1,7,6,27,6,passed
18133861,24,0,16,0,0,2,1,12,1,passed
18161974,35,0,0,0,0,3,1,69,1,passed
18204998,57,0,61,2,0,1,1,4,1,passed
18351239,75,0,0,0,1,1,1,6,1,passed
18381816,12,0,159,3,0,2,2,16,2,passed
18410141,177,0,44,2,0,10,4,19,4,passed
18727766,755,0,7,0,2,6,3,9,3,passed
18731539,0,0,11,0,0,1,1,2,1,passed
