tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
3972027,288,0,321,21,0,1,2,0,2,failed
3972145,2,0,0,0,0,2,1,2,1,failed
3974774,4,0,0,0,0,2,1,2,1,failed
3975104,33,0,0,0,0,2,1,2,1,failed
3975342,2,0,0,0,0,1,1,1,1,failed
3975558,1,0,0,0,1,2,2,4,2,failed
3997410,95,0,0,0,0,1,1,3,1,failed
4009301,49,0,83,0,0,6,1,2,1,failed
4011584,0,0,79,0,0,2,2,2,2,passed
4011653,2,0,0,0,0,1,1,4,1,passed
4011824,11,0,0,0,0,1,1,5,1,passed
4011979,1,0,0,0,0,1,1,3,1,passed
4012001,2,0,0,0,0,1,1,1,1,passed
4177137,4,0,13,0,0,3,2,7,2,passed
4177153,2,0,0,0,0,1,1,2,1,passed
4271117,44,0,71,1,0,6,3,9,3,failed
4319006,42,0,71,1,0,6,1,12,1,failed
4323127,12,0,175,1,0,6,3,7,3,failed
4324266,7,0,74,0,0,3,1,7,1,failed
4324417,0,0,0,0,0,1,1,5,1,passed
4324438,0,0,0,0,0,1,1,6,1,passed
4325001,11,0,14,0,0,4,1,9,1,failed
4325285,37,0,2,0,0,5,5,17,5,failed
4325411,5,0,0,0,0,2,1,10,1,failed
4325617,3,0,0,0,0,1,1,10,1,failed
4325687,12,0,0,0,0,1,1,8,1,passed
4325806,4,0,0,0,0,1,1,9,1,passed
4344654,16,0,0,0,0,1,1,11,1,passed
4344685,2,0,0,0,0,1,1,2,1,failed
4384411,24,0,33,0,0,4,2,16,2,failed
4384536,2,0,2,0,0,2,1,13,1,failed
4384659,7,0,8,0,0,2,1,14,1,passed
4385741,15,0,63,0,0,3,1,19,1,passed
4386406,22,0,0,0,0,2,1,13,1,passed
5028360,30,0,51,0,0,9,4,39,4,passed
5061317,0,0,0,0,0,1,1,7,1,passed
5304803,2,0,0,0,0,1,1,12,1,passed
5991665,301,0,74,0,0,6,8,34,8,passed
6063707,157,0,66,0,0,6,1,42,1,passed
6067168,501,0,572,4,0,5,2,27,2,failed
6067294,0,0,16,0,0,3,1,12,1,passed
6068700,45,0,219,0,0,4,2,13,2,failed
6068720,0,0,96,0,0,1,1,10,1,failed
6069344,215,0,21,0,0,5,3,32,3,passed
6069768,6,0,0,0,0,1,1,18,1,passed
6098665,28,0,2,0,0,3,2,23,2,passed
6140288,28,0,2,0,0,3,1,25,1,failed
6140302,28,0,2,0,0,3,2,23,2,passed
6140329,6,0,0,0,0,1,1,21,1,passed
6140382,7,0,0,0,0,1,1,22,1,passed
6165811,6,0,0,0,0,1,1,23,1,passed
6233713,8,0,0,0,0,1,1,24,1,passed
6614521,35,0,44,0,0,7,2,39,2,passed
6614787,5,0,0,0,0,2,1,29,1,passed
