tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
29171312,788,0,275,33,1,18,18,0,18,passed
29171598,2,0,0,0,0,1,1,6,1,passed
29171631,4,0,0,0,0,1,1,2,1,passed
29171768,1,0,0,0,0,1,1,7,1,passed
29172721,12,0,3,0,0,4,3,14,3,passed
29172860,0,0,6,0,0,1,1,10,1,passed
29174251,14,0,0,0,0,2,2,7,2,passed
29174491,2,0,0,0,0,1,1,10,1,passed
29174730,2,0,0,0,0,1,1,11,1,passed
29174768,2,0,0,0,0,1,1,12,1,passed
29187075,4,0,0,0,0,1,1,13,1,passed
29187724,62,0,0,0,0,6,2,20,2,passed
29187783,2,0,0,0,0,1,1,15,1,passed
29187993,12,0,4,0,0,3,1,8,1,passed
29188401,6,0,4,0,0,4,1,22,1,passed
29188682,0,0,7,0,0,1,1,1,1,passed
29188989,49,0,4,0,3,15,2,9,2,passed
29189715,8,0,47,1,0,1,2,4,2,passed
29189748,2,0,0,0,0,1,1,3,1,passed
29190574,6,0,49,2,0,1,3,4,3,passed
29217823,4,0,52,0,1,3,3,17,3,passed
29220436,18,0,62,1,0,1,1,3,1,passed
29220931,12,0,22,0,0,2,1,4,1,passed
29221270,4,0,21,1,0,1,1,5,1,passed
29268553,24,0,49,2,0,1,1,8,1,passed
29270148,8,0,38,0,0,2,1,1,1,passed
29270570,15,0,12,0,0,2,1,2,1,passed
29275632,7,0,24,0,0,2,1,3,1,failed
29277735,27,0,24,0,0,2,1,4,1,passed
29338806,58,0,20,0,0,2,1,5,1,passed
29359698,2,0,0,0,0,1,1,17,1,passed
29400033,0,0,42,0,0,1,1,6,1,passed
29400164,11,0,0,0,0,1,1,6,1,passed
29400443,5,0,0,0,0,1,1,7,1,passed
29400523,0,0,0,0,0,1,1,2,1,failed
29400566,4,0,0,0,0,1,1,8,1,failed
29400923,0,0,0,0,0,1,1,3,1,passed
29401174,5,0,0,0,0,1,1,9,1,passed
29401509,51,0,0,0,0,1,1,10,1,passed
29402279,6,0,87,0,0,2,1,12,1,passed
29402842,0,0,51,0,0,2,2,20,2,passed
29407929,9,0,22,0,0,2,1,10,1,passed
