tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
115210,2,0,0,0,0,1,1,7,1,passed
118196,52,0,173,0,0,3,1,23,1,passed
137318,0,0,10,0,0,1,1,16,1,passed
140220,17,0,0,0,0,1,1,61,1,passed
150886,3,0,28,0,0,2,1,31,1,passed
150996,0,0,6,0,0,1,1,9,1,passed
151183,4,0,0,0,0,2,1,106,1,passed
164179,58,0,354,1,0,13,3,199,3,failed
164243,0,0,8,0,0,1,1,43,1,passed
164313,12,0,4,1,0,2,1,95,1,passed
172278,1,0,59,0,0,3,2,40,2,passed
174580,6,0,0,0,0,3,1,109,1,passed
186043,15,0,0,0,0,1,1,62,1,failed
186063,2,0,0,0,0,1,1,63,1,passed
188477,28,0,2,0,0,5,1,158,1,failed
188496,28,0,2,0,0,5,1,158,1,failed
188517,28,0,2,0,0,5,1,158,1,failed
188584,0,0,0,0,0,1,1,2,1,passed
195079,46,0,473,2,0,10,5,162,5,passed
195140,5,0,69,0,0,2,2,22,2,passed
195971,2,0,48,0,0,3,1,43,1,passed
203705,18,0,6,0,0,4,3,88,3,passed
203877,4,0,16,0,0,6,2,175,2,passed
203955,24,0,0,0,0,1,1,66,1,passed
206529,11,0,34,0,0,2,1,4,1,passed
227809,18,0,55,0,0,4,3,171,3,passed
227818,18,0,55,0,0,4,3,171,3,passed
227827,18,0,55,0,0,4,3,171,3,passed
227844,18,0,55,0,0,4,3,171,3,passed
235096,24,0,337,0,0,13,2,166,2,failed
235116,0,0,4,0,0,1,1,51,1,passed
238513,0,0,5,0,0,2,1,25,1,passed
251503,7,0,34,0,0,4,2,83,2,passed
300673,3,0,10,0,0,2,1,96,1,passed
301007,59,0,160,0,0,6,3,163,3,failed
301042,59,0,160,0,0,6,3,163,3,failed
302027,3,0,55,1,0,3,1,43,1,passed
304520,9,0,79,1,0,3,2,94,2,passed
305125,4,0,0,0,0,3,1,133,1,passed
305144,2,0,0,0,0,1,1,72,1,passed
328969,8,0,57,0,0,2,1,19,1,passed
331234,43,0,171,1,0,6,3,150,3,passed
371483,950,0,740,0,0,16,9,246,9,passed
373012,0,0,23,0,0,3,1,155,1,passed
374600,2,0,0,0,0,1,1,6,1,passed
448377,9,0,6,0,0,2,1,35,1,passed
448884,48,0,52,0,0,9,4,193,4,passed
448897,2,0,0,0,0,1,1,22,1,passed
626938,2,0,0,0,0,1,1,74,1,failed
627183,2,0,7,0,0,2,1,23,1,failed
627293,4,0,7,0,0,3,1,99,1,failed
627322,0,0,2,0,0,2,1,77,1,failed
627360,6,0,0,0,0,1,1,10,1,passed
629413,3,0,6,0,0,3,2,85,2,passed
631381,2,0,0,0,0,1,1,8,1,passed
641736,83,0,153,0,0,6,4,122,4,passed
643325,0,0,0,0,0,1,1,84,1,passed
822201,2,0,0,0,0,1,1,21,1,passed
838248,4,0,7,0,0,2,1,30,1,passed
838407,5,0,0,0,0,3,1,121,1,passed
993198,65,0,0,0,0,2,1,126,1,passed
997865,20,0,27,0,0,4,1,158,1,passed
1126332,6,0,13,0,0,2,2,35,2,passed
1198218,0,0,0,0,0,1,2,94,2,passed
1198230,37,0,5,0,0,4,1,210,1,passed
1199499,10,0,7,0,0,2,1,42,1,passed
1203976,0,0,0,0,0,1,1,98,1,passed
1204128,0,0,0,0,0,1,1,99,1,passed
1470365,4,0,0,0,0,1,1,12,1,passed
1704116,4,0,0,0,0,2,1,78,1,passed
1920566,301,0,240,1,0,16,1,245,1,failed
1920708,0,0,6,0,0,2,1,52,1,failed
1920720,0,0,6,0,0,2,1,52,1,failed
1920872,7,0,0,1,0,4,3,154,3,failed
1920882,0,0,0,0,0,1,1,6,1,passed
1920923,5,0,0,0,0,1,1,84,1,failed
1920944,10,0,0,0,0,1,1,85,1,passed
1921493,9,0,0,0,0,1,1,86,1,failed
2217953,17,0,25,0,0,3,1,61,1,passed
2425227,2,0,0,0,0,1,1,3,1,passed
2425850,4,0,100,0,0,7,5,150,5,passed
2468368,0,0,73,0,0,4,1,113,1,failed
2540609,6,0,0,0,0,1,1,19,1,failed
2653629,6,0,0,0,0,1,1,20,1,failed
2653675,2,0,0,0,0,1,1,74,1,failed
2752795,1,0,6,0,0,2,2,35,2,failed
3515988,2,0,0,0,0,1,1,91,1,failed
3527840,2,0,0,0,0,1,1,92,1,failed
3527853,12,0,0,0,0,1,1,31,1,failed
3553567,2,0,0,0,0,1,1,15,1,failed
3553777,2,0,0,0,0,1,1,16,1,failed
3555853,87,0,0,0,0,1,1,10,1,failed
3576215,87,0,0,0,0,1,1,11,1,failed
3577697,5,0,0,0,0,1,1,94,1,failed
3717758,30,0,5,0,0,3,1,150,1,failed
3808743,3,0,0,0,0,1,1,32,1,failed
3808845,0,0,2,0,0,1,1,43,1,failed
4005764,20,0,34,0,0,6,2,122,2,failed
4110445,20,0,34,0,0,6,1,124,1,failed
4148235,0,0,12,0,0,2,1,58,1,failed
4155870,2,0,0,0,0,1,1,21,1,failed
4168537,43,0,219,0,0,10,1,193,1,passed
4249571,0,0,55,0,1,4,1,150,1,passed
4267179,0,0,2,0,0,1,1,49,1,passed
4352996,0,0,2,0,0,1,1,51,1,passed
4372859,2,0,17,0,0,2,2,91,2,failed
4373107,8,0,0,0,0,1,1,17,1,passed
4591839,11,0,8,0,0,2,1,16,1,passed
4687776,4,0,12,0,0,2,2,69,2,passed
4690259,4,0,12,0,0,2,1,71,1,passed
5563594,81,0,129,2,0,10,1,307,1,failed
5563891,11,0,0,0,0,1,1,1,1,passed
5954357,2,0,0,0,0,1,1,17,1,passed
6459638,2,0,29,0,0,2,1,63,1,failed
6562402,2,0,0,0,0,1,1,18,1,failed
6562926,0,0,4,0,0,1,1,29,1,passed
6563816,11,0,0,0,0,1,1,15,1,passed
6573082,1,0,0,0,0,1,1,20,1,passed
7300652,145,0,260,2,2,11,2,325,2,passed
7301583,3,0,13,0,0,4,1,152,1,passed
7301844,3,0,0,0,0,1,1,46,1,passed
7301933,3,0,0,0,0,2,1,40,1,passed
7302143,1,0,0,0,0,1,1,25,1,passed
7302723,4,0,0,0,0,1,1,99,1,passed
7302879,12,0,0,0,0,1,1,100,1,passed
7302904,2,0,0,0,0,1,1,101,1,passed
7883341,2,0,0,0,0,1,1,102,1,passed
8260053,2,0,0,0,0,1,1,41,1,passed
9154045,5,0,32,0,0,2,1,17,1,passed
9743590,2,0,0,0,0,1,1,103,1,passed
9828405,7,0,0,0,0,2,1,29,1,passed
9869734,2,0,0,0,0,1,1,104,1,passed
10186557,16,0,35,0,0,3,1,141,1,passed
10210123,15,0,143,0,0,7,5,218,5,passed
10413581,0,0,148,0,0,12,3,222,3,passed
10992805,28,0,40,0,0,2,1,75,1,failed
11220948,2,0,0,0,0,1,1,48,1,passed
11888907,7,0,21,0,0,2,1,52,1,passed
11889044,5,0,32,0,0,2,1,18,1,passed
11889410,0,0,148,0,0,12,1,229,1,passed
11889650,28,0,40,0,0,2,1,79,1,passed
11891175,33,0,220,0,0,14,2,252,2,passed
12009066,18,0,34,0,0,2,2,18,2,passed
13087989,0,0,0,0,0,1,1,10,1,passed
13089035,16,0,0,0,0,3,2,148,2,passed
13089544,4,0,0,0,0,1,1,31,1,passed
15143555,6,0,0,0,0,2,1,31,1,passed
15600190,6,0,0,0,0,2,1,32,1,passed
15979498,0,0,80,0,0,12,2,255,2,passed
16501425,3,0,0,0,0,1,1,30,1,passed
16637737,2,0,1478,0,0,20,1,327,1,passed
17493307,6,0,0,0,0,2,1,33,1,failed
18043143,0,0,80,0,0,12,1,258,1,failed
18043820,3,0,0,0,0,1,1,31,1,failed
18046714,5,0,1,0,0,4,1,104,1,passed
18046855,8,0,0,0,0,1,1,114,1,passed
22481492,2,0,0,0,0,1,1,115,1,failed
22697866,4,0,21,0,0,3,1,53,1,failed
25405409,2,0,0,0,0,1,1,118,1,passed
25406177,2,0,0,0,0,1,1,120,1,passed
25406502,32,0,57,0,0,4,1,243,1,passed
25406568,19,0,0,0,0,2,1,60,1,passed
25406609,2,0,0,0,0,1,1,123,1,passed
25406691,12,0,0,0,0,1,1,124,1,passed
26428810,1,0,0,0,0,1,1,81,1,passed
26468587,1,0,0,0,0,1,1,82,1,passed
26470167,30,0,102,0,0,6,2,149,2,passed
26470179,2,0,0,0,0,1,1,40,1,passed
26470467,32,0,102,0,0,7,1,188,1,passed
26480302,32,0,102,0,0,7,1,189,1,passed
26825174,3,0,0,0,0,1,1,29,1,passed
28262899,3,0,0,0,0,1,1,30,1,passed
30435850,1,0,0,0,0,1,1,126,1,passed
30435985,2,0,0,0,0,1,1,29,1,passed
31723103,4,0,0,0,0,1,1,39,1,passed
33107562,12,0,39,0,0,2,1,65,1,passed
34248634,12,0,39,0,0,2,1,66,1,passed
34248654,4,0,0,0,0,1,1,40,1,passed
34249570,10,0,0,0,0,2,1,66,1,passed
35315334,2,0,0,0,0,1,1,127,1,passed
35685190,16,0,26,0,0,3,1,74,1,passed
38763807,4,0,16,0,0,2,1,12,1,passed
40500032,2,0,4,0,0,2,1,62,1,passed
40600603,5,0,0,0,0,1,1,54,1,failed
41747948,15,0,9,0,0,3,1,76,1,passed
45087543,4,0,16,0,0,2,1,13,1,passed
45087663,2,0,0,0,0,1,1,128,1,passed
45155437,6,0,16,0,0,3,1,142,1,passed
45207932,15,0,9,0,0,3,1,77,1,passed
45209308,15,0,9,0,0,3,1,78,1,passed
45209363,2,0,4,0,0,2,1,63,1,passed
45213439,16,0,0,0,0,2,1,64,1,passed
45213866,2,0,39,0,0,3,2,81,2,passed
45213926,10,0,0,0,0,1,1,130,1,failed
47073587,2,0,0,0,0,1,1,32,1,passed
47133507,6,0,12,0,0,2,1,16,1,failed
47149221,0,0,0,0,0,1,1,25,1,passed
49014697,0,0,0,0,0,1,1,26,1,passed
49017622,5,0,0,0,0,2,1,71,1,passed
49115075,11,0,5,0,0,3,1,155,1,passed
50383900,8,0,7,0,0,6,2,232,2,failed
53275151,6,0,8,0,0,2,1,103,1,passed
53539111,0,0,0,0,0,1,1,27,1,failed
57196870,11,0,5,0,0,3,1,156,1,failed
57197048,0,0,0,0,0,1,1,28,1,failed
57199218,6,0,8,0,0,2,1,106,1,failed
57210723,37,0,13,0,0,8,3,386,3,passed
57249648,9,0,0,0,0,2,1,77,1,passed
58498100,24,1,5,0,0,3,3,162,3,passed
58563429,8,0,24,0,0,4,1,149,1,passed
62617547,3,0,19,0,0,3,1,162,1,passed
63844298,2,0,0,0,0,1,1,58,1,passed
64052942,12,0,0,0,0,1,1,137,1,passed
65268961,19,0,31,0,0,4,4,95,4,passed
73720132,12,0,0,0,0,1,1,138,1,passed
73721259,2,0,0,0,0,1,1,59,1,passed
73724919,14,0,0,0,0,2,1,193,1,passed
73725227,8,0,19,0,0,3,2,163,2,passed
73726382,26,0,32,0,0,4,2,153,2,failed
73727523,2,0,0,0,0,1,1,37,1,passed
73729171,21,0,0,0,0,3,1,124,1,passed
73798930,5,0,7,0,0,2,1,28,1,passed
73799173,3,0,0,0,0,2,1,79,1,passed
73807931,16,0,36,0,0,5,1,305,1,passed
73808027,3,2,0,0,0,2,1,80,1,passed
75028519,2,0,0,0,0,1,1,40,1,passed
75030631,72,0,0,1,0,1,1,142,1,passed
75263074,15,0,0,0,0,1,1,54,1,passed
77753548,0,0,4,0,0,1,1,99,1,passed
96751732,28,0,14,0,0,4,1,74,1,passed
118775236,4,0,38,0,0,7,2,202,2,passed
118775382,4,0,38,0,0,7,1,204,1,passed
118775825,23,0,26,0,0,5,1,219,1,passed
118818123,0,0,4,0,0,1,1,105,1,passed
118852989,146,0,155,2,0,6,1,180,1,passed
119531086,5,0,0,0,0,2,2,86,2,passed
120102086,12,0,43,0,0,3,1,78,1,passed
122062415,2,0,0,0,0,1,1,44,1,passed
122062549,12,0,43,0,0,3,1,82,1,passed
122067471,0,0,0,0,0,0,1,0,1,passed
122069447,0,0,0,0,0,0,1,0,1,passed
122071989,16,0,0,0,0,2,1,89,1,passed
122227968,8,0,0,0,0,1,2,143,2,passed
136053581,42,0,25,0,0,19,1,491,1,passed
143310667,5,0,0,0,0,2,1,94,1,passed
143312272,53,0,25,0,0,21,1,562,1,passed
143313601,6,0,0,0,0,2,2,205,2,passed
143320822,34,0,8,0,0,4,2,237,2,passed
