tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
527527,163,0,360,17,0,8,5,1,5,failed
527552,60,0,0,0,0,1,1,2,1,failed
581221,112,0,104,1,0,7,1,7,1,passed
584200,109,0,123,1,0,4,1,6,1,passed
591223,124,0,101,3,0,4,2,8,2,failed
591263,0,0,8,0,0,1,1,1,1,failed
591381,8,0,0,0,0,2,2,9,2,failed
593763,38,0,0,0,0,3,1,5,1,failed
614664,7,0,0,0,0,1,1,5,1,passed
617812,183,0,769,5,0,12,1,17,1,passed
639539,226,0,764,3,0,18,3,20,3,passed
646998,3,0,0,0,0,1,1,7,1,passed
651492,95,0,211,2,0,12,1,20,1,failed
652573,2,0,27,0,0,4,2,4,2,failed
652833,4,0,2,0,0,2,2,6,2,passed
658510,34,0,87,0,0,5,1,18,1,failed
658560,2,0,0,0,0,1,1,13,1,failed
658659,0,0,18,0,0,2,1,8,1,failed
658698,0,0,2,0,0,1,1,7,1,failed
661700,0,0,2,0,0,1,1,7,1,passed
667606,23,0,32,0,0,4,2,19,2,passed
667919,27,0,0,0,0,2,1,13,1,passed
667965,2,0,0,0,0,1,1,1,1,passed
688684,140,0,107,0,0,11,1,35,1,failed
701081,140,0,107,0,0,11,1,35,1,passed
702683,140,0,107,0,0,11,1,35,1,passed
702751,140,0,107,0,0,11,1,35,1,passed
703272,0,0,0,0,0,1,1,8,1,failed
703288,0,0,0,0,0,1,1,8,1,passed
715845,237,0,230,0,0,13,1,42,1,passed
715898,110,0,0,0,0,4,1,25,1,passed
717268,15,0,0,0,0,2,1,25,1,passed
717298,12,0,0,0,0,3,4,27,4,failed
717323,12,0,0,0,0,3,4,27,4,passed
722588,19,0,32,0,0,4,1,31,1,passed
722604,4,0,0,0,0,2,1,15,1,passed
753870,45,0,41,0,0,5,2,48,2,failed
753965,0,0,4,0,0,1,1,20,1,passed
793947,8,0,9,0,0,2,1,27,1,passed
808587,49,0,62,0,0,12,2,55,2,failed
808655,49,0,62,0,0,12,2,55,2,failed
808692,49,0,62,0,0,12,2,55,2,failed
808767,49,0,62,0,0,12,2,55,2,failed
808860,49,0,62,0,0,12,2,55,2,failed
808901,49,0,62,0,0,12,2,55,2,failed
808929,0,0,8,0,0,1,1,8,1,failed
808959,0,0,4,0,0,1,1,9,1,failed
809026,4,0,0,0,0,1,1,18,1,failed
812825,4,0,0,0,0,1,1,18,1,failed
824111,16,0,8,0,0,5,2,45,2,failed
824172,0,0,8,0,0,1,1,11,1,failed
844996,2,0,0,0,0,1,1,9,1,passed
845030,6,0,0,0,0,2,1,41,1,failed
849268,0,0,10,0,0,3,1,22,1,passed
866893,16,0,0,0,0,1,1,30,1,passed
867188,2,0,0,0,0,1,1,31,1,failed
883079,2,0,0,0,0,1,1,31,1,passed
892588,212,0,97,2,0,11,1,69,1,passed
892707,0,0,3,0,0,1,1,19,1,passed
967933,6,0,0,0,0,1,1,37,1,passed
967965,4,0,0,0,0,1,1,9,1,passed
1042987,1,0,2,0,0,2,2,36,2,passed
1043003,2,0,0,0,0,1,1,27,1,passed
1043016,2,0,0,0,0,1,1,9,1,passed
1043050,2,0,0,0,0,1,1,10,1,passed
1051605,3,0,0,0,0,2,1,18,1,passed
1081355,7,0,17,0,0,4,2,36,2,passed
1081367,0,0,2,0,0,1,1,5,1,passed
1095042,9,0,0,0,0,2,2,31,2,passed
1113627,4,0,6,0,0,2,1,10,1,passed
1121755,13,0,15,0,0,6,1,53,1,passed
1128185,104,0,115,0,0,5,3,54,3,passed
1129996,54,0,34,0,0,5,1,57,1,passed
1130011,8,0,0,0,0,1,1,13,1,passed
1165956,72,0,235,0,0,8,5,108,5,passed
1188045,2,0,0,0,0,1,1,41,1,passed
1193074,2,0,0,0,0,1,1,42,1,passed
1210732,6,0,29,0,0,3,1,19,1,failed
1211058,0,0,13,0,0,1,1,5,1,passed
1211245,0,0,2,0,0,1,1,9,1,passed
1222507,18,0,0,0,0,2,2,34,2,passed
1253554,55,0,122,0,0,7,4,96,4,passed
