tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6185497,341,0,403,17,0,4,4,0,4,failed
6185518,148,0,509,0,0,15,2,4,2,failed
6185646,0,0,0,0,0,1,1,2,1,passed
6188078,90,0,36,0,0,6,1,6,1,passed
6310194,4,0,22,0,0,3,1,7,1,passed
6311029,2,0,2,0,0,2,1,7,1,passed
6311250,4,0,2,0,0,3,1,8,1,passed
7365636,587,0,972,17,0,15,10,0,10,passed
7650930,1,0,0,0,0,1,1,6,1,passed
7664040,5,0,0,0,0,1,2,7,2,passed
7666247,4,0,0,0,0,1,1,9,1,passed
7666311,2,0,0,0,0,1,1,5,1,passed
7666442,55,0,0,0,0,1,1,3,1,passed
8816246,2,0,0,0,0,2,1,3,1,passed
8816456,4,0,0,0,0,2,1,8,1,passed
10242692,11,0,22,0,0,3,1,12,1,passed
10246850,13,0,22,0,0,3,2,13,2,passed
10312475,2,0,0,0,0,1,1,7,1,passed
10326550,3,0,0,0,0,1,1,8,1,passed
10327115,4,0,0,0,0,1,1,9,1,passed
11556242,0,0,2,0,0,1,1,2,1,failed
11718646,0,0,28,0,0,2,1,8,1,failed
11749180,2,0,30,0,0,3,2,15,2,failed
11749401,0,0,2,0,0,1,1,3,1,failed
11762569,2,0,0,0,0,1,1,3,1,passed
12019525,2,0,0,0,0,1,1,10,1,passed
12019568,2,0,0,0,0,1,1,10,1,passed
12019602,2,0,0,0,0,1,1,10,1,passed
12019622,2,0,0,0,0,1,1,10,1,passed
12019631,2,0,0,0,0,1,1,10,1,passed
12019640,2,0,0,0,0,1,1,10,1,passed
12019663,2,0,0,0,0,1,1,10,1,passed
12019666,2,0,0,0,0,1,1,10,1,passed
12019681,2,0,0,0,0,1,1,10,1,passed
12019692,2,0,0,0,0,1,1,10,1,passed
12019701,2,0,0,0,0,1,1,10,1,passed
12019849,2,0,0,0,0,1,1,10,1,passed
12020330,2,0,0,0,0,1,1,10,1,passed
12515547,3,0,0,0,0,1,1,8,1,failed
12521019,8,0,0,0,0,1,2,9,2,passed
12556156,2,0,0,0,0,1,1,8,1,passed
14006594,2,0,0,0,0,0,1,1,1,passed
14595673,3,0,0,0,0,1,1,11,1,failed
14606510,7,0,0,0,0,2,1,16,1,passed
14606676,2,0,0,0,0,1,1,9,1,passed
15290896,7,0,0,0,0,3,1,17,1,passed
15290996,2,0,0,0,0,1,1,10,1,passed
16309991,2,0,0,0,0,1,1,2,1,passed
16449193,2,0,0,0,0,1,1,3,1,passed
16449237,2,0,0,0,0,1,1,11,1,passed
16719597,38,0,0,0,0,4,1,24,1,passed
16865886,47,0,0,0,0,1,2,15,2,passed
16871194,47,0,0,0,0,1,1,17,1,passed
16871277,2,0,0,0,0,1,1,12,1,passed
17969955,2,0,0,0,0,1,1,13,1,passed
17986752,40,0,0,0,0,5,2,40,2,passed
18847131,164,0,0,2,0,3,3,3,3,passed
19337881,152,0,0,2,0,1,1,6,1,passed
19338183,2,0,0,0,0,1,1,15,1,passed
20118460,47,0,0,0,0,3,2,23,2,passed
20226544,7,0,0,0,0,2,2,26,2,passed
20276007,18,0,0,0,0,1,1,7,1,passed
20276734,18,0,0,0,0,1,1,8,1,passed
20276843,54,0,0,0,0,5,1,42,1,passed
20277047,2,0,0,0,0,1,1,16,1,passed
20669621,14,0,0,0,0,1,1,16,1,passed
20669686,0,0,0,1,0,0,1,0,1,passed
20669983,11,0,0,0,0,1,1,17,1,passed
20670070,2,0,0,0,0,1,1,18,1,passed
20670090,2,0,0,0,0,1,1,19,1,passed
22168046,4,0,0,0,0,1,1,21,1,passed
24440676,105,0,0,0,0,5,1,42,1,passed
