tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
130021,16,0,3,0,0,4,2,73,2,passed
130341,38,0,6,0,0,5,2,78,2,passed
130596,7,0,0,0,0,1,1,17,1,passed
131801,59,0,0,0,1,5,2,84,2,passed
132006,6,0,0,0,0,2,1,14,1,passed
142628,19,0,0,0,1,2,1,65,1,passed
430572,43,0,0,0,0,2,2,34,2,passed
431217,42,0,0,0,0,1,1,12,1,passed
578086,72,0,6,0,0,6,2,98,2,passed
578122,101,0,20,0,0,8,1,125,1,passed
578393,66,0,1,0,0,6,3,101,3,passed
741008,14,0,0,1,0,3,3,70,3,passed
741044,2,0,0,0,0,1,1,28,1,passed
741113,26,0,0,0,0,1,1,29,1,passed
741118,26,0,0,0,0,1,1,30,1,passed
741379,8,0,0,0,0,4,1,38,1,passed
1927830,6,0,0,0,0,1,1,32,1,passed
1927834,2,0,0,0,0,1,1,33,1,passed
1938517,6,0,0,0,0,1,1,35,1,passed
4907967,57,0,0,0,0,2,1,42,1,passed
5094921,4,0,0,0,0,1,1,37,1,passed
5096630,4,0,0,0,0,1,1,38,1,passed
5096994,2,0,0,0,0,2,1,39,1,passed
5097227,40,0,0,0,0,2,1,43,1,passed
5098247,235,0,0,1,0,6,5,97,5,failed
5098289,246,0,0,1,0,8,1,137,1,failed
5098445,11,0,0,0,0,2,1,59,1,passed
5106236,55,0,17,0,0,3,1,91,1,failed
5108314,8,0,3,0,0,3,3,92,3,failed
5108758,2,0,0,0,0,1,1,41,1,passed
5108782,2,0,0,0,0,1,1,42,1,passed
5108985,13,0,0,0,0,5,1,98,1,passed
5109133,13,0,0,0,0,5,1,99,1,passed
5111037,15,0,4,0,0,6,2,120,2,passed
5136798,59,0,22,0,0,3,1,101,1,passed
6171438,6,0,15,0,0,2,1,9,1,passed
6188196,6,0,15,0,0,2,1,10,1,passed
9463841,161,0,0,1,3,6,5,76,5,passed
19213898,181,0,147,1,2,9,1,200,1,passed
19214653,4,0,0,0,0,1,1,62,1,passed
20332331,5,0,0,0,0,1,1,54,1,passed
30012753,48,6,0,2,0,6,5,112,5,passed
30083895,2,0,0,0,1,2,1,25,1,passed
30086272,61,0,90,0,0,7,1,113,1,passed
30091052,61,0,90,0,0,8,2,115,2,passed
30099578,0,0,0,0,0,1,1,16,1,passed
30183421,2,0,0,0,0,2,1,55,1,passed
30520189,0,0,0,0,0,2,1,19,1,passed
30524591,0,0,0,0,0,0,1,0,1,passed
32361549,0,0,0,0,0,2,1,19,1,passed
32362970,0,0,0,0,0,2,1,20,1,passed
32367822,10,0,0,1,0,4,1,90,1,passed
33212532,36,0,0,0,1,2,3,109,3,passed
36053465,5,0,0,0,0,1,1,55,1,passed
36053548,4,0,0,0,0,1,1,56,1,passed
43558831,4,0,0,0,0,1,1,24,1,passed
43613288,0,0,9,0,0,1,1,37,1,passed
43613758,54,0,46,0,0,6,1,80,1,passed
43618489,4,0,9,0,0,2,1,62,1,passed
43619359,54,0,46,0,0,6,1,83,1,passed
54050457,4,0,0,0,0,1,1,57,1,passed
54051120,4,0,0,0,0,1,1,58,1,passed
59469869,4,0,0,0,0,1,1,59,1,passed
