tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2077538,376,0,75,1,2,10,8,83,8,failed
2077582,20,0,0,0,0,1,1,2,1,failed
2077608,0,0,0,1,0,0,1,0,1,failed
2078000,5,0,6,0,0,3,3,38,3,failed
2078403,2,0,0,0,0,2,2,4,2,passed
2078429,16,0,0,0,0,1,1,4,1,passed
2078468,8,0,0,0,0,1,1,5,1,passed
2078710,2,0,0,0,0,1,1,7,1,passed
2091306,2,0,0,0,0,1,1,8,1,passed
2137458,2,0,0,0,0,1,1,9,1,passed
2373998,4,0,0,0,0,1,1,18,1,passed
2398150,4,0,0,0,0,1,1,19,1,passed
2398232,8,0,0,0,0,3,1,40,1,passed
2456237,3,0,18,0,0,2,1,27,1,passed
2460726,3,0,18,0,0,2,1,28,1,passed
2461073,11,0,23,0,0,3,1,28,1,passed
2482924,11,0,23,0,0,3,1,29,1,passed
2482979,5,0,0,0,0,3,1,43,1,passed
2565339,14,0,0,0,0,1,1,11,1,passed
2571112,14,0,0,0,0,1,1,15,1,passed
2664927,103,0,60,0,0,4,1,44,1,passed
2679363,1143,0,294,5,4,8,4,72,4,failed
2692884,8,0,0,0,0,3,1,47,1,passed
2692968,2,0,0,0,0,1,1,18,1,passed
2735347,10,0,4,0,0,4,2,59,2,passed
2735435,1001,0,173,5,3,8,1,110,1,passed
2735604,3,0,0,0,0,2,1,37,1,passed
2762711,5,0,1,0,0,3,2,55,2,passed
2930204,12,0,5,0,0,3,3,32,3,passed
2941336,12,0,5,0,0,3,1,35,1,passed
2941370,2,0,0,0,0,1,1,8,1,passed
2941420,4,0,0,0,0,3,1,58,1,passed
3179728,1,0,0,0,0,1,1,18,1,passed
3179883,15,0,0,0,0,3,3,63,3,passed
3629928,87,0,4,0,0,8,3,106,3,failed
3634130,2,0,0,0,0,1,1,33,1,failed
3634272,2,0,0,0,0,1,1,35,1,failed
3634556,8,0,2,0,0,4,1,62,1,failed
3635358,2,0,0,0,0,1,1,38,1,failed
3635474,3,0,1,0,0,2,1,50,1,passed
3637345,8,0,2,0,0,4,1,63,1,passed
3780311,30,0,0,0,0,3,1,34,1,passed
3792570,19,0,14,0,0,3,3,55,3,passed
3795864,206,0,0,0,0,3,1,77,1,passed
3829527,2,0,0,0,0,1,1,41,1,passed
3844401,2,0,0,0,0,1,1,42,1,passed
4070479,16,0,0,0,0,3,2,65,2,passed
4093925,10,0,4,0,0,3,3,31,3,passed
4096221,24,0,4,0,0,3,2,64,2,passed
4239628,34,0,8,0,0,4,1,71,1,passed
4307639,5,0,12,0,0,2,1,21,1,passed
4308960,5,0,12,0,0,2,1,22,1,passed
4366275,8,0,0,0,0,1,1,47,1,failed
4430262,8,0,0,0,0,1,1,48,1,passed
4430515,17,0,0,0,0,3,3,88,3,passed
4936722,55,0,0,0,0,1,1,52,1,passed
4990748,17,0,4,0,0,3,2,67,2,passed
5023524,21,0,12,0,0,3,1,70,1,passed
5028191,55,0,0,0,0,1,1,53,1,passed
5028249,17,0,4,0,0,3,1,69,1,passed
5028387,16,0,0,0,0,2,1,68,1,passed
5028471,21,0,12,0,0,3,1,74,1,passed
5028561,7,0,0,0,0,2,1,71,1,passed
5791655,4,0,6,0,0,2,1,34,1,passed
5938894,4,0,6,0,0,2,1,35,1,passed
6146036,6,0,4,0,0,3,2,41,2,passed
6382942,13,0,0,0,0,1,1,30,1,passed
6383053,2,0,0,0,0,1,1,45,1,passed
6445826,44,0,18,0,0,6,3,115,3,passed
6452240,44,0,18,0,0,6,1,118,1,passed
6452511,8,0,0,0,0,2,1,62,1,passed
6453211,5,0,0,0,0,1,1,60,1,passed
6453298,2,0,0,0,0,1,1,61,1,passed
6461128,2,0,0,0,0,1,1,62,1,passed
6461138,2,0,0,0,0,1,1,63,1,passed
7041368,2,0,0,0,0,1,1,22,1,passed
7045112,2,0,0,0,0,1,1,64,1,passed
7055074,12,0,0,0,0,1,1,64,1,passed
7067737,2,0,0,0,0,1,1,23,1,passed
7067762,5,0,0,0,0,1,1,34,1,passed
7067824,2,0,0,0,0,1,1,65,1,passed
7067836,12,0,0,0,0,1,1,67,1,passed
7067995,5,0,0,0,0,2,1,64,1,passed
7365226,32,0,16,0,0,4,1,93,1,passed
7423381,1,0,0,0,0,1,1,10,1,passed
7430092,32,0,16,0,0,4,1,98,1,passed
7430365,6,0,0,0,0,2,1,65,1,passed
7430978,20,0,0,0,0,1,1,68,1,passed
7431449,2,0,0,0,0,1,1,37,1,passed
7547316,61,0,0,0,0,4,1,52,1,failed
7753228,5,0,0,0,0,2,1,32,1,failed
9718575,3,0,0,0,0,2,1,76,1,passed
10250410,3,0,41,0,0,3,1,35,1,passed
10298008,3,0,41,0,0,3,1,36,1,passed
10298118,7,0,0,0,0,2,1,68,1,passed
10320833,3,0,0,0,0,1,1,15,1,passed
10636583,3,0,0,0,0,1,1,16,1,passed
10996665,4,0,41,0,0,3,3,62,3,passed
10998805,1,0,0,0,0,2,1,77,1,passed
11017836,5,0,0,0,0,2,1,69,1,passed
11018002,4,0,35,0,0,3,1,65,1,passed
11018800,4,0,5,0,0,2,1,52,1,passed
11018822,1,0,0,0,0,2,1,78,1,passed
11019085,8,0,0,0,0,2,1,70,1,passed
11071605,69,0,2,0,0,7,3,132,3,failed
11309208,6,0,4,0,0,2,1,58,1,failed
11426038,6,0,4,0,0,2,1,58,1,failed
11426153,2,0,0,0,0,1,1,54,1,failed
11426617,8,0,0,0,0,1,1,77,1,failed
13545520,12,0,0,0,0,2,3,32,3,failed
13641065,8,0,0,0,0,3,1,63,1,passed
13641180,9,0,0,0,0,2,1,73,1,passed
13928139,87,0,18,0,0,3,4,113,4,failed
13971821,73,0,18,0,0,2,1,68,1,failed
13972037,8,0,0,0,0,3,1,135,1,failed
13972138,6,0,0,0,0,1,1,79,1,failed
14210658,3,0,0,0,0,1,1,59,1,failed
