tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
162437,44,0,25,0,0,3,3,58,3,failed
171823,181,0,125,2,0,4,3,62,3,failed
171825,16,0,0,0,0,1,1,56,1,failed
171875,0,0,0,0,0,1,1,40,1,failed
171877,0,0,0,0,0,1,1,41,1,failed
250086,165,0,35,0,0,4,1,72,1,failed
250095,0,0,10,0,0,2,1,58,1,failed
250407,0,0,0,1,0,0,1,0,1,failed
252481,11,0,5,0,0,3,1,70,1,failed
255016,8,0,17,0,0,3,1,71,1,failed
256915,3,0,0,0,0,1,1,7,1,failed
292007,49,0,78,0,0,3,3,72,3,failed
292018,0,0,0,0,0,1,1,3,1,failed
435224,4,0,0,0,0,3,1,71,1,failed
606236,2,0,0,0,0,1,1,3,1,failed
606549,27,0,29,0,0,3,2,76,2,failed
606611,2,0,0,0,0,2,1,74,1,failed
606668,0,0,5,0,0,1,1,46,1,failed
606702,0,0,0,0,0,1,1,1,1,failed
606722,0,0,5,0,0,2,2,49,2,passed
617386,7,0,20,0,0,2,1,75,1,passed
617451,2,0,0,0,0,2,1,77,1,passed
623888,167,0,429,0,0,3,5,84,5,passed
623894,0,0,0,0,0,1,1,54,1,passed
623919,0,0,1,0,0,1,1,1,1,passed
635688,33,0,9,0,0,4,3,90,3,passed
636116,0,0,0,0,0,2,1,60,1,passed
636609,176,0,102,0,0,3,2,94,2,passed
641567,45,0,18,0,0,3,1,96,1,passed
653652,6,0,0,0,0,2,1,63,1,passed
658761,2,0,0,0,0,2,1,90,1,passed
673948,6,0,0,0,0,2,1,91,1,passed
926223,0,0,43,0,0,1,1,59,1,passed
926317,12,0,0,0,0,2,1,82,1,passed
952563,26,0,85,0,0,3,4,104,4,passed
952593,1,0,0,0,0,2,1,10,1,passed
953650,26,0,36,0,0,2,1,91,1,passed
1552035,4,0,19,0,0,3,1,108,1,passed
1595939,49,0,0,0,0,2,1,98,1,passed
1751728,27,0,0,0,0,1,1,84,1,failed
1931844,50,0,85,0,0,2,1,97,1,passed
2831874,0,0,13,0,0,1,1,2,1,failed
2831896,12,0,0,0,0,1,1,85,1,failed
2832002,0,0,2,0,0,2,2,69,2,passed
2832164,2,0,10,0,0,3,1,113,1,passed
2832243,27,0,0,0,0,1,1,88,1,passed
2832489,2,0,0,0,0,1,1,90,1,passed
2832626,12,0,53,0,0,3,3,118,3,passed
2832648,50,0,85,0,0,2,1,107,1,passed
2833147,7,0,52,0,0,3,2,123,2,passed
2833162,0,0,2,0,0,2,1,76,1,passed
2833284,10,0,97,0,0,3,1,126,1,passed
2833564,3,0,6,0,0,3,1,127,1,passed
4678763,4,0,0,0,0,1,1,97,1,passed
4679129,2,0,20,0,0,2,1,112,1,passed
4679148,0,0,20,0,0,1,1,75,1,passed
4679366,0,0,10,0,0,1,1,76,1,passed
4679713,33,0,0,0,0,1,1,99,1,passed
4680104,4,0,12,0,0,3,1,133,1,passed
4689553,44,0,27,0,0,2,1,117,1,passed
4691256,42,0,131,0,0,2,2,118,2,passed
4850564,28,0,91,0,0,4,2,140,2,failed
7819834,20,0,15,0,0,2,1,121,1,failed
9414498,0,0,0,0,0,1,1,4,1,passed
9448487,0,0,0,0,0,1,1,83,1,passed
9449260,0,0,0,0,0,1,1,84,1,passed
9452969,2,0,0,0,0,2,1,91,1,passed
16637131,1,0,2,0,0,2,1,130,1,failed
17385985,4,0,0,0,0,1,2,9,2,failed
17386046,0,0,0,0,0,1,1,5,1,passed
17386189,1,0,2,0,0,2,1,131,1,passed
17386212,0,0,0,0,0,1,1,86,1,passed
17386495,8,0,2,0,0,3,1,156,1,passed
17437667,2,0,0,0,0,2,1,140,1,passed
18248682,11,3,17,0,0,2,1,133,1,passed
18311573,11,0,17,0,0,2,1,135,1,passed
18311838,0,0,0,0,0,1,1,89,1,passed
18311868,2,0,0,0,0,1,1,117,1,passed
18320980,6,0,0,0,0,1,1,118,1,passed
18383547,6,0,0,0,0,1,1,119,1,passed
18383725,2,0,9,0,0,3,3,164,3,passed
18587906,7,0,10,0,0,2,1,141,1,passed
18607502,7,0,10,0,0,2,1,142,1,passed
41666086,2,0,0,0,0,2,2,151,2,passed
41672124,84,0,42,0,0,3,6,171,6,passed
57589173,434,0,862,4,0,4,3,160,3,failed
