tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
134871,19,0,0,0,0,3,2,77,2,passed
140377,14,0,0,0,0,3,1,76,1,passed
187402,8,0,0,0,0,3,4,71,4,passed
350422,2,0,0,0,0,1,1,16,1,passed
350437,16,0,0,0,0,1,1,51,1,passed
363313,119,0,0,0,0,2,3,24,3,passed
375672,10,0,2,0,0,2,3,20,3,passed
399152,2,0,0,0,0,1,1,3,1,passed
474790,4,0,0,0,0,1,1,77,1,passed
476374,2,0,0,0,0,1,1,14,1,passed
503916,0,0,0,0,0,1,1,3,1,passed
855003,1,0,6,0,0,3,4,64,4,failed
922039,3,0,0,0,0,1,1,23,1,failed
949639,52,0,70,2,0,4,1,161,1,failed
978920,2,0,0,0,0,1,1,28,1,failed
1027556,9,0,5,0,0,2,1,42,1,failed
1032665,7,0,0,0,0,1,1,85,1,failed
1076382,2,0,0,0,0,1,1,15,1,failed
1114779,0,0,0,0,0,1,1,10,1,failed
1120861,6,0,10,0,0,7,2,142,2,failed
1161441,0,0,0,0,0,1,1,13,1,failed
1162098,6,0,0,0,0,2,1,79,1,failed
1162128,3,0,3,0,0,4,3,75,3,failed
1162143,0,0,0,0,0,1,1,14,1,passed
1162215,0,0,4,0,0,1,1,4,1,passed
1186877,10,0,11,0,0,6,1,133,1,passed
1186893,2,0,0,0,0,1,1,18,1,passed
8877335,14,0,13,0,0,4,1,77,1,failed
8877496,2,0,22,0,0,4,4,95,4,failed
8878873,0,0,2,0,0,1,1,54,1,passed
10275725,2,0,0,0,0,1,1,47,1,passed
10278183,2,0,0,0,0,1,1,48,1,passed
16154954,1,0,0,0,0,1,1,12,1,passed
16155662,8,0,0,0,0,2,2,98,2,passed
16171216,179,0,364,1,0,25,6,307,6,passed
16192540,0,0,0,0,0,1,1,22,1,passed
17033364,2,0,4,0,0,4,3,132,3,passed
17042523,8,0,0,0,0,1,1,25,1,passed
18723284,6,0,0,0,0,2,1,37,1,passed
18741130,3,0,22,0,0,3,1,128,1,passed
18875360,1,0,0,0,0,1,1,17,1,passed
20845553,28,4,0,0,1,4,3,185,3,passed
25916301,2,0,0,0,0,1,1,79,1,failed
25917937,12,0,2,0,0,4,1,154,1,passed
28159452,8,0,7,0,0,5,2,108,2,passed
29464439,126,0,142,2,0,5,2,75,2,failed
29483583,3,0,0,0,0,1,1,21,1,failed
29486827,13,1,0,0,0,2,1,35,1,passed
29554957,11,0,0,0,0,2,1,79,1,passed
30522156,8,0,17,0,0,3,1,54,1,passed
32844751,21,0,2,0,0,8,1,134,1,passed
33202215,0,0,0,0,0,1,1,26,1,passed
43913548,21,0,0,1,1,1,2,89,2,failed
43914794,17,0,0,0,0,1,1,8,1,failed
98300483,25,1,5,0,1,10,4,262,4,passed
99016736,0,0,0,0,0,1,1,28,1,passed
104456623,20,0,5,0,0,10,1,266,1,failed
104481402,65,5,12,0,0,9,6,193,6,passed
105912019,68,0,0,0,0,2,1,57,1,passed
107084430,24,2,2,0,0,9,1,171,1,passed
107090142,2,0,0,0,0,2,1,78,1,passed
109798630,3,1,0,0,0,2,1,107,1,passed
122146028,2,0,0,0,0,1,1,30,1,passed
129364757,2,0,0,0,0,1,1,31,1,failed
129647224,29,0,0,1,0,0,1,9,1,failed
129653838,20,0,0,0,0,1,1,8,1,passed
129654332,2,0,21,0,0,2,1,65,1,failed
129654540,6,0,0,0,0,1,1,56,1,failed
129655002,0,0,0,0,0,1,1,32,1,failed
129655622,2,0,14,0,0,2,1,82,1,failed
130097187,12,0,24,0,0,2,2,66,2,failed
131881126,34,0,4,0,0,2,1,68,1,failed
141504660,26,0,24,0,0,2,1,69,1,failed
141505912,4,3,2,0,0,3,3,150,3,passed
141506351,2,0,0,0,0,1,1,29,1,passed
