tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4286063,842,0,1748,88,74,14,21,6,21,passed
4286396,49,0,4,0,0,3,2,9,2,passed
4286431,8,0,0,0,0,1,1,4,1,passed
4286796,40,0,3,0,1,2,3,6,3,passed
4286824,2,0,0,0,0,1,1,6,1,passed
4289992,23,0,97,0,0,2,2,3,2,passed
4290008,15,0,0,0,0,1,1,7,1,passed
4290278,19,0,6,0,0,5,1,14,1,passed
4293425,33,0,0,0,0,3,1,10,1,passed
4293533,67,0,0,0,0,1,2,5,2,passed
4300002,25,0,39,0,0,2,1,10,1,passed
4313901,55,0,117,0,0,3,3,11,3,passed
4315987,22,0,33,0,0,4,2,18,2,failed
4315992,3,0,0,0,0,1,1,9,1,failed
4316037,2,0,0,0,0,1,1,10,1,failed
4316052,6,0,0,0,0,1,1,11,1,failed
4316158,16,0,0,0,0,1,1,12,1,failed
4316167,2,0,0,0,0,1,1,13,1,failed
4316232,21,0,0,0,0,1,1,14,1,failed
4316251,2,0,0,0,0,1,1,2,1,failed
4316329,1,0,0,0,0,1,1,7,1,failed
4316432,3,0,0,0,0,1,1,15,1,failed
4317758,27,0,0,1,0,1,1,5,1,failed
4317773,2,0,0,0,0,1,1,16,1,failed
4332694,4,0,0,0,0,1,1,8,1,passed
4332769,4,0,0,0,0,1,1,9,1,passed
4377391,57,0,0,1,0,1,1,3,1,passed
4378945,57,0,0,0,1,1,1,4,1,passed
4382887,125,0,35,2,0,6,5,35,5,passed
4382954,4,0,0,0,0,1,1,6,1,failed
4383013,1,0,4,0,0,2,1,15,1,passed
4384001,47,0,0,1,0,4,1,38,1,failed
4384074,2,0,0,0,0,1,1,19,1,passed
4385355,64,0,72,0,0,4,4,35,4,failed
4385648,92,0,0,0,0,3,1,43,1,failed
4385657,2,0,0,0,0,1,1,3,1,failed
4386333,26,0,23,0,0,5,2,29,2,failed
4386958,24,0,15,0,0,3,2,27,2,failed
4387079,0,0,8,0,0,1,1,13,1,passed
4387120,3,0,0,0,0,1,1,22,1,passed
4387124,2,0,0,0,0,1,1,4,1,passed
4387697,17,0,3,0,0,2,1,10,1,passed
4387752,39,0,0,0,0,2,1,25,1,passed
4388046,2,0,0,0,0,1,1,9,1,failed
4388408,21,0,25,0,0,7,1,45,1,passed
4402410,220,0,420,2,0,4,1,32,1,passed
4404127,8,0,27,0,0,2,1,1,1,passed
4404724,71,0,125,4,0,4,1,26,1,passed
4405108,10,0,0,1,0,1,1,15,1,passed
4405203,35,0,0,0,0,1,1,24,1,passed
4405251,1,0,0,0,0,1,1,25,1,passed
4405325,8,0,2,0,0,3,1,37,1,passed
4405334,1,0,0,0,0,1,1,26,1,passed
4405338,2,0,0,0,0,1,1,27,1,passed
