tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
9007339,149,0,66,21,0,1,2,0,2,passed
9008310,5,0,0,0,0,1,1,2,1,passed
9948713,10,0,15,2,0,1,1,1,1,passed
10030859,14,0,0,0,0,2,2,3,2,passed
10030983,10,0,0,0,0,1,1,4,1,passed
10031327,17,0,0,0,0,1,1,1,1,passed
10031955,46,0,0,0,0,4,1,1,1,passed
10034382,16,0,11,2,0,2,1,6,1,passed
10034427,2,0,0,0,0,1,1,2,1,passed
10108149,21,0,0,0,0,5,2,5,2,passed
10450012,45,0,48,5,0,2,1,6,1,passed
10450046,2,0,0,0,0,1,1,3,1,passed
10450343,2,0,0,0,0,1,1,7,1,passed
10485387,4,0,11,0,0,2,1,2,1,passed
10485649,4,0,11,0,0,2,1,3,1,passed
10485808,2,0,6,0,0,2,1,3,1,passed
10486020,6,0,0,0,0,1,1,2,1,passed
10486108,2,0,6,0,0,2,1,4,1,passed
10486160,6,0,0,0,0,1,1,3,1,passed
10510005,20,0,11,3,0,2,1,8,1,passed
10511595,20,0,11,3,0,2,1,9,1,passed
10529440,4,0,0,0,0,1,1,3,1,passed
10561642,17,0,11,2,0,2,1,10,1,passed
10561826,20,0,10,0,0,3,1,12,1,passed
10564328,2,0,0,0,0,1,1,4,1,passed
10565588,45,0,30,5,0,2,1,12,1,passed
10616831,85,0,41,6,0,2,1,13,1,passed
10621873,34,0,30,4,0,2,1,14,1,passed
10621959,9,0,0,0,0,1,1,1,1,passed
10621986,2,0,0,0,0,1,1,5,1,passed
10624803,14,0,0,0,0,2,2,1,2,passed
10705238,34,0,6,1,1,2,1,15,1,passed
10705590,15,0,0,0,0,4,1,3,1,passed
10723827,21,0,20,2,0,2,1,15,1,passed
10745217,21,0,20,2,0,2,1,17,1,passed
10903715,4,0,0,0,0,1,1,2,1,passed
10905113,4,0,0,0,0,1,1,3,1,passed
10921496,4,0,0,0,0,1,1,4,1,passed
10921536,4,0,0,0,0,1,1,5,1,passed
10930282,23,0,15,0,2,3,2,25,2,passed
10967344,2,0,2,0,0,2,1,2,1,passed
10967457,2,0,2,0,0,2,1,3,1,passed
10967479,2,0,0,0,0,1,1,4,1,passed
10976701,40,0,27,2,0,2,1,19,1,passed
11005751,1,0,0,0,0,1,1,1,1,passed
11049661,4,0,16,0,0,2,1,2,1,passed
11105183,4,0,16,0,0,2,1,3,1,passed
11138462,3,0,0,0,0,1,1,5,1,passed
11139803,3,0,0,0,0,1,1,6,1,passed
11154831,22,0,19,2,0,2,1,20,1,failed
11155048,12,0,6,0,0,2,1,21,1,failed
11155207,2,0,0,0,0,1,1,1,1,passed
11185009,13,0,0,1,0,0,1,0,1,passed
11185026,4,0,0,0,0,1,1,22,1,passed
11185308,51,0,139,2,0,1,1,3,1,passed
11192809,8,0,0,0,0,1,1,23,1,passed
11221070,6,0,0,0,0,1,1,5,1,passed
11334347,6,0,0,0,0,1,1,6,1,passed
11336536,4,0,0,0,0,2,1,9,1,passed
11410194,46,0,119,2,0,3,2,6,2,passed
11415353,46,0,45,2,0,2,1,8,1,passed
11623939,2,0,0,0,0,1,1,24,1,passed
11939201,2,0,0,0,0,1,1,4,1,passed
11948978,2,0,0,0,0,1,1,5,1,passed
12481192,20,0,13,2,0,2,1,8,1,passed
12484466,2,0,0,0,0,1,1,25,1,passed
12485519,22,0,13,2,0,3,1,33,1,passed
12871860,4,0,0,0,0,2,1,14,1,passed
15604530,4,0,0,0,0,2,1,1,1,passed
15605540,4,0,0,0,0,2,1,2,1,passed
15606466,52,0,26,4,0,2,1,32,1,passed
19804227,4,0,0,0,0,2,1,3,1,passed
19804261,0,0,0,0,0,1,1,4,1,passed
48226941,0,0,0,0,0,1,2,5,2,passed
48227067,9,0,0,0,0,2,1,15,1,passed
55727190,2,0,0,0,0,1,1,6,1,passed
55752112,2,0,0,0,0,1,1,7,1,passed
61162719,2,0,58,0,0,7,1,7,1,passed
61165815,2,0,58,0,0,7,1,8,1,passed
61166481,6,3,0,0,0,2,1,16,1,passed
