tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1306833,110,0,22,6,0,24,17,254,17,failed
1307555,15,0,0,0,0,2,1,3,1,failed
1307633,26,0,0,0,0,1,1,2,1,passed
1308372,2,0,0,0,0,2,2,3,2,passed
1314898,0,0,2,0,0,1,1,5,1,passed
1314979,3,0,0,0,0,1,1,3,1,passed
1315434,0,0,3,0,0,2,2,12,2,passed
1316786,29,0,0,0,0,2,1,71,1,failed
1316816,0,0,1,0,0,1,1,7,1,passed
1347419,83,0,102,2,0,8,2,101,2,passed
1347625,11,0,2,0,0,2,1,21,1,passed
1352634,94,0,102,2,0,9,1,113,1,passed
1368841,0,0,0,1,0,0,1,0,1,passed
1404421,0,0,0,0,0,1,1,2,1,passed
1413053,0,0,0,0,0,1,1,1,1,passed
1413360,188,0,0,0,0,4,2,44,2,passed
1481099,188,0,0,1,0,6,1,63,1,failed
1481199,1,0,0,0,0,1,1,6,1,failed
1481303,1,0,0,0,0,1,1,6,1,failed
1489945,0,0,0,0,0,0,1,0,1,passed
1489958,0,0,0,0,0,0,1,0,1,passed
1489972,0,0,0,0,0,0,1,0,1,passed
1512662,36,0,0,0,0,4,1,42,1,passed
1512679,6,0,0,0,0,2,1,21,1,passed
1512682,3,0,0,0,0,1,1,8,1,passed
1569759,18,0,17,1,1,5,1,96,1,passed
1581373,64,0,17,1,3,9,2,130,2,passed
1605348,76,0,0,0,0,2,1,74,1,passed
1611416,2,0,0,0,0,1,1,24,1,failed
1611465,0,0,2,0,0,1,1,14,1,passed
1704815,9,1,0,0,0,1,1,10,1,passed
1711173,0,0,0,0,0,0,1,0,1,passed
1711945,115,0,0,1,0,4,2,109,2,passed
1732572,0,0,0,0,0,0,1,0,1,passed
1777621,90,0,0,4,0,8,10,71,10,passed
1828886,0,0,0,0,0,1,1,35,1,passed
1836014,0,0,0,0,0,2,1,54,1,passed
1856604,2,0,0,0,0,1,1,18,1,passed
1934133,0,0,0,0,0,0,1,0,1,passed
1934334,2,0,0,0,0,1,1,23,1,passed
2014652,8,0,0,1,0,2,1,64,1,passed
2086851,14,0,11,0,0,5,2,69,2,passed
2251585,15,0,12,0,0,4,2,32,2,passed
2273563,0,0,0,0,0,1,1,6,1,passed
2284730,2,0,13,0,0,2,1,7,1,passed
2285134,4,0,7,0,0,2,1,8,1,passed
2297600,10,0,0,1,0,1,1,59,1,passed
2369589,0,0,0,0,0,8,1,96,1,passed
2412440,0,1,0,0,0,8,1,1,1,passed
2420602,0,0,0,0,0,8,1,2,1,passed
2428418,91,0,32,0,0,4,4,71,4,passed
2453280,233,0,346,12,4,25,1,441,1,passed
2456829,12,0,0,1,0,0,1,0,1,failed
2456867,14,0,0,0,0,1,2,1,2,passed
2492023,16,0,0,0,0,2,1,104,1,passed
2503960,16,0,0,0,0,2,1,104,1,passed
2504171,7,0,0,0,0,1,1,85,1,failed
2504427,12,0,0,0,0,2,1,115,1,passed
2504484,62,0,0,0,0,1,1,105,1,passed
2504568,11,0,0,0,0,2,1,106,1,passed
2519028,4,0,0,0,0,1,1,107,1,passed
2523790,30,0,0,3,1,3,1,203,1,passed
2537016,2,0,11,1,0,1,1,40,1,failed
2537071,3,0,0,0,0,1,1,41,1,failed
2545990,3,0,0,0,0,1,1,41,1,passed
2560019,0,0,14,1,0,1,1,1,1,passed
2583031,18,0,34,0,0,7,4,134,4,passed
2583189,10,0,21,1,0,1,1,20,1,passed
2583343,2,0,0,0,0,1,1,20,1,passed
2599181,18,0,70,1,0,4,1,25,1,failed
2599409,0,0,2,0,0,1,1,14,1,passed
2600270,33,0,52,3,0,10,1,87,1,passed
2600743,33,0,52,0,3,10,1,88,1,passed
2614523,32,0,119,2,0,10,1,167,1,passed
2614656,2,0,0,0,0,1,1,5,1,passed
2651325,0,0,6,0,0,3,1,26,1,passed
2652082,0,0,6,0,0,3,1,26,1,passed
2652236,0,0,0,0,0,1,1,4,1,passed
2708380,0,0,0,0,0,1,1,22,1,passed
2736067,0,0,0,0,0,1,1,2,1,failed
2802337,387,0,91,16,0,22,1,375,1,passed
2824601,3,0,0,0,0,1,1,112,1,passed
2824626,0,0,0,0,0,1,1,5,1,passed
2858278,3,0,0,0,0,2,2,11,2,passed
2918584,0,0,0,0,0,1,1,3,1,passed
