tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
24107717,0,0,0,0,0,1,1,9,1,passed
24107742,0,0,0,0,0,1,1,10,1,passed
24107794,0,0,0,0,0,1,1,11,1,failed
24107838,0,0,0,0,0,1,1,11,1,passed
24113313,437,0,39,1,0,22,1,893,1,failed
24113752,437,0,39,1,0,23,1,906,1,passed
24115107,668,0,0,0,0,2,1,45,1,passed
24115271,122,0,0,0,0,9,1,887,1,passed
24121938,0,0,0,0,0,1,1,626,1,passed
24134402,4,0,0,0,0,1,1,10,1,passed
24216357,0,0,20,0,0,1,1,2,1,passed
24288937,0,0,20,0,0,1,1,3,1,passed
24294329,0,0,0,0,0,16,1,995,1,passed
24306523,0,0,3,0,0,1,1,7,1,passed
24307107,15,0,0,0,0,2,1,82,1,passed
24323268,0,0,3,0,0,1,1,8,1,passed
24323278,15,0,0,0,0,2,1,83,1,passed
24326665,10,0,14,0,0,3,1,13,1,passed
24336836,10,0,14,0,0,3,1,14,1,passed
24345759,1270,0,76,1,0,57,1,1589,1,passed
24348118,0,0,28,0,0,1,1,20,1,passed
24352606,0,0,0,0,0,1,1,18,1,passed
24353075,0,0,0,0,0,2,1,644,1,failed
24353641,0,0,0,0,0,1,1,630,1,failed
24354375,0,0,0,0,0,1,1,631,1,failed
24372946,0,0,0,0,0,1,1,20,1,failed
24374140,0,0,29,0,0,1,1,1,1,failed
24375236,0,0,185,1,0,6,1,25,1,failed
24375372,0,0,0,0,0,2,1,648,1,failed
24376977,0,0,11,0,0,1,1,21,1,passed
24377557,0,0,10,0,0,1,1,39,1,passed
24380580,0,0,19,0,0,2,2,33,2,passed
24380923,2,0,0,0,0,1,1,29,1,passed
24380953,4,0,0,0,0,1,1,30,1,passed
24382849,2,0,187,1,0,11,1,756,1,passed
24382872,0,0,47,0,0,2,1,35,1,failed
24384761,0,0,45,0,0,1,1,56,1,passed
24385886,0,0,45,0,0,1,1,57,1,failed
24386573,1296,0,355,2,0,69,1,1719,1,passed
24399289,75,0,193,0,0,8,1,371,1,passed
24474935,0,0,0,0,0,1,1,634,1,passed
24475778,2,0,279,1,0,14,1,825,1,failed
24476553,6,0,0,0,0,1,1,33,1,passed
24478722,0,0,25,0,0,3,1,54,1,failed
24480045,79,0,0,1,0,2,1,48,1,failed
24482567,6,0,0,0,0,1,1,34,1,passed
24482818,6,0,0,0,0,1,1,35,1,passed
24570397,90,0,12,0,0,2,1,6,1,failed
24572423,44,0,45,1,0,2,1,69,1,passed
24572580,0,0,2,0,0,1,1,4,1,passed
24573011,0,0,0,0,0,1,1,637,1,passed
24603711,31,0,22,0,0,2,1,10,1,passed
24648229,26,0,0,0,0,1,1,9,1,failed
24648254,44,0,45,1,0,2,1,70,1,passed
24653127,125,0,29,1,0,2,1,21,1,passed
24728957,17,0,8,0,0,2,1,12,1,failed
24734927,4,0,6,0,0,2,1,13,1,passed
24736965,0,0,0,0,0,1,1,33,1,passed
24738872,0,0,50,1,0,0,1,0,1,passed
24768347,0,0,0,0,0,1,1,34,1,passed
24768368,125,0,29,1,0,2,1,22,1,passed
24812875,0,0,60,6,0,1,1,1,1,passed
24856737,377,0,189,2,0,5,1,54,1,failed
24856770,0,0,0,0,0,2,1,606,1,passed
24875065,112,0,42,0,0,2,1,14,1,passed
24881693,0,0,92,7,0,0,1,2,1,passed
24901198,0,0,34,0,0,2,1,121,1,passed
24904391,0,0,6,0,0,1,1,120,1,passed
24926864,22,0,0,0,0,2,1,42,1,passed
25101066,2,0,0,0,0,1,1,26,1,failed
25105249,0,0,4,0,0,1,1,19,1,failed
25106167,0,0,0,0,0,1,1,29,1,failed
25172331,0,0,13,0,0,1,1,20,1,failed
25175917,0,0,3,0,0,1,1,21,1,failed
25180225,0,0,0,0,0,2,2,657,2,passed
25185497,72,0,0,0,0,5,1,853,1,failed
25256326,3,0,0,0,0,1,1,58,1,passed
25463418,105,0,21,0,0,2,1,39,1,passed
25542928,8,0,69,0,0,5,1,186,1,passed
25543154,105,0,21,0,0,2,1,40,1,passed
25544732,8,0,69,0,0,5,1,187,1,passed
25628060,0,0,0,0,0,17,1,1016,1,passed
25629891,0,0,0,0,0,16,1,1013,1,passed
25633958,107,0,90,0,0,8,1,243,1,passed
25635608,854,0,703,11,0,46,1,1600,1,failed
25796702,6102,0,1207,77,1,55,1,1511,1,passed
25816428,4,0,16,0,0,2,1,188,1,passed
25846907,4,0,16,0,0,2,1,189,1,passed
25932301,2,0,0,0,0,1,1,16,1,passed
25986308,0,0,4,0,0,13,6,938,6,passed
25996462,71,0,22,0,0,3,1,251,1,passed
25997454,0,0,42,0,0,6,1,35,1,passed
26022253,0,0,0,19,0,7,3,0,3,passed
26061951,2,0,0,0,0,13,1,956,1,passed
26318172,11,0,13,0,0,2,1,4,1,passed
26318412,0,0,0,0,1,0,1,3,1,passed
26334892,8,0,4,0,0,2,1,64,1,failed
26395616,12,0,0,0,0,1,1,23,1,passed
26400543,44,0,32,0,0,7,1,191,1,passed
26400555,11,0,13,0,1,2,1,9,1,passed
26400578,45,0,20,1,0,2,1,29,1,passed
26505736,0,0,0,19,0,0,1,3,1,passed
26520895,6,0,0,0,0,9,1,100,1,passed
26604028,6,0,0,0,0,9,1,101,1,passed
26689887,0,0,19,0,0,1,1,6,1,passed
26702416,0,0,0,0,0,1,1,84,1,passed
26788751,0,0,4,0,0,6,1,946,1,passed
26793763,0,0,2,0,0,4,1,739,1,failed
26821323,0,0,21,0,0,1,1,1,1,failed
26874365,0,0,5,0,0,1,1,5,1,failed
26877324,0,0,0,0,0,1,1,3,1,failed
26880562,2,0,0,0,0,1,1,30,1,passed
27011569,0,0,10,0,0,1,1,126,1,passed
