tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
61948782,198,0,103,1,0,3,5,76,5,passed
61992308,163,0,79,1,0,3,1,81,1,passed
65510362,4,0,0,0,0,3,1,25,1,passed
69846989,39,0,60,0,0,5,1,63,1,passed
70010475,4,0,0,0,0,2,1,26,1,passed
74602250,7,0,6,0,0,3,1,100,1,passed
74677235,4,2,0,0,0,2,1,27,1,passed
75868057,6,0,0,0,0,3,1,88,1,passed
94026754,45,0,3,0,0,4,1,85,1,passed
94117651,45,0,3,0,0,4,1,86,1,passed
94491875,6,0,0,0,0,3,1,91,1,passed
