tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
8001989,1500,0,1002,21,2,37,44,57,44,failed
8002079,0,0,0,0,0,1,1,2,1,failed
8002132,2,0,0,0,0,1,1,1,1,failed
8002335,5,0,0,1,0,3,1,38,1,failed
8002901,13,0,0,0,3,5,1,25,1,failed
8002933,0,0,0,0,0,1,1,2,1,failed
8002984,13,0,0,0,0,1,1,4,1,failed
8003049,0,0,0,0,0,1,1,1,1,failed
8003445,4,0,0,0,0,2,1,4,1,failed
8012835,64,0,38,1,0,4,1,13,1,failed
8012902,4,0,0,1,0,0,1,3,1,failed
8012942,4,0,0,0,0,2,1,5,1,failed
8013124,4,0,0,0,0,1,1,6,1,failed
8013312,2,0,0,0,0,1,1,7,1,failed
8014279,4,0,0,0,0,2,1,8,1,failed
8014561,4,0,0,0,0,2,1,9,1,failed
8014866,2,0,0,0,0,1,1,35,1,failed
8014999,0,0,0,0,0,1,1,6,1,failed
8015322,21,0,0,0,0,1,1,10,1,failed
8015474,0,0,2,0,0,1,1,7,1,failed
8015793,5,0,2,0,0,2,1,10,1,failed
8016816,4,0,0,0,0,2,1,12,1,failed
8017373,7,0,0,0,0,2,2,13,2,failed
8017716,10,0,0,0,0,1,1,6,1,failed
8024084,4,0,5,0,0,4,1,12,1,failed
8024548,2,0,0,0,0,2,1,14,1,failed
8024602,0,0,0,2,0,0,1,15,1,failed
8024750,0,0,0,0,0,1,1,9,1,passed
8025699,7,0,0,0,0,2,1,17,1,failed
8025842,0,0,0,0,0,1,1,11,1,failed
8026959,12,0,6,0,0,3,1,12,1,failed
8027286,1,0,0,0,0,1,1,11,1,failed
8027896,8,0,4,0,0,3,1,14,1,passed
8072505,0,0,0,0,0,1,1,31,1,passed
8080771,9,0,0,0,0,2,1,37,1,passed
8124494,0,0,49,0,0,5,1,25,1,failed
8124639,0,0,1,0,0,1,1,12,1,passed
8132949,2,0,0,0,0,1,1,25,1,passed
8133493,0,0,0,0,0,0,1,0,1,passed
8168270,4,0,0,0,0,1,1,36,1,passed
8235936,1,0,0,1,0,1,1,48,1,passed
8257841,2,0,0,0,0,1,1,22,1,passed
8277174,19,0,0,0,0,1,1,13,1,passed
8715575,331,0,191,0,0,31,1,94,1,passed
8716084,8,0,0,0,0,2,1,41,1,passed
8726143,0,0,2,0,0,1,1,10,1,passed
10274529,0,0,0,0,0,1,1,19,1,failed
10369368,6,0,0,0,0,2,1,29,1,passed
10686983,3687,0,1990,75,6,8,4,195,4,passed
10873887,123,2,63,0,0,5,3,34,3,passed
10932834,2,0,0,0,0,1,1,2,1,passed
11818272,6,0,0,0,0,1,1,5,1,passed
12191944,0,0,0,0,0,1,1,35,1,passed
12191995,0,0,0,0,0,1,1,36,1,passed
12631510,2,0,0,0,0,1,1,41,1,passed
14017632,2,0,0,0,0,1,1,42,1,passed
14048004,2,0,0,0,0,3,1,18,1,failed
