tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
13626023,1461,0,0,6,0,19,18,9,18,passed
13627549,0,0,0,1,0,0,1,6,1,passed
13905316,10,0,0,0,2,5,1,3,1,passed
13917745,28,0,0,1,2,6,4,9,4,passed
13917963,18,0,0,1,0,2,1,14,1,passed
13918346,0,0,0,0,0,0,1,0,1,passed
13918872,18,0,0,1,0,2,1,16,1,passed
13979582,46,0,0,1,2,12,6,2,6,passed
14014542,1,0,0,0,0,1,1,10,1,passed
14014570,36,0,0,1,0,11,1,12,1,passed
14134915,350,0,0,2,0,16,3,18,3,passed
14135419,14,0,0,0,0,1,1,11,1,passed
14150226,314,0,0,1,0,6,1,12,1,passed
14239352,9,0,0,0,0,4,1,4,1,passed
14243653,9,0,0,0,0,4,1,5,1,passed
14248476,32,0,0,1,0,0,1,2,1,passed
14264158,0,0,0,0,0,0,1,0,1,passed
14291953,32,0,0,1,0,0,1,4,1,passed
14801046,0,0,0,0,0,6,1,14,1,passed
14985433,0,0,0,0,0,1,1,11,1,passed
14985443,158,0,97,1,0,2,1,9,1,passed
14989130,0,0,0,0,0,1,1,9,1,passed
14991449,6,0,0,0,0,1,1,12,1,passed
15151182,0,0,0,0,0,1,1,12,1,passed
15151188,158,0,97,1,0,2,1,10,1,passed
15151196,0,0,0,0,0,1,1,10,1,passed
15215847,4,0,0,0,0,1,1,6,1,passed
15332932,193,0,97,1,0,10,4,45,4,passed
15336208,17,0,0,0,0,1,1,17,1,passed
15353420,8,0,136,1,1,6,2,20,2,passed
15363220,8,0,136,1,1,6,1,22,1,passed
15577488,0,0,0,0,0,1,1,14,1,passed
15586401,0,0,0,0,0,1,1,15,1,passed
17431060,3,0,0,0,0,1,1,2,1,passed
17495718,0,0,0,0,0,1,1,16,1,passed
17557888,10,0,136,1,1,7,2,28,2,passed
17843068,784,0,0,3,0,4,1,5,1,passed
18768588,0,0,0,0,0,1,1,18,1,passed
19585002,2003,0,0,12,0,5,2,9,2,passed
19960677,784,0,0,3,0,4,1,6,1,passed
20525631,3662,0,0,4,0,32,2,51,2,passed
20600442,0,0,0,0,0,2,1,6,1,passed
20600898,0,0,0,0,0,2,1,7,1,passed
20610226,5,0,0,0,0,2,1,7,1,passed
20611330,5,0,0,0,0,2,1,8,1,passed
20624585,26,0,0,0,0,5,1,1,1,passed
20673113,26,0,0,0,0,5,1,2,1,passed
20673193,31,0,0,0,0,9,1,19,1,passed
20708199,130,0,0,0,2,22,1,14,1,passed
21660689,160,0,0,2,0,5,1,7,1,passed
21660717,130,0,0,0,2,22,1,15,1,passed
22508572,448,0,0,2,1,31,1,33,1,passed
22935021,500,0,0,4,0,4,2,0,2,passed
22936536,290,0,0,4,0,0,1,2,1,passed
22938568,14,0,0,0,0,2,1,4,1,passed
22962285,8,0,0,0,0,2,1,12,1,passed
23109005,0,0,0,0,0,2,2,31,2,failed
23138727,0,0,0,0,0,1,1,15,1,failed
23159227,0,0,0,0,0,1,1,16,1,passed
24101547,0,0,0,0,0,2,1,35,1,passed
24102105,8,0,0,0,0,2,1,13,1,passed
24107455,102,0,0,0,1,0,1,2,1,failed
24116568,2439,0,907,13,14,29,4,55,4,failed
24253028,0,0,0,0,0,1,1,19,1,passed
24253581,1415,0,636,13,0,22,1,40,1,passed
