tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7999058,125,0,0,1,0,0,1,1,1,passed
7999286,0,0,0,0,0,1,1,11,1,passed
7999455,0,0,0,0,0,1,1,12,1,passed
8000125,10,0,0,0,0,0,1,0,1,passed
8000127,10,0,0,0,0,0,1,1,1,passed
8025876,6,0,0,0,0,1,1,2,1,passed
8026292,6,0,0,0,0,1,1,3,1,passed
8084859,10,0,0,0,0,1,1,4,1,passed
8090609,95,0,0,2,0,1,3,0,3,passed
8092751,10,0,0,0,0,1,1,5,1,passed
8092899,3,0,0,0,0,1,1,3,1,passed
8108339,264,0,0,2,0,0,1,0,1,failed
8108437,11,0,0,0,0,1,1,1,1,passed
8178541,259,0,0,2,0,0,1,2,1,passed
8213086,9,0,0,0,0,1,1,15,1,passed
8213803,9,0,0,0,0,1,1,16,1,passed
8245574,9,0,0,0,0,1,1,8,1,passed
8246199,2,0,0,0,0,1,1,3,1,passed
8246750,11,0,0,0,0,2,1,13,1,passed
8246780,86,0,0,2,0,0,1,4,1,passed
8254396,60,0,0,0,0,1,1,17,1,failed
8481881,57,0,0,2,0,0,2,0,2,passed
8484471,57,0,0,2,0,0,1,2,1,passed
8546821,102,0,0,1,0,0,1,0,1,passed
8550647,68,0,0,2,0,0,1,0,1,passed
8585838,68,0,0,2,0,0,1,1,1,passed
8585849,102,0,0,1,0,0,1,1,1,passed
8638096,41,0,0,0,0,1,1,4,1,failed
8641171,52,0,0,1,0,0,1,1,1,passed
8642356,13,0,0,0,0,1,2,5,2,passed
8645910,40,0,0,0,0,1,1,7,1,passed
8674133,98,0,0,1,0,0,1,0,1,passed
8678467,11,0,0,0,0,1,2,1,2,passed
8697408,50,0,0,0,1,1,1,4,1,passed
8702192,50,0,0,0,1,1,1,5,1,passed
8773278,50,0,0,1,0,1,2,0,2,passed
8776829,2,0,0,0,0,1,1,20,1,passed
8783417,105,0,0,1,0,0,1,3,1,passed
8783956,2,0,0,0,0,1,1,21,1,passed
8785292,10,0,0,0,0,1,1,3,1,passed
8785294,10,0,0,0,0,1,1,5,1,passed
8899830,108,0,0,1,0,0,1,0,1,failed
8900072,8,0,0,0,0,1,1,1,1,passed
8912824,112,0,0,1,0,0,1,2,1,passed
8925410,11,0,0,0,0,1,1,3,1,passed
8931008,11,0,0,0,0,1,1,4,1,passed
8994162,16,0,0,0,0,1,1,9,1,passed
9127746,46,0,0,0,0,2,2,17,2,passed
9131918,77,0,0,1,0,0,1,0,1,failed
9145726,40,0,0,0,0,2,1,19,1,passed
9147322,11,0,0,0,0,1,2,1,2,passed
9159499,70,0,0,1,0,0,1,0,1,failed
9168735,3,0,0,0,0,1,2,1,2,passed
9194172,69,0,0,1,0,0,1,3,1,passed
9200605,80,0,0,1,0,0,1,3,1,passed
9220725,2,0,0,0,0,1,1,11,1,passed
9231012,2,0,0,0,0,1,1,12,1,passed
9231875,455,0,0,6,1,5,10,3,10,failed
9234450,43,0,0,2,0,0,1,2,1,failed
9235061,60,0,0,0,0,1,1,3,1,passed
9235161,16,0,0,0,0,1,1,10,1,failed
9235188,60,0,0,0,0,1,1,4,1,passed
9275216,2,0,0,0,0,1,1,5,1,passed
9278702,2,0,0,0,0,1,1,6,1,passed
9295323,64,0,0,2,0,0,1,0,1,passed
9312905,9,0,0,0,0,1,1,9,1,passed
9336142,290,0,0,5,0,0,2,0,2,passed
9344925,14,0,0,0,0,1,2,5,2,failed
9349943,4,0,0,0,0,1,1,7,1,passed
9357004,14,0,0,0,0,1,1,8,1,passed
9367788,10,0,0,0,0,5,1,2,1,passed
9367851,299,0,0,5,0,1,1,13,1,passed
9398344,56,0,0,1,0,0,1,0,1,failed
9410448,350,0,0,1,0,0,1,0,1,failed
9411070,27,0,0,0,0,1,1,1,1,failed
9441056,0,0,0,0,0,2,3,18,3,passed
9454503,56,0,0,1,0,2,1,22,1,passed
9466093,639,0,0,0,1,2,3,6,3,passed
9479762,220,0,0,0,0,1,1,6,1,passed
9561857,135,0,0,1,0,0,1,0,1,failed
9562671,12,0,0,0,0,1,4,1,4,passed
9575545,64,0,0,2,0,0,1,1,1,passed
9575616,42,0,0,1,0,0,1,2,1,passed
9575822,7,0,0,0,0,1,1,4,1,passed
9714124,2,0,0,0,0,1,1,7,1,passed
9782871,6,0,0,0,0,1,1,8,1,passed
9793808,1554,0,0,21,1,12,1,153,1,passed
9814137,219,0,0,0,0,1,4,7,4,passed
9890445,12,0,0,0,0,2,3,8,3,failed
9897669,44,0,0,0,0,1,2,11,2,passed
9902072,98,0,0,1,0,0,1,0,1,passed
9908436,98,0,0,1,0,0,1,1,1,passed
9908623,2,0,0,0,0,1,1,8,1,passed
9908635,60,0,0,0,0,1,1,19,1,passed
9908756,7,0,0,0,0,1,1,5,1,passed
9916171,72,0,0,1,0,0,1,0,1,passed
9917783,16,0,0,0,0,1,1,10,1,passed
9917859,72,0,0,1,0,0,1,1,1,passed
9959859,295,0,0,2,1,5,3,56,3,passed
9960235,2,0,0,0,0,1,1,6,1,passed
9975834,184,0,0,0,0,1,1,13,1,passed
9976866,184,0,0,0,0,1,1,14,1,passed
10036481,30,0,0,0,0,1,1,14,1,failed
10037602,4,0,0,0,0,1,2,15,2,passed
10039234,32,0,0,0,0,1,1,17,1,passed
10143177,54,0,0,1,0,0,1,0,1,passed
10143252,14,0,0,0,0,1,1,8,1,passed
10159797,14,0,0,0,0,1,1,9,1,passed
10160577,54,0,0,1,0,0,1,1,1,passed
10178696,134,0,0,0,1,1,1,15,1,passed
10182739,134,0,0,0,1,1,1,16,1,passed
10614124,6,0,0,0,0,1,1,14,1,passed
10672244,139,0,0,1,0,0,1,5,1,passed
10672478,41,0,0,1,0,0,1,0,1,passed
10673716,6,0,0,0,0,1,1,15,1,passed
10674004,203,0,0,0,0,1,1,17,1,passed
10717575,4,0,0,0,0,1,1,5,1,passed
10717907,232,0,0,2,1,0,1,3,1,passed
10730678,15,0,0,0,0,1,4,7,4,passed
10753633,2,0,0,0,0,1,1,8,1,passed
10770649,14,0,0,0,0,1,1,5,1,passed
10782397,14,0,0,0,0,1,1,6,1,passed
10794918,14,0,0,0,0,1,1,7,1,passed
10952228,4,0,0,0,0,1,1,18,1,passed
10967323,4,0,0,0,0,1,1,19,1,passed
10967391,2,0,0,0,0,1,1,9,1,passed
10967462,13,0,0,0,0,1,1,11,1,passed
10967532,232,0,0,2,1,0,1,4,1,passed
10979338,12,0,0,0,0,2,2,21,2,passed
10979752,14,0,0,0,0,3,1,26,1,passed
11001273,87,0,0,1,0,0,1,0,1,failed
11002455,286,0,0,0,0,1,2,1,2,passed
11002653,87,0,0,1,0,0,1,3,1,passed
11050825,87,0,0,2,0,3,4,13,4,passed
11058826,2,0,0,0,0,1,1,5,1,passed
11058946,3,0,0,0,0,1,1,4,1,passed
11075078,2,0,0,0,0,1,1,6,1,passed
11097800,10,0,0,0,0,1,2,6,2,passed
11219978,45,0,0,0,0,2,2,11,2,passed
11249188,41,0,0,0,0,2,1,13,1,passed
11249320,78,0,0,2,0,3,1,24,1,passed
11253057,143,0,0,1,0,0,1,0,1,failed
11253829,2,0,0,0,0,1,1,1,1,failed
11255211,26,0,0,0,0,1,1,10,1,passed
11267240,12,0,0,0,0,1,1,11,1,passed
11280200,12,0,0,0,0,1,1,2,1,passed
11287639,26,0,0,0,0,1,1,11,1,passed
11308945,12,0,0,0,0,1,1,12,1,passed
11350599,203,0,0,2,0,0,1,0,1,passed
11356584,215,0,0,2,0,0,2,0,2,passed
11357201,10,0,0,0,0,1,1,12,1,passed
11402542,215,0,0,2,0,0,1,2,1,passed
11402547,203,0,0,2,0,0,1,1,1,passed
11403492,7,0,0,0,0,1,1,13,1,passed
11421151,13,0,0,0,0,1,1,14,1,passed
11432066,8,0,0,0,0,1,1,3,1,passed
11499572,8,0,0,0,0,1,1,16,1,passed
11514840,2,0,0,0,0,1,1,11,1,passed
11514873,8,0,0,0,0,1,1,17,1,passed
11514932,143,0,0,1,0,0,1,4,1,passed
11514969,41,0,0,1,0,0,1,1,1,passed
11515994,48,0,0,0,0,1,1,12,1,passed
11521266,48,0,0,0,0,1,1,13,1,passed
11523854,160,0,0,0,0,1,4,0,4,passed
11524491,274,0,0,1,1,0,1,9,1,passed
11631351,52,0,0,0,0,1,1,2,1,passed
11633157,4,0,0,0,0,1,1,16,1,passed
11637483,4,0,0,0,0,1,1,17,1,passed
11706326,50,2,0,0,0,1,1,4,1,passed
11792166,17,0,0,0,0,1,2,5,2,passed
11798042,103,0,0,1,0,0,1,0,1,failed
11798809,2,0,0,0,0,1,1,1,1,passed
11845421,31,0,0,0,0,1,1,5,1,failed
11845749,2,0,0,0,0,1,1,6,1,failed
11845753,31,0,0,0,0,1,1,7,1,failed
11845761,90,0,0,1,0,0,2,1,2,failed
11847391,4,0,0,0,0,1,3,2,3,failed
11850972,192,0,0,1,0,1,4,0,4,failed
11851017,0,0,0,0,0,1,1,24,1,passed
11851041,128,0,0,1,0,1,1,29,1,passed
11851917,118,0,0,1,0,0,1,0,1,passed
11859094,40,0,0,0,0,1,2,17,2,passed
11861004,50,0,0,0,0,1,2,1,2,passed
11873593,98,0,0,1,0,0,1,3,1,passed
11874579,7,0,0,0,0,1,1,19,1,passed
11883954,33,0,0,0,0,1,1,20,1,passed
11885701,2,0,0,0,0,1,1,2,1,passed
11889609,4,0,0,0,0,1,1,9,1,passed
11963637,18,0,0,0,0,2,1,32,1,passed
11979051,72,0,0,1,0,0,1,0,1,passed
11982115,2,0,0,0,0,1,1,1,1,passed
11984296,130,0,0,1,0,1,3,0,3,passed
11985434,118,0,0,1,0,0,1,3,1,passed
11985671,121,0,0,1,0,0,1,2,1,passed
12010403,18,0,0,0,0,2,1,33,1,passed
12011245,18,0,0,0,0,2,1,34,1,passed
12012911,65,0,0,1,0,0,1,0,1,failed
12018026,4,0,0,0,0,1,1,10,1,passed
12018753,10,0,0,0,0,1,1,1,1,passed
12031416,124,0,0,1,1,2,5,12,5,failed
12032421,9,0,0,0,0,1,2,15,2,passed
12035530,15,0,0,0,0,1,1,17,1,passed
12035532,65,0,0,1,0,0,1,2,1,passed
12035546,52,0,0,0,0,1,1,3,1,passed
12035550,63,0,0,0,0,1,1,7,1,passed
12053762,2,0,0,0,0,1,1,3,1,passed
12144986,72,0,0,1,0,0,1,2,1,passed
12239872,67,0,0,1,0,1,3,0,3,passed
12247978,61,0,0,1,0,0,1,3,1,passed
12276851,2,0,0,0,0,1,1,21,1,passed
12280223,7,0,0,0,0,1,1,21,1,failed
12281382,2,0,0,0,0,1,1,22,1,passed
12291785,13,0,0,0,0,1,1,12,1,passed
12299939,13,0,0,0,0,1,1,17,1,passed
12340414,13,0,0,0,0,1,1,18,1,passed
12351184,13,0,0,0,0,1,1,13,1,passed
12351269,2,0,0,0,0,1,1,4,1,passed
12351278,103,0,0,1,0,0,1,3,1,passed
12351284,2,0,0,0,0,1,1,22,1,passed
12368771,2,0,0,0,0,1,1,28,1,passed
12372547,2,0,0,0,0,1,1,29,1,passed
12421214,49,0,0,0,0,1,3,30,3,passed
12428619,38,0,0,0,0,1,3,33,3,passed
12429262,4,0,0,0,0,1,1,14,1,passed
12429371,4,0,0,0,0,1,1,15,1,passed
12431580,2,0,0,0,0,1,1,5,1,passed
12433329,2,0,0,0,0,1,1,6,1,passed
12525590,0,0,0,1,0,0,1,0,1,failed
12527097,0,0,0,0,0,0,1,0,1,failed
12533614,2,0,0,0,0,1,1,16,1,passed
12546447,2,0,0,0,0,1,1,17,1,passed
12547156,43,0,0,0,0,1,1,36,1,passed
12610516,2,0,0,0,0,1,1,1,1,passed
12624131,55,0,0,1,0,0,1,2,1,passed
12825702,20,0,0,0,0,1,1,6,1,passed
12834420,20,0,0,0,0,1,1,7,1,passed
12922742,121,0,0,1,0,0,1,0,1,passed
12933106,121,0,0,1,0,0,1,1,1,passed
12940528,10,0,0,0,0,1,1,5,1,passed
12954403,10,0,0,0,0,1,1,6,1,passed
13025432,6,0,0,0,0,1,1,9,1,passed
13039447,53,0,0,1,0,0,1,0,1,passed
13040307,6,0,0,0,0,1,1,10,1,passed
13040335,53,0,0,1,0,0,1,1,1,passed
13257950,45,0,0,1,0,0,1,0,1,passed
13265124,45,0,0,1,0,0,1,2,1,passed
13268552,12,0,0,0,0,1,2,4,2,passed
13270691,24,0,0,0,0,1,3,23,3,passed
13285313,19,0,0,0,0,1,1,31,1,passed
13332634,23,0,0,0,0,1,1,28,1,passed
13386580,19,0,0,0,0,1,1,32,1,passed
13600945,14,0,0,0,0,1,1,17,1,passed
13643838,62,0,0,1,0,0,1,3,1,failed
13645851,8,0,0,0,0,1,1,4,1,passed
13646120,8,0,0,0,0,1,1,5,1,passed
13692338,61,0,0,0,0,1,1,5,1,passed
13697588,234,0,0,2,1,1,6,4,6,passed
13710281,48,0,0,0,0,1,2,12,2,passed
13717018,27,0,0,0,0,1,2,6,2,passed
13768380,19,0,0,0,0,1,2,14,2,failed
13807600,126,0,0,0,0,2,2,6,2,failed
13808741,60,0,0,0,0,1,1,8,1,passed
13809851,0,0,0,19,0,0,1,69,1,passed
13812575,8,0,0,0,0,1,1,7,1,passed
13818919,3,0,0,0,0,1,1,24,1,passed
13819300,126,0,0,0,0,2,1,9,1,passed
13819553,0,0,0,19,0,0,1,70,1,passed
13823262,3,0,0,0,0,1,1,25,1,passed
13845066,66,0,0,0,0,1,1,8,1,passed
13907437,19,0,0,0,0,1,2,6,2,passed
13924026,9,0,0,0,0,1,1,8,1,passed
13924328,8,0,0,0,0,1,1,6,1,passed
13929920,17,0,0,0,0,1,1,9,1,passed
13933611,57,0,0,0,0,1,1,17,1,passed
13947620,20,0,0,0,0,0,1,2,1,passed
13977912,2,0,0,0,0,1,1,6,1,failed
13979183,2,0,0,0,0,1,1,8,1,passed
13979573,66,0,0,0,0,1,1,9,1,passed
13989065,5,0,0,0,0,2,2,17,2,passed
14004606,2,0,0,0,0,1,1,6,1,passed
14009480,5,0,0,0,0,2,1,19,1,passed
14033468,2,0,0,0,0,1,1,7,1,passed
14040488,278,0,0,2,2,0,2,12,2,passed
14160365,102,0,0,1,0,1,4,0,4,passed
14169249,80,0,0,1,0,0,1,4,1,passed
14171768,139,0,0,2,0,0,1,14,1,passed
14211564,25,0,0,0,0,1,1,27,1,passed
14214255,25,0,0,0,0,1,1,28,1,passed
14223102,17,0,0,0,0,1,1,10,1,passed
14224984,23,0,0,0,0,1,3,8,3,passed
14226262,4,0,0,0,0,1,1,12,1,passed
14294502,158,0,0,1,1,0,1,11,1,failed
14316434,158,0,0,1,1,0,1,13,1,passed
14334334,4,0,0,0,0,1,2,10,2,passed
14338721,7,0,0,0,0,1,1,23,1,passed
14367972,268,0,0,2,0,2,3,0,3,failed
14384637,169,0,0,1,0,0,1,0,1,passed
14407459,59,0,0,1,0,2,1,3,1,passed
14478246,63,0,0,1,0,1,2,0,2,passed
14497824,45,0,0,0,0,1,1,12,1,passed
14519648,27,0,0,0,0,1,2,2,2,passed
14550069,2,0,0,0,0,1,1,3,1,passed
14562499,2,0,0,0,0,1,1,4,1,passed
14588794,3,0,0,0,0,1,1,37,1,passed
14607256,93,0,0,2,0,1,5,0,5,passed
14624566,6,0,0,0,0,1,1,29,1,passed
14701667,79,0,0,0,0,1,1,20,1,passed
14704157,93,0,0,1,0,1,3,0,3,passed
14704275,71,0,0,1,0,1,2,0,2,passed
14706366,9,0,0,0,0,1,1,5,1,passed
14794853,1,0,0,0,0,1,1,3,1,passed
