tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
13640997,3,0,38,2,0,2,1,6,1,passed
13649410,4,0,0,0,0,3,1,40,1,passed
13947340,6,0,0,0,0,4,1,46,1,passed
14261561,8,0,28,2,0,2,1,7,1,passed
14267578,4,0,8,0,0,2,1,9,1,passed
14376934,4,0,0,0,0,3,1,47,1,passed
14381835,67,0,16,2,0,11,1,29,1,passed
14464375,67,0,16,2,0,11,1,30,1,passed
14497784,4,0,0,0,0,3,1,48,1,passed
14888289,8,0,0,1,0,3,1,50,1,passed
15194964,65,0,26,0,0,5,4,83,4,passed
15309004,33,0,58,0,0,5,1,88,1,passed
15309056,0,0,0,0,0,1,1,46,1,passed
15370521,11,0,0,5,0,2,1,48,1,passed
15407831,11,0,0,5,0,2,1,49,1,passed
15527209,0,0,0,0,0,1,1,21,1,passed
16599027,2,0,0,0,0,1,1,8,1,passed
16663602,10,0,18,0,0,6,1,28,1,failed
16685752,10,0,0,0,0,1,1,4,1,passed
16727359,18,0,18,0,0,6,1,30,1,passed
16727772,0,0,0,0,0,1,1,23,1,passed
16728019,0,0,7,0,0,1,1,5,1,passed
16733245,0,0,0,0,0,1,1,25,1,passed
16877005,0,0,13,0,0,2,1,16,1,passed
16881634,0,0,13,0,0,2,1,17,1,passed
16881783,26,0,0,0,0,1,1,4,1,passed
16891903,36,0,61,0,0,4,1,91,1,passed
16936906,26,0,0,0,0,1,1,5,1,passed
16939796,5,0,0,0,0,1,1,6,1,passed
17144192,0,0,2,0,0,1,1,1,1,passed
17144390,2,0,2,0,0,3,1,52,1,passed
17146848,0,0,2,0,0,1,1,4,1,passed
17148568,0,0,0,0,0,1,1,51,1,passed
17149457,4,0,17,3,0,1,1,57,1,passed
17224557,0,0,27,3,0,0,1,0,1,passed
17224793,8,0,47,4,0,0,1,0,1,passed
17282123,35,0,31,0,0,4,1,39,1,failed
17282618,0,0,1,0,0,1,1,1,1,passed
17282728,0,0,1,0,0,1,1,1,1,passed
17283044,0,0,48,0,0,1,1,7,1,failed
17285524,0,0,26,3,0,0,1,2,1,passed
17285554,8,0,46,4,0,0,1,2,1,passed
17286410,0,0,1,0,0,1,1,2,1,passed
17287203,4,0,0,0,1,0,1,1,1,passed
17288171,0,0,7,0,0,1,1,9,1,passed
17288939,4,0,0,0,1,0,1,2,1,passed
17291197,0,0,7,0,0,1,1,10,1,passed
17344008,20,0,0,0,0,1,1,2,1,passed
17348196,18,0,22,1,0,1,1,5,1,passed
17348291,0,0,0,0,0,1,1,53,1,passed
17363242,0,0,21,2,0,0,1,0,1,passed
17368428,0,0,21,2,0,0,1,1,1,passed
17415067,5,0,10,2,0,2,1,60,1,passed
17416363,5,0,10,2,0,2,1,62,1,passed
17417914,6,0,0,0,0,3,1,63,1,passed
17418284,10,0,108,1,0,4,2,4,2,passed
17421106,6,0,0,0,0,3,1,64,1,passed
17708703,12,0,22,2,0,6,1,92,1,passed
17724353,1,0,12,0,0,2,1,24,1,passed
17816079,6,0,100,1,0,3,1,6,1,passed
18136562,0,0,12,0,0,3,1,21,1,passed
18137723,0,0,20,0,0,3,1,24,1,passed
18137964,0,0,10,0,0,2,1,23,1,passed
18579875,4,0,17,3,0,1,1,59,1,passed
18583735,4,0,17,3,0,1,1,60,1,passed
19190497,53,0,0,1,0,3,2,35,2,passed
19190754,0,0,2,0,0,1,1,8,1,passed
19191734,0,0,0,0,0,1,1,2,1,passed
19194801,0,0,0,0,0,1,1,29,1,passed
19343407,0,0,0,0,0,2,1,31,1,passed
19520529,2,0,0,0,0,3,2,95,2,passed
19609038,4,0,0,0,0,2,1,35,1,passed
20476150,0,0,85,5,0,1,1,4,1,passed
20480146,0,0,39,5,0,0,1,2,1,passed
23116465,52,4,48,0,0,6,1,94,1,failed
23205608,3,0,0,0,0,2,1,51,1,passed
23206822,55,0,48,0,0,6,1,96,1,passed
23207097,5,0,8,0,0,3,2,86,2,passed
23212307,5,0,8,0,0,3,1,88,1,passed
23945624,0,0,0,0,0,1,1,66,1,passed
24223470,0,0,6,0,0,1,1,4,1,passed
24227390,0,0,26,0,0,1,1,5,1,passed
24228121,2,0,0,0,0,1,1,38,1,passed
24739392,0,0,0,0,0,1,1,69,1,passed
25643078,2,0,0,1,0,1,2,33,2,passed
26149671,0,0,0,0,0,1,1,1,1,passed
27221024,2,0,6,0,0,2,1,31,1,passed
27223225,2,0,6,0,0,2,1,32,1,passed
31358824,0,0,75,1,0,4,1,17,1,passed
31363741,2,0,0,0,0,1,1,35,1,passed
31377358,2,0,0,0,0,2,1,78,1,passed
31410251,0,0,0,0,0,1,1,71,1,passed
31723327,2,0,0,0,0,2,1,80,1,passed
31836007,2,0,0,0,0,1,1,26,1,passed
35842067,4,0,0,0,0,1,1,5,1,passed
35970057,2,0,0,0,0,1,1,14,1,failed
35981129,0,0,6,0,0,1,1,7,1,failed
35981626,0,0,6,0,0,1,1,8,1,passed
35981974,0,0,2,0,0,1,1,9,1,passed
36077485,4,0,8,0,0,2,1,9,1,passed
38066837,0,0,0,0,0,1,1,35,1,passed
38069574,0,0,0,0,0,1,1,36,1,passed
38074621,159,0,0,0,0,1,2,0,2,passed
38077144,159,0,0,0,0,0,1,2,1,passed
38845715,4,0,0,0,0,1,1,4,1,passed
39167288,2,0,0,0,0,1,1,40,1,passed
39169140,2,0,0,0,0,1,1,41,1,passed
40903504,0,0,0,0,0,1,1,4,1,passed
41265810,2,0,4,0,0,2,2,5,2,passed
41308114,0,0,0,0,0,1,1,4,1,passed
41309146,2,0,4,0,0,2,1,7,1,passed
41356602,2,0,4,0,0,2,1,8,1,passed
41356782,0,0,0,0,0,1,1,73,1,passed
41495968,0,0,0,0,0,1,1,5,1,passed
43528387,11,0,19,3,0,1,1,1,1,passed
43733064,2,0,0,0,0,1,1,27,1,passed
46463770,36,0,8,1,0,8,1,80,1,passed
47137050,36,0,8,1,0,8,1,81,1,passed
47148385,2,0,0,0,0,1,1,30,1,passed
47567815,7,0,22,4,0,0,1,0,1,passed
49199129,7,0,18,0,0,2,1,28,1,passed
55315728,24,0,0,0,0,2,1,66,1,passed
55882175,192,0,124,0,2,3,1,84,1,passed
58603282,22,0,50,3,0,3,1,53,1,passed
59460943,192,0,124,0,2,3,1,85,1,passed
59560445,2,0,0,0,0,1,1,35,1,passed
59561173,4,0,0,0,0,2,1,59,1,passed
59881581,7,0,18,0,0,2,1,29,1,passed
59920468,7,0,22,4,0,0,1,1,1,passed
59920505,4,0,9,0,0,2,1,10,1,passed
61187764,9,0,8,3,0,0,1,1,1,passed
61190340,4,0,0,0,0,3,3,102,3,passed
61191159,4,0,0,0,0,3,1,105,1,passed
61316221,47,0,31,0,0,2,1,31,1,passed
61322446,2,0,0,0,0,1,1,7,1,passed
62259108,0,0,9,0,0,1,1,23,1,passed
62276824,14,0,18,0,0,3,1,81,1,passed
62279008,2,0,0,0,0,2,1,89,1,passed
64987704,4,0,357,0,0,7,1,102,1,passed
65104296,4,0,357,0,0,7,1,103,1,passed
65104496,0,0,0,0,0,1,1,79,1,passed
69753106,6,0,0,0,0,2,2,7,2,passed
70333406,0,0,79,3,0,0,1,0,1,passed
74066121,9,0,34,5,0,3,1,12,1,passed
74273618,6,0,79,3,0,2,1,10,1,passed
74274493,2,0,0,0,0,2,1,93,1,passed
74923615,2,0,8,0,0,3,1,5,1,passed
74925213,2,0,0,0,0,2,1,94,1,passed
75148142,4,0,0,0,0,1,1,8,1,passed
75665989,37,0,0,0,0,1,1,9,1,passed
82271030,2,0,0,0,0,1,1,32,1,passed
82614315,2,0,0,0,0,1,1,33,1,passed
85205709,15,0,69,3,0,0,1,0,1,passed
86189520,15,0,69,3,0,0,1,1,1,passed
87680160,2,0,0,0,0,1,1,1,1,passed
88119121,8,0,0,1,0,0,1,2,1,passed
89139280,0,0,17,0,0,1,1,3,1,passed
89265868,2,0,17,0,0,2,1,8,1,passed
90321456,4,0,10,3,0,0,1,1,1,passed
90344586,2,0,0,0,0,2,1,96,1,passed
105748188,9,0,17,1,0,1,1,2,1,passed
107303644,13,0,38,5,0,3,1,12,1,passed
107801400,0,0,63,0,0,2,1,10,1,passed
108356137,13,0,83,5,0,3,1,14,1,passed
108576696,2,0,0,0,0,1,1,51,1,passed
109905105,3,0,0,0,0,3,2,121,2,passed
109909093,3,0,0,0,0,3,1,123,1,passed
114252991,4,0,4,1,0,5,5,101,5,passed
114258427,0,0,2,0,0,1,1,13,1,passed
114270528,0,0,0,0,0,1,1,86,1,passed
117720707,4,0,8,3,0,0,1,0,1,passed
117800573,4,0,8,3,0,0,1,1,1,passed
119349430,11,0,52,5,0,0,1,0,1,passed
119544835,4,0,4,1,0,6,1,155,1,passed
120646660,4,0,17,4,0,0,1,2,1,passed
120646720,11,0,52,5,0,0,1,2,1,passed
120952262,13,0,32,3,0,0,1,0,1,passed
120955731,0,0,37,8,0,0,1,5,1,passed
122805919,4,0,8,0,0,2,1,10,1,passed
